cell,row,col,raw_logit,env_legal,proposal_legal,p_env,p_policy,rank_env,rank_policy,measured,vlm_indicator,vlm_confidence,selected
0,0,0,-1.9764059782028198,True,True,0.02486717152263004,0.02486717152263004,10,10,False,0.0,0.0,False
1,0,1,-3.507997751235962,True,True,0.005376065289766897,0.005376065289766897,61,61,False,0.0,0.0,False
2,0,2,-2.9855430126190186,True,True,0.009064915172222125,0.009064915172222125,49,49,False,0.0,0.0,False
3,0,3,-2.3319382667541504,True,True,0.01742692165926395,0.01742692165926395,19,19,False,0.0,0.0,False
4,0,4,-2.741420269012451,True,True,0.011571373311363172,0.011571373311363172,37,37,False,0.0,0.0,False
5,0,5,-2.766240119934082,True,True,0.011287708373460093,0.011287708373460093,38,38,False,1.0,0.6666666865348816,False
6,0,6,-2.795583963394165,True,True,0.010961296142042106,0.010961296142042106,39,39,False,0.0,0.0,False
7,0,7,-2.9164669513702393,True,True,0.0097132171197045,0.0097132171197045,45,45,False,0.0,0.0,False
8,1,0,-1.0335711240768433,True,True,0.06384021845054805,0.06384021845054805,1,1,False,0.0,0.0,True
9,1,1,-2.6614158153533936,True,True,0.01253517489070976,0.01253517489070976,29,29,False,0.0,0.0,False
10,1,2,-2.6570799350738525,True,True,0.012589643908555024,0.012589643908555024,28,28,False,0.0,0.0,False
11,1,3,-1.724861979484558,True,True,0.03197941835837728,0.03197941835837728,6,6,False,0.0,0.0,False
12,1,4,-2.6884727478027344,True,True,0.012200558766878785,0.012200558766878785,31,31,False,0.0,0.0,False
13,1,5,-2.7358412742614746,True,True,0.011636110358238602,0.011636110358238602,36,36,False,1.0,0.6666666865348816,False
14,1,6,-3.3430075645446777,True,True,0.006340432187570492,0.006340432187570492,57,57,False,0.0,0.0,False
15,1,7,-3.66961669921875,True,True,0.00457376995296815,0.00457376995296815,62,62,False,0.0,0.0,False
16,2,0,-1.7656880617141724,True,True,0.03070011613063367,0.03070011613063367,7,7,False,0.0,0.0,False
17,2,1,-3.2080562114715576,True,True,0.007256504852112073,0.007256504852112073,55,55,False,0.0,0.0,False
18,2,2,-2.0818068981170654,True,True,0.02237955012301772,0.02237955012301772,11,11,False,0.0,0.0,False
19,2,3,-2.2167184352874756,True,True,0.01955509886176507,0.01955509886176507,15,15,False,0.0,0.0,False
20,2,4,-1.305478811264038,True,True,0.048641432475660405,0.048641432475660405,3,3,False,0.0,0.0,False
21,2,5,-2.309868097305298,True,True,0.017815812430515648,0.017815812430515648,18,18,False,0.0,0.0,False
22,2,6,-2.7331247329711914,True,True,0.011667763306289722,0.011667763306289722,34,34,False,0.0,0.0,False
23,2,7,-2.496185064315796,True,True,0.014787310801605046,0.014787310801605046,22,22,False,0.0,0.0,False
24,3,0,-1.290806531906128,True,True,0.049360374523071786,0.049360374523071786,2,2,False,0.0,0.0,False
25,3,1,-1.8793781995773315,True,True,0.02740091205392499,0.02740091205392499,9,9,False,0.0,0.0,False
26,3,2,-2.703662157058716,True,True,0.01201663983270371,0.01201663983270371,32,32,False,0.0,0.0,False
27,3,3,-2.9928247928619385,True,True,0.008999146200230396,0.008999146200230396,50,50,False,0.0,0.0,False
28,3,4,-3.177293062210083,True,True,0.007483206950828914,0.007483206950828914,54,54,False,0.0,0.0,False
29,3,5,-2.734020948410034,True,True,0.01165731116106442,0.01165731116106442,35,35,False,1.0,0.6666666865348816,False
30,3,6,-2.3430674076080322,True,True,0.017234050230830043,0.017234050230830043,20,20,False,0.0,0.0,False
31,3,7,-2.7100729942321777,True,True,0.011939849519460637,0.011939849519460637,33,33,False,0.0,0.0,False
32,4,0,-1.5547562837600708,True,True,0.03790936636878494,0.03790936636878494,4,4,False,0.0,0.0,False
33,4,1,-2.179774522781372,True,True,0.020291051504509928,0.020291051504509928,14,14,False,0.0,0.0,False
34,4,2,-1.7134901285171509,True,True,0.03234515917155551,0.03234515917155551,5,5,False,0.0,0.0,False
35,4,3,-2.535381555557251,True,True,0.01421891248353974,0.01421891248353974,23,23,False,0.0,0.0,False
36,4,4,-3.2806012630462646,True,True,0.006748722555996284,0.006748722555996284,56,56,False,0.0,0.0,False
37,4,5,-2.3157613277435303,False,False,0.0,0.0,,,True,1.0,0.6666666865348816,False
38,4,6,-2.1729204654693604,True,True,0.02043060524277252,0.02043060524277252,13,13,False,0.0,0.0,False
39,4,7,-2.2373745441436768,True,True,0.0191553098683571,0.0191553098683571,16,16,False,0.0,0.0,False
40,5,0,-2.6085205078125,True,True,0.013216076315560937,0.013216076315560937,24,24,False,0.0,0.0,False
41,5,1,-2.8084073066711426,True,True,0.010821633066455475,0.010821633066455475,40,40,False,0.0,0.0,False
42,5,2,-2.9012699127197266,True,True,0.00986195659285071,0.00986195659285071,44,44,False,0.0,0.0,False
43,5,3,-2.6404926776885986,True,True,0.01280021312744212,0.01280021312744212,25,25,False,0.0,0.0,False
44,5,4,-3.164874315261841,True,True,0.007576718450320408,0.007576718450320408,53,53,False,0.0,0.0,False
