cell,row,col,raw_logit,env_legal,proposal_legal,p_env,p_policy,rank_env,rank_policy,measured,vlm_indicator,vlm_confidence,selected
0,0,0,5.959465503692627,True,True,0.013564592368392612,0.013564592368392612,30,30,False,0.0,0.0,False
1,0,1,6.256004810333252,True,True,0.01824702771900409,0.01824702771900409,21,21,False,0.0,0.0,False
2,0,2,1.918465495109558,True,True,0.00023846395475667626,0.00023846395475667626,62,62,False,0.0,0.0,False
3,0,3,6.960136890411377,True,True,0.03689714888715746,0.03689714888715746,4,4,False,0.0,0.0,False
4,0,4,4.641598701477051,True,True,0.003631319544834331,0.003631319544834331,57,57,False,0.0,0.0,False
5,0,5,6.974148750305176,True,True,0.03741778559402229,0.03741778559402229,3,3,False,1.0,0.6666666865348816,False
6,0,6,5.231337070465088,True,True,0.006549144707964913,0.006549144707964913,47,47,False,0.0,0.0,False
7,0,7,6.253933906555176,True,True,0.018209278980855274,0.018209278980855274,22,22,False,0.0,0.0,False
8,1,0,4.040189266204834,False,False,0.0,0.0,,,True,0.0,0.0,False
9,1,1,5.426499366760254,True,True,0.007960539376914256,0.007960539376914256,41,41,False,0.0,0.0,False
10,1,2,6.10360860824585,True,True,0.015667774134270587,0.015667774134270587,23,23,False,0.0,0.0,False
11,1,3,6.772218704223633,True,True,0.03057602166142084,0.03057602166142084,8,8,False,0.0,0.0,False
12,1,4,5.560466289520264,True,True,0.009101722499223629,0.009101722499223629,38,38,False,0.0,0.0,False
13,1,5,6.044166564941406,True,True,0.014763589145637943,0.014763589145637943,27,27,False,1.0,0.6666666865348816,False
14,1,6,5.857030391693115,True,True,0.012243899138374106,0.012243899138374106,32,32,False,0.0,0.0,False
15,1,7,6.658932209014893,True,True,0.027301171155350298,0.027301171155350298,10,10,False,0.0,0.0,False
16,2,0,5.81655740737915,True,True,0.011758246204731015,0.011758246204731015,34,34,False,0.0,0.0,False
17,2,1,4.706658840179443,True,True,0.0038754284789246727,0.0038754284789246727,55,55,False,0.0,0.0,False
18,2,2,5.502812385559082,True,True,0.008591813035919778,0.008591813035919778,39,39,False,0.0,0.0,False
19,2,3,5.939717769622803,True,True,0.013299349993205048,0.013299349993205048,31,31,False,0.0,0.0,False
