cell,row,col,raw_logit,env_legal,proposal_legal,p_env,p_policy,rank_env,rank_policy,measured,vlm_indicator,vlm_confidence,selected
0,0,0,-1.7963825464248657,True,True,0.02476335146999724,0.02476335146999724,10,10,False,0.0,0.0,False
1,0,1,-3.3665964603424072,True,True,0.005150794027961178,0.005150794027961178,61,61,False,0.0,0.0,False
2,0,2,-2.8396716117858887,True,True,0.008723981533011625,0.008723981533011625,51,51,False,0.0,0.0,False
3,0,3,-2.167038917541504,True,True,0.017093673525406798,0.017093673525406798,20,20,False,0.0,0.0,False
4,0,4,-2.578169822692871,True,True,0.011331398724836206,0.011331398724836206,38,38,False,0.0,0.0,False
5,0,5,-2.604083776473999,True,True,0.011041529432939718,0.011041529432939718,39,39,False,1.0,0.6666666865348816,False
6,0,6,-2.62772536277771,True,True,0.010783551679320089,0.010783551679320089,40,40,False,0.0,0.0,False
7,0,7,-2.7593042850494385,True,True,0.009454048460379606,0.009454048460379606,46,46,False,0.0,0.0,False
8,1,0,-0.8387337923049927,True,True,0.06452247101867241,0.06452247101867241,1,1,False,0.0,0.0,True
9,1,1,-2.5025455951690674,True,True,0.01222156174745039,0.01222156174745039,30,30,False,0.0,0.0,False
10,1,2,-2.490145444869995,True,True,0.012374054462317754,0.012374054462317754,29,29,False,0.0,0.0,False
11,1,3,-1.5405203104019165,True,True,0.031983720306266276,0.031983720306266276,6,6,False,0.0,0.0,False
12,1,4,-2.517815351486206,True,True,0.012036359076140209,0.012036359076140209,32,32,False,0.0,0.0,False
13,1,5,-2.577359676361084,True,True,0.011340582535560128,0.011340582535560128,37,37,False,1.0,0.6666666865348816,False
14,1,6,-3.1885149478912354,True,True,0.006154800801526261,0.006154800801526261,58,58,False,0.0,0.0,False
15,1,7,-3.5224521160125732,True,True,0.004407445312157224,0.004407445312157224,62,62,False,0.0,0.0,False
16,2,0,-1.5853986740112305,True,True,0.030580075496241782,0.030580075496241782,7,7,False,0.0,0.0,False
17,2,1,-3.0631606578826904,True,True,0.006976774370819827,0.006976774370819827,56,56,False,0.0,0.0,False
18,2,2,-1.911841630935669,True,True,0.022063081965482238,0.022063081965482238,11,11,False,0.0,0.0,False
19,2,3,-2.0413029193878174,True,True,0.01938393100118731,0.01938393100118731,15,15,False,0.0,0.0,False
20,2,4,-1.1144803762435913,True,True,0.04897289427924027,0.04897289427924027,3,3,False,0.0,0.0,False
21,2,5,-2.1434731483459473,True,True,0.01750128304281472,0.01750128304281472,18,18,False,0.0,0.0,False
22,2,6,-2.565735101699829,True,True,0.011473181192263138,0.011473181192263138,35,35,False,0.0,0.0,False
23,2,7,-2.3202483654022217,True,True,0.014665517324163362,0.014665517324163362,23,23,False,0.0,0.0,False
24,3,0,-1.098030924797058,True,True,0.049785133657124524,0.049785133657124524,2,2,False,0.0,0.0,False
25,3,1,-1.7096080780029297,True,True,0.027008166016084526,0.027008166016084526,9,9,False,0.0,0.0,False
26,3,2,-2.546832799911499,True,True,0.011692113368048204,0.011692113368048204,34,34,False,0.0,0.0,False
27,3,3,-2.834843873977661,True,True,0.008766200457445823,0.008766200457445823,50,50,False,0.0,0.0,False
28,3,4,-3.01680588722229,True,True,0.007307794045792106,0.007307794045792106,55,55,False,0.0,0.0,False
29,3,5,-2.568700075149536,True,True,0.011439213895594854,0.011439213895594854,36,36,False,1.0,0.6666666865348816,False
30,3,6,-2.16591477394104,True,True,0.01711290007378475,0.01711290007378475,19,19,False,0.0,0.0,False
31,3,7,-2.538874626159668,True,True,0.011785532467431083,0.011785532467431083,33,33,False,0.0,0.0,False
32,4,0,-1.3638160228729248,True,True,0.03816547535554568,0.03816547535554568,4,4,False,0.0,0.0,False
33,4,1,-2.0192015171051025,True,True,0.019817112383119513,0.019817112383119513,14,14,False,0.0,0.0,False
34,4,2,-1.5387282371520996,True,True,0.032041088864832964,0.032041088864832964,5,5,False,0.0,0.0,False
35,4,3,-2.3596534729003906,True,True,0.014098858975972836,0.014098858975972836,24,24,False,0.0,0.0,False
36,4,4,-3.1246120929718018,True,True,0.006560948955524104,0.006560948955524104,57,57,False,0.0,0.0,False
37,4,5,-2.167904853820801,True,True,0.0170788779003135,0.0170788779003135,21,21,False,1.0,0.6666666865348816,False
38,4,6,-2.017808437347412,True,True,0.01984473843941846,0.01984473843941846,13,13,False,0.0,0.0,False
39,4,7,-2.0561537742614746,True,True,0.019098190055278207,0.019098190055278207,16,16,False,0.0,0.0,False
40,5,0,-2.4319255352020264,True,True,0.013115855057664935,0.013115855057664935,25,25,False,0.0,0.0,False
41,5,1,-2.653712272644043,True,True,0.010506930327993156,0.010506930327993156,42,42,False,0.0,0.0,False
42,5,2,-2.7404651641845703,True,True,0.009633842687000366,0.009633842687000366,45,45,False,0.0,0.0,False
43,5,3,-2.4716336727142334,True,True,0.012605253488670606,0.012605253488670606,26,26,False,0.0,0.0,False
44,5,4,-3.007591724395752,True,True,0.007375440423801705,0.007375440423801705,54,54,False,0.0,0.0,False
45,5,5,-3.251523733139038,True,True,0.0057789592746374475,0.0057789592746374475,60,60,False,0.0,0.0,False
46,5,6,-2.6758079528808594,True,True,0.010277318610399806,0.010277318610399806,43,43,False,0.0,0.0,False
47,5,7,-1.952102541923523,True,True,0.02119244608414877,0.02119244608414877,12,12,False,0.0,0.0,False
48,6,0,-2.644655466079712,True,True,0.010602521786822108,0.010602521786822108,41,41,False,0.0,0.0,False
49,6,1,-2.81453537940979,True,True,0.008946048835449997,0.008946048835449997,49,49,False,0.0,0.0,False
50,6,2,-2.772195816040039,True,True,0.009332953528276098,0.009332953528276098,47,47,False,0.0,0.0,False
51,6,3,-2.969233751296997,True,True,0.007663843283183896,0.007663843283183896,52,52,False,0.0,0.0,False
52,6,4,-2.4877328872680664,True,True,0.012403943621639445,0.012403943621639445,28,28,False,0.0,0.0,False
53,6,5,-2.2240588665008545,True,True,0.016146260531478995,0.016146260531478995,22,22,False,0.0,0.0,False
54,6,6,-2.511335849761963,True,True,0.012114601899035607,0.012114601899035607,31,31,False,0.0,0.0,False
55,6,7,-3.242903470993042,True,True,0.0058289907509213885,0.0058289907509213885,59,59,False,0.0,0.0,False
56,7,0,-1.6956098079681396,True,True,0.027388892153794732,0.027388892153794732,8,8,False,0.0,0.0,False
57,7,1,-3.541118621826172,True,True,0.004325936814745842,0.004325936814745842,63,63,False,0.0,0.0,False
58,7,2,-2.059978723526001,True,True,0.019025279974842713,0.019025279974842713,17,17,False,0.0,0.0,False
59,7,3,-2.7789719104766846,True,True,0.00926992633406571,0.00926992633406571,48,48,False,0.0,0.0,False
60,7,4,-2.480984926223755,True,True,0.012487927992941742,0.012487927992941742,27,27,False,0.0,0.0,False
61,7,5,-2.7149722576141357,True,True,0.009882594571207274,0.009882594571207274,44,44,False,0.0,0.0,False
62,7,6,-2.9919350147247314,True,True,0.007491824269810649,0.007491824269810649,53,53,False,0.0,0.0,False
63,7,7,-2.446197032928467,False,False,0.0,0.0,,,True,0.0,0.0,False
