cell,row,col,raw_logit,env_legal,proposal_legal,p_env,p_policy,rank_env,rank_policy,measured,vlm_indicator,vlm_confidence,selected
0,0,0,6.7566962242126465,True,True,0.015289292738245955,0.015289292738245955,27,27,False,0.0,0.0,False
1,0,1,7.029163837432861,True,True,0.020077913410409525,0.020077913410409525,19,19,False,0.0,0.0,False
2,0,2,2.652463674545288,True,True,0.0002523142896794202,0.0002523142896794202,63,63,False,0.0,0.0,False
3,0,3,7.811116695404053,True,True,0.04388502885558173,0.04388502885558173,3,3,False,0.0,0.0,False
4,0,4,5.202061653137207,True,True,0.0032301164567443805,0.0032301164567443805,58,58,False,0.0,0.0,False
5,0,5,7.83949089050293,True,True,0.04514806531008642,0.04514806531008642,2,2,False,1.0,0.6666666865348816,False
6,0,6,5.847590446472168,True,True,0.0061598164784314215,0.0061598164784314215,47,47,False,0.0,0.0,False
7,0,7,6.995069980621338,True,True,0.019404917605914125,0.019404917605914125,21,21,False,0.0,0.0,False
8,1,0,6.826479911804199,True,True,0.01639434486355509,0.01639434486355509,24,24,False,0.0,0.0,False
9,1,1,6.039200782775879,True,True,0.007460760262922462,0.007460760262922462,44,44,False,0.0,0.0,False
10,1,2,6.84174108505249,True,True,0.016646460699333454,0.016646460699333454,23,23,False,0.0,0.0,False
11,1,3,7.616744518280029,True,True,0.03613280059135488,0.03613280059135488,6,6,False,0.0,0.0,False
12,1,4,6.2055182456970215,True,True,0.008810769533506136,0.008810769533506136,39,39,False,0.0,0.0,False
13,1,5,6.733926296234131,True,True,0.014945090248124716,0.014945090248124716,28,28,False,1.0,0.6666666865348816,False
14,1,6,6.562130451202393,True,True,0.012586023967098025,0.012586023967098025,34,34,False,0.0,0.0,False
15,1,7,7.494950294494629,True,True,0.03198947148798613,0.03198947148798613,9,9,False,0.0,0.0,False
16,2,0,6.584436893463135,True,True,0.012869928057185818,0.012869928057185818,33,33,False,0.0,0.0,False
17,2,1,5.289508819580078,True,True,0.0035252993609380277,0.0035252993609380277,56,56,False,0.0,0.0,False
18,2,2,6.149014949798584,True,True,0.00832673554460769,0.00832673554460769,40,40,False,0.0,0.0,False
19,2,3,6.652805328369141,True,True,0.013780600834198372,0.013780600834198372,31,31,False,0.0,0.0,False
20,2,4,5.452207565307617,True,True,0.004148156851734841,0.004148156851734841,54,54,False,0.0,0.0,False
21,2,5,7.411261558532715,True,True,0.029421276312192088,0.029421276312192088,10,10,False,0.0,0.0,False
22,2,6,6.224208831787109,True,True,0.008976996581375764,0.008976996581375764,38,38,False,0.0,0.0,False
23,2,7,7.5776896476745605,True,True,0.03474883984998634,0.03474883984998634,8,8,False,0.0,0.0,False
24,3,0,6.866298198699951,True,True,0.017060310406170617,0.017060310406170617,22,22,False,0.0,0.0,False
25,3,1,7.10120964050293,True,True,0.021577825252155108,0.021577825252155108,15,15,False,0.0,0.0,False
26,3,2,6.811669826507568,True,True,0.016153332331088864,0.016153332331088864,25,25,False,0.0,0.0,False
27,3,3,5.826330661773682,True,True,0.006030242345755531,0.006030242345755531,48,48,False,0.0,0.0,False
28,3,4,6.046236991882324,True,True,0.007513440850697748,0.007513440850697748,42,42,False,0.0,0.0,False
29,3,5,7.010435104370117,True,True,0.019705378968040022,0.019705378968040022,20,20,False,1.0,0.6666666865348816,False
30,3,6,7.402880668640137,True,True,0.02917573021955092,0.02917573021955092,11,11,False,0.0,0.0,False
31,3,7,7.796342849731445,True,True,0.04324144402942312,0.04324144402942312,4,4,False,0.0,0.0,False
