cell,row,col,raw_logit,env_legal,proposal_legal,p_env,p_policy,rank_env,rank_policy,measured,vlm_indicator,vlm_confidence,selected
0,0,0,-1.8387783765792847,True,True,0.02492914992780054,0.02492914992780054,10,10,False,0.0,0.0,False
1,0,1,-3.395768404006958,True,True,0.005254305160654718,0.005254305160654718,60,60,False,0.0,0.0,False
2,0,2,-2.8673858642578125,True,True,0.008912281870762713,0.008912281870762713,49,49,False,0.0,0.0,False
3,0,3,-2.2005841732025146,True,True,0.017361098796656912,0.017361098796656912,19,19,False,0.0,0.0,False
4,0,4,-2.6120684146881104,True,True,0.011504609262257685,0.011504609262257685,37,37,False,0.0,0.0,False
5,0,5,-2.6401195526123047,True,True,0.011186376148530831,0.011186376148530831,39,39,False,1.0,0.6666666865348816,False
6,0,6,-2.663206100463867,True,True,0.010931079636936576,0.010931079636936576,40,40,False,0.0,0.0,False
7,0,7,-2.78991961479187,True,True,0.009630128412746854,0.009630128412746854,46,46,False,0.0,0.0,False
8,1,0,-0.8867943286895752,True,True,0.06458756154333409,0.06458756154333409,1,1,False,0.0,0.0,True
9,1,1,-2.5353963375091553,True,True,0.012421388151120611,0.012421388151120611,30,30,False,0.0,0.0,False
10,1,2,-2.5271520614624023,True,True,0.012524216795365117,0.012524216795365117,28,28,False,0.0,0.0,False
11,1,3,-1.5819065570831299,True,True,0.03223038425671481,0.03223038425671481,6,6,False,0.0,0.0,False
12,1,4,-2.554708242416382,True,True,0.01218380892178491,0.01218380892178491,32,32,False,0.0,0.0,False
13,1,5,-2.612426519393921,True,True,0.011500490145123995,0.011500490145123995,38,38,False,1.0,0.6666666865348816,False
14,1,6,-3.2204737663269043,True,True,0.00626101560293179,0.00626101560293179,57,57,False,0.0,0.0,False
15,1,7,-3.5530755519866943,True,True,0.00448949679541657,0.00448949679541657,61,61,False,0.0,0.0,False
16,2,0,-1.6291841268539429,True,True,0.03074206918535801,0.03074206918535801,7,7,False,0.0,0.0,False
17,2,1,-3.0925791263580322,True,True,0.007115226383478513,0.007115226383478513,55,55,False,0.0,0.0,False
18,2,2,-1.949516773223877,True,True,0.022315899398869358,0.022315899398869358,11,11,False,0.0,0.0,False
19,2,3,-2.082240104675293,True,True,0.01954219688610535,0.01954219688610535,15,15,False,0.0,0.0,False
20,2,4,-1.1578831672668457,True,True,0.049251164297800784,0.049251164297800784,3,3,False,0.0,0.0,False
21,2,5,-2.177734851837158,True,True,0.017762354879362372,0.017762354879362372,18,18,False,0.0,0.0,False
22,2,6,-2.6014444828033447,True,True,0.011627485003447744,0.011627485003447744,35,35,False,0.0,0.0,False
23,2,7,-2.3583505153656006,True,True,0.014827234517081242,0.014827234517081242,23,23,False,0.0,0.0,False
24,3,0,-1.1465290784835815,True,True,0.04981355305415419,0.04981355305415419,2,2,False,0.0,0.0,False
25,3,1,-1.7467750310897827,True,True,0.027331534462427715,0.027331534462427715,9,9,False,0.0,0.0,False
26,3,2,-2.58168625831604,True,True,0.011859508096354013,0.011859508096354013,34,34,False,0.0,0.0,False
27,3,3,-2.870173215866089,True,True,0.008887474796637002,0.008887474796637002,50,50,False,0.0,0.0,False
28,3,4,-3.0529894828796387,True,True,0.007402565966168075,0.007402565966168075,54,54,False,0.0,0.0,False
29,3,5,-2.607164144515991,True,True,0.01156116955441634,0.01156116955441634,36,36,False,1.0,0.6666666865348816,False
30,3,6,-2.2062649726867676,True,True,0.017262753480057666,0.017262753480057666,21,21,False,0.0,0.0,False
