method,stage,lower_cost,upper_cost,contribution_mpa,initial_error_mpa,area_mpa
CENTER_FIRST,1,0.0,0.0625,8.893129656338763,57.048717998322985,48.475340629691196
CENTER_FIRST,2,0.0625,0.125,-0.3760318291749763,57.048717998322985,48.475340629691196
CENTER_FIRST,3,0.125,0.1875,-0.08595062585588246,57.048717998322985,48.475340629691196
CENTER_FIRST,4,0.1875,0.25,0.14223016732388738,57.048717998322985,48.475340629691196
GEOMETRY_SPREAD,1,0.0,0.0625,7.143319133563747,57.048717998322985,47.310644799814476
GEOMETRY_SPREAD,2,0.0625,0.125,2.671612796999717,57.048717998322985,47.310644799814476
GEOMETRY_SPREAD,3,0.125,0.1875,-0.12439282864770784,57.048717998322985,47.310644799814476
GEOMETRY_SPREAD,4,0.1875,0.25,0.04753409659275648,57.048717998322985,47.310644799814476
SERPENTINE,1,0.0,0.0625,7.507915780249429,57.048717998322985,48.91141600813801
SERPENTINE,2,0.0625,0.125,0.5360763610743803,57.048717998322985,48.91141600813801
SERPENTINE,3,0.125,0.1875,0.10700387520227539,57.048717998322985,48.91141600813801
SERPENTINE,4,0.1875,0.25,-0.013694026341116314,57.048717998322985,48.91141600813801
RANDOM,1,0.0,0.0625,4.4529146561371205,57.048717998322985,49.59439193122932
RANDOM,2,0.0625,0.125,2.5101742285987325,57.048717998322985,49.59439193122932
RANDOM,3,0.125,0.1875,0.36141192947919115,57.048717998322985,49.59439193122932
RANDOM,4,0.1875,0.25,0.1298252528786221,57.048717998322985,49.59439193122932
LEARNED_STATIC_TRUE,1,0.0,0.0625,9.72880637946861,57.048717998322985,47.97672118557994
LEARNED_STATIC_TRUE,2,0.0625,0.125,-1.0577518352419746,57.048717998322985,47.97672118557994
LEARNED_STATIC_TRUE,3,0.125,0.1875,0.44028342591359554,57.048717998322985,47.97672118557994
LEARNED_STATIC_TRUE,4,0.1875,0.25,-0.03934115739718532,57.048717998322985,47.97672118557994
NO_VLM_SPATIAL_FEEDBACK,1,0.0,0.0625,13.069448444441884,57.048717998322985,43.59708783510903
NO_VLM_SPATIAL_FEEDBACK,2,0.0625,0.125,0.19645784961283522,57.048717998322985,43.59708783510903
NO_VLM_SPATIAL_FEEDBACK,3,0.125,0.1875,0.07491674160320372,57.048717998322985,43.59708783510903
NO_VLM_SPATIAL_FEEDBACK,4,0.1875,0.25,0.11080712755603078,57.048717998322985,43.59708783510903
VLM_MEAN_FEEDBACK,1,0.0,0.0625,12.257023245159326,57.048717998322985,44.925584567912274
VLM_MEAN_FEEDBACK,2,0.0625,0.125,-0.6107105161295797,57.048717998322985,44.925584567912274
VLM_MEAN_FEEDBACK,3,0.125,0.1875,0.4028789541572993,57.048717998322985,44.925584567912274
VLM_MEAN_FEEDBACK,4,0.1875,0.25,0.07394174722365564,57.048717998322985,44.925584567912274
VLM_SPATIAL_FEEDBACK,1,0.0,0.0625,9.789369461712518,57.048717998322985,45.84674215157875
VLM_SPATIAL_FEEDBACK,2,0.0625,0.125,1.1068857128566945,57.048717998322985,45.84674215157875
VLM_SPATIAL_FEEDBACK,3,0.125,0.1875,0.28191573263130415,57.048717998322985,45.84674215157875
VLM_SPATIAL_FEEDBACK,4,0.1875,0.25,0.023804939543727168,57.048717998322985,45.84674215157875
VLM_SPATIAL_OPEN_LOOP,1,0.0,0.0625,11.898601810775412,57.048717998322985,44.906644991433275
VLM_SPATIAL_OPEN_LOOP,2,0.0625,0.125,-0.092798210971207,57.048717998322985,44.906644991433275
VLM_SPATIAL_OPEN_LOOP,3,0.125,0.1875,0.3129024241322534,57.048717998322985,44.906644991433275
VLM_SPATIAL_OPEN_LOOP,4,0.1875,0.25,0.023366982953249585,57.048717998322985,44.906644991433275
