specimen_key,dataset_id,split,capture_group_id,source_path,source_sha256,clean_sha256,numbered_sha256,signature,status,attempts,reused_from_pilot
74t7kcdgkr:c8-11,74t7kcdgkr,TRAIN,cg_dddfa79b65fe4ec3,data/public/hasebe/raw/74t7kcdgkr/v1/impacted surface image/c8-11.png,46773728bd6f2cadee11d8e7d384719930d6f2b92c7fa1bae46dbce3a95ed811,00b2b72ca4371c79aef481868ca66d8cbaf3908142f4456c75ff9c306438256d,d1d2d25b3fa0ee41b8357e34672d9129087a01881d65c8506ae2c3f5ce8a2305,16daff80cc42a07b219b0f4e2205ddd73e090ef7979b00a302351d1d54a2ba8c,SCHEMA_INVALID_AFTER_ONE_REPAIR,2,False
74t7kcdgkr:c8-12,74t7kcdgkr,VALID,cg_306e4a499acc46c1,data/public/hasebe/raw/74t7kcdgkr/v1/impacted surface image/c8-12.png,34505c44d206fb8bea8f8ef69c936745f99d0ea5522729fcc09385075a4c72ec,b7a0a816769d729a6e6f7fa5b981cabd064108997232d9e44164355960ea584f,6fdde4b151f352a6992df5637e0383061882f1da7819d5b9573c5bc47d5e8def,90612b407b2fdff9bea7c71cc8c05b03484cccc1a61586aa0cd783050c7e5c01,VALID_AFTER_REPAIR,2,False
74t7kcdgkr:c8-12t,74t7kcdgkr,TRAIN,cg_dce34b4d1a75ca03,data/public/hasebe/raw/74t7kcdgkr/v1/impacted surface image/c8-12t.png,870ebb51c5ebc4165e5c35563664017e287b7318ff5032aa1e23b25e76b19e8d,4f9d1ac5d00003125d3fa8c9cdd159a3a326dfd1801c08e7f0de75e736829e09,22ee0ed8be8726ee7b42987471e861deae61c7d424cf8f23e3a3848c8fb66c5d,002c9022f324ec29a6b0e6f4bf415a9209cba0ef0f80238c93d70d3ae43d0743,VALID_FIRST_PASS,1,False
74t7kcdgkr:c8-13,74t7kcdgkr,VALID,cg_f6941b7d17a6b65f,data/public/hasebe/raw/74t7kcdgkr/v1/impacted surface image/c8-13.png,b3825d1dfcd6a49cca2e45224b9763bba870223cd93a9af68b4540bed21d162a,e384e84af9dcaa57882cfbf179019cb02724af2d683c1692e56636f36e142d07,724e83fdb103899379c7e8c19847ad47bf118cdd2c83186b7809058dd41d0293,d1585a78b9cde8502f3c437125a5e41721a0027a496dd0b14066490d3a1bc73d,VALID_FIRST_PASS,1,False
74t7kcdgkr:c8-14,74t7kcdgkr,TRAIN,cg_de36842ceb0b669d,data/public/hasebe/raw/74t7kcdgkr/v1/impacted surface image/c8-14.png,efe859284f43600acf564be72ea5ac98068fc77d3731dfb37ec95a0fb38873af,9091507e6b6c5373355f4b7ab4106bd3374cf3b3652abf27271c57d2fc6f1e79,ced1ccdd2405172a8428a1c2b6dc7fbc5dd85ed322bc4a29b3997cd3101eb074,7efee393b5395f74004b523618bf433914883e5f97eea2e28a2757f0209e0f8e,VALID_AFTER_REPAIR,2,False
74t7kcdgkr:c8-15,74t7kcdgkr,TRAIN,cg_de36842ceb0b669d,data/public/hasebe/raw/74t7kcdgkr/v1/impacted surface image/c8-15.png,559b8c4abab9391aaf95c7c1c12fa0100fab1c94d162a4d736fc24052b97cb5b,080f6ec03a5b68d43313bf913d4335aecb0bc4de8fe9471fd4fdf71b5a1dfcc2,a603f171b83c7984a95defbd08fceee22e2e4f517a2a8033c510c831604ea066,eb0246575471d1a93b07ec846057e82fdb0b15f2837001ab1b8cb040a2dda507,VALID_AFTER_REPAIR,2,False
74t7kcdgkr:c8-16,74t7kcdgkr,VALID,cg_f6941b7d17a6b65f,data/public/hasebe/raw/74t7kcdgkr/v1/impacted surface image/c8-16.png,bf5971dfb981f6c3302d850db26b26785c575f3d51249a5e6625919bd101845a,bae76556ef388489255bf1f2d5e2638aa7a81a951a6c0b834c01dfb778ac903f,a457dc1fdb389fe3b690e68b1e1c17a61467744b9cc6710b6e46210a3ed36280,5df8ecc76e66ca2e3050201322a18bd2f6dbff6ac76f184922d4acd5b4191c36,VALID_AFTER_REPAIR,2,True
74t7kcdgkr:c8-19,74t7kcdgkr,TRAIN,cg_436f4e4305ab635d,data/public/hasebe/raw/74t7kcdgkr/v1/impacted surface image/c8-19.png,1eb1caa9ea96baa33c52e4f3411c714991996620639480a3bf638acfb347b504,1ab712c00f1a73ea6bcf9cd6315fc97fafa86b8310b43bcc0bc03dd66b7742de,2ce749a902ca36213e2a55d3e2ded7abbaae07e1ce5b941b0190dff26c4e4e92,497da6714aeeedd9e88aab232540375552e12daea414f1d9680c24fe8c57904b,VALID_FIRST_PASS,1,False
74t7kcdgkr:c8-2,74t7kcdgkr,VALID,cg_8ffe4fd6a878d7f3,data/public/hasebe/raw/74t7kcdgkr/v1/impacted surface image/c8-2.png,fba37c14b99ff92f65675a2c8fb574d3cd7fb506cfd8178361e624381c9bfc0d,9fc86ecd86e5bec1a09a52d5f9e7302781161089e27e7380767fc0296eee43fa,d74b7e1d6168f477b39fcd2143deb4b46de8f4951e9a3dade18c26955af3cd98,0ed4db5088bce92366ff891c7883b29038d3416110a52d87654e9eec5f29cd2d,VALID_FIRST_PASS,1,False
74t7kcdgkr:c8-20,74t7kcdgkr,TRAIN,cg_fc2b47129dab53b5,data/public/hasebe/raw/74t7kcdgkr/v1/impacted surface image/c8-20.png,8f24fb36b7af0b5f7123d76c97e6e1bbe423a48e0c7a7599e91175a5ccc0972d,7c6ca3678919b27543fc878ed7e3cd1ddcd352732c72a8a33f279c8bdf012e50,d472201dce814b8144288c365edff602067fd6c2318006e20ac2de7fddf5e28b,afdc979c519dda2968b7dbda17b82e3942e05c3f4c6bcf963b060e715fef9152,VALID_FIRST_PASS,1,False
74t7kcdgkr:c8-21,74t7kcdgkr,VALID,cg_49d6f1237b716b24,data/public/hasebe/raw/74t7kcdgkr/v1/impacted surface image/c8-21.png,334ea0c49f7626f221e92014670ecbbc2eab0373a28017bf2facd33a5f0fc7a0,9e68ff752a8ad24f3a20b58ea400144c1c07f830eac0738f51066d897e188502,9cc4f4b5f3edcacbd883a0276a70f76b355d986760714ec1b0c8e3b2a008e291,d99f4922d5f985ea4c885ef84e0943c03e814e5db99251a079bc702dc56a3ba4,VALID_FIRST_PASS,1,False
