row_index,specimen_key,method,provenance,source_path,prior_version
0,74t7kcdgkr:c8-12,CENTER_FIRST,REUSED_FROZEN_CONTROL,results/cai_agent_v3/w3_pilot/r1_0e11452a/policy_validation_episodes.csv.gz,UNCHANGED_CONTROL
1,74t7kcdgkr:c8-13,CENTER_FIRST,REUSED_FROZEN_CONTROL,results/cai_agent_v3/w3_pilot/r1_0e11452a/policy_validation_episodes.csv.gz,UNCHANGED_CONTROL
2,74t7kcdgkr:c8-16,CENTER_FIRST,REUSED_FROZEN_CONTROL,results/cai_agent_v3/w3_pilot/r1_0e11452a/policy_validation_episodes.csv.gz,UNCHANGED_CONTROL
3,74t7kcdgkr:c8-2,CENTER_FIRST,REUSED_FROZEN_CONTROL,results/cai_agent_v3/w3_pilot/r1_0e11452a/policy_validation_episodes.csv.gz,UNCHANGED_CONTROL
4,74t7kcdgkr:c8-21,CENTER_FIRST,REUSED_FROZEN_CONTROL,results/cai_agent_v3/w3_pilot/r1_0e11452a/policy_validation_episodes.csv.gz,UNCHANGED_CONTROL
5,74t7kcdgkr:c8-28,CENTER_FIRST,REUSED_FROZEN_CONTROL,results/cai_agent_v3/w3_pilot/r1_0e11452a/policy_validation_episodes.csv.gz,UNCHANGED_CONTROL
6,74t7kcdgkr:c8-3,CENTER_FIRST,REUSED_FROZEN_CONTROL,results/cai_agent_v3/w3_pilot/r1_0e11452a/policy_validation_episodes.csv.gz,UNCHANGED_CONTROL
7,74t7kcdgkr:c8-39,CENTER_FIRST,REUSED_FROZEN_CONTROL,results/cai_agent_v3/w3_pilot/r1_0e11452a/policy_validation_episodes.csv.gz,UNCHANGED_CONTROL
8,74t7kcdgkr:c8-43,CENTER_FIRST,REUSED_FROZEN_CONTROL,results/cai_agent_v3/w3_pilot/r1_0e11452a/policy_validation_episodes.csv.gz,UNCHANGED_CONTROL
9,cgtnjyggtm:q24-11,CENTER_FIRST,REUSED_FROZEN_CONTROL,results/cai_agent_v3/w3_pilot/r1_0e11452a/policy_validation_episodes.csv.gz,UNCHANGED_CONTROL
