capture_group_id,dataset_id,split,physical_specimen_count,specimen_keys,cscan_source_sha256,surface_sha256
cg_003861894521c128,cgtnjyggtm,TEST,1,cgtnjyggtm:q24-15,732661a2834dbbf734b29b93150e005cf6b30a59b7427b1a77f64a418690228d,952b6a1b33616ba8523c32b1bde00d5e06ff41c5efa288a1f0e6fc3be36b0938
cg_00c8cc426224e46a,yfxyg8jm46,TRAIN,1,yfxyg8jm46:c16-18,b1ff5de831b7f2268ad933ae9de11d413ae8cabea3fbdf5142ad87ca696e9d68,865a26486e21ec23175f4e1d2c484bbb55a1fcf378a30fdc5d59cd9e45f2c65f
cg_02fd3fc8caefe377,cgtnjyggtm,VALID,1,cgtnjyggtm:q24-11,6f72407ff32370a014f0a28c5098d163c36686f952956d77f9c14a09fbbb5c60,d5a0acbcd698a0c962e91ccf960ae01d5061a99482a1c2578e56c31f76efa21f
cg_053985a8e4f43e0b,cgtnjyggtm,TRAIN,1,cgtnjyggtm:q24-4,698fc17d7c449b157c1b9cddb03ec430e6e944073b2bf98cfc677909369db63c,d13c607fa0a032b74f8e3f6e0ebe7bf60c17a6129376805ea55ed71c82e09083
cg_0564124a9aaf940a,cgtnjyggtm,TEST,1,cgtnjyggtm:q24-42,14570a5c1e0d4952d8977e708a94f099b5a5a7a51782eb45b6a46bcf780b59be,f8156b17409d073fdf98f36ec46aa0cb311339d906551bae7757b3808d35786c
cg_060c49d6efef51ca,ykhs7s2dck,TEST,1,ykhs7s2dck:q8-27,9599fca6b7cce08a9eb00c59a0b7aca8bf8623c7e639c6f5b841196c728d4060,373314607f5445a2b9bbc2af8927b5bfbeb02bf37c68253e1a15223ac346ef07
cg_06ec34425b30c2e6,xcmzfsbd9t,VALID,1,xcmzfsbd9t:c24-56,19161e4434e9dd8c0462a486a774a71141fdfc80f29ce23a4ee4776c720a2b3f,00f0365fe0e8080bb2adddb55aa7eee1b8f96d4c9aa4bc89cea3c2f641b91b30
cg_07fcfc4ff6294626,ykhs7s2dck,TRAIN,1,ykhs7s2dck:q8-24,52a2e802d80228d9223e0b4b98f2bc88a612e23cbc67630ad7f4d4260d6856e2,9e3880677356cf9839f386722b734054bddc25f48600e5238a1c7cacf6f519b9
cg_0843879aa26d9903,yfxyg8jm46,TRAIN,1,yfxyg8jm46:c16-6,a58c531ba80f9aefdb5e369352a5d0dd4361d6f298a1de667a73ddc675c79047,abf9cfc0ffa04e3db55aa056943d051f05d2d00582e5b866161252fa328d2810
cg_09796b91b91be056,w68dtmpfyf,TRAIN,1,w68dtmpfyf:q16-32,ea1106b5de284956b6d3438adae15f8c308a7213ba9afbbe5a52784407405bdd,7e07815fa55fa7ef68422058296a5818a9155c2078064b83ac6993aae4defa20
