specimen_key,author_cai_mpa,v2_oof_label_mpa,difference_mpa,status
74t7kcdgkr:c8-10t,204.1723320631655,204.1723320631655,0.0,MATCH
74t7kcdgkr:c8-11,196.7274812860085,196.7274812860085,0.0,MATCH
74t7kcdgkr:c8-12,197.9714455514628,197.9714455514628,0.0,MATCH
74t7kcdgkr:c8-12t,258.1463795730097,258.1463795730097,0.0,MATCH
74t7kcdgkr:c8-13,266.5553825630658,266.5553825630658,0.0,MATCH
74t7kcdgkr:c8-14,264.9944318051024,264.9944318051024,0.0,MATCH
74t7kcdgkr:c8-15,275.7018365693511,275.7018365693511,0.0,MATCH
74t7kcdgkr:c8-16,264.1634406853025,264.1634406853025,0.0,MATCH
74t7kcdgkr:c8-17,274.4959685649026,274.4959685649026,0.0,MATCH
74t7kcdgkr:c8-18,270.34150847494,270.34150847494,0.0,MATCH
74t7kcdgkr:c8-19,254.6500936806725,254.6500936806725,0.0,MATCH
74t7kcdgkr:c8-2,163.8615940758297,163.8615940758297,0.0,MATCH
74t7kcdgkr:c8-20,209.1730625104266,209.1730625104266,0.0,MATCH
74t7kcdgkr:c8-21,263.1039895965736,263.1039895965736,0.0,MATCH
74t7kcdgkr:c8-22,272.7656416304013,272.7656416304013,0.0,MATCH
74t7kcdgkr:c8-23,262.4040932275472,262.4040932275472,0.0,MATCH
74t7kcdgkr:c8-24,259.85022005159,259.85022005159,0.0,MATCH
74t7kcdgkr:c8-25,269.5171308230499,269.5171308230499,0.0,MATCH
74t7kcdgkr:c8-26,271.9633956905797,271.9633956905797,0.0,MATCH
74t7kcdgkr:c8-27,260.1399524079116,260.1399524079116,0.0,MATCH
74t7kcdgkr:c8-28,282.8260906114969,282.8260906114969,0.0,MATCH
74t7kcdgkr:c8-29,274.0451959676628,274.0451959676628,0.0,MATCH
74t7kcdgkr:c8-3,213.0992747395474,213.0992747395474,0.0,MATCH
74t7kcdgkr:c8-30,274.6988259415933,274.6988259415933,0.0,MATCH
74t7kcdgkr:c8-32,193.220193067167,193.220193067167,0.0,MATCH
74t7kcdgkr:c8-33,193.6115527972501,193.6115527972501,0.0,MATCH
74t7kcdgkr:c8-34,212.6334580022977,212.6334580022977,0.0,MATCH
74t7kcdgkr:c8-35,182.7507942064879,182.7507942064879,0.0,MATCH
74t7kcdgkr:c8-36,175.8122184207168,175.8122184207168,0.0,MATCH
74t7kcdgkr:c8-37,212.7145773024425,212.7145773024425,0.0,MATCH
74t7kcdgkr:c8-38,220.5684059354834,220.5684059354834,0.0,MATCH
74t7kcdgkr:c8-39,168.5182853068995,168.5182853068995,0.0,MATCH
74t7kcdgkr:c8-4,186.2374222753387,186.2374222753387,0.0,MATCH
74t7kcdgkr:c8-40,210.6279258606018,210.6279258606018,0.0,MATCH
74t7kcdgkr:c8-41,265.4783081525837,265.4783081525837,0.0,MATCH
74t7kcdgkr:c8-42,197.567061367577,197.567061367577,0.0,MATCH
74t7kcdgkr:c8-43,199.8341311245278,199.8341311245278,0.0,MATCH
74t7kcdgkr:c8-5,196.9063596228532,196.9063596228532,0.0,MATCH
74t7kcdgkr:c8-6,184.7042969965568,184.7042969965568,0.0,MATCH
74t7kcdgkr:c8-6t,199.8018654485439,199.8018654485439,0.0,MATCH
74t7kcdgkr:c8-7,170.6015501705568,170.6015501705568,0.0,MATCH
74t7kcdgkr:c8-8,182.5012566840132,182.5012566840132,0.0,MATCH
74t7kcdgkr:c8-8t,216.3685465654312,216.3685465654312,0.0,MATCH
74t7kcdgkr:c8-9,201.0880996580271,201.0880996580271,0.0,MATCH
74t7kcdgkr:c8-9t,190.1312332847148,190.1312332847148,0.0,MATCH
cgtnjyggtm:q24-1,322.2297544186276,322.2297544186276,0.0,MATCH
cgtnjyggtm:q24-10,336.4184725438619,336.4184725438619,0.0,MATCH
cgtnjyggtm:q24-11,300.3553848425706,300.3553848425706,0.0,MATCH
cgtnjyggtm:q24-12,306.5520290929954,306.5520290929954,0.0,MATCH
cgtnjyggtm:q24-13,453.3123172968955,453.3123172968955,0.0,MATCH
cgtnjyggtm:q24-14,459.7777124926297,459.7777124926297,0.0,MATCH
cgtnjyggtm:q24-15,457.9709232064859,457.9709232064859,0.0,MATCH
cgtnjyggtm:q24-16,455.7016373127501,455.7016373127501,0.0,MATCH
cgtnjyggtm:q24-18,446.7258099076241,446.7258099076241,0.0,MATCH
cgtnjyggtm:q24-19,342.8416483117438,342.8416483117438,0.0,MATCH
cgtnjyggtm:q24-2,329.2690927927084,329.2690927927084,0.0,MATCH
cgtnjyggtm:q24-20,337.6909028898886,337.6909028898886,0.0,MATCH
cgtnjyggtm:q24-21,384.2588480246811,384.2588480246811,0.0,MATCH
cgtnjyggtm:q24-22,415.8693006306692,415.8693006306692,0.0,MATCH
cgtnjyggtm:q24-23,379.1289166159899,379.1289166159899,0.0,MATCH
cgtnjyggtm:q24-24,428.6219516949929,428.6219516949929,0.0,MATCH
cgtnjyggtm:q24-25,331.0783404488064,331.0783404488064,0.0,MATCH
cgtnjyggtm:q24-26,317.5328816183267,317.5328816183267,0.0,MATCH
cgtnjyggtm:q24-27,320.3085160218245,320.3085160218245,0.0,MATCH
cgtnjyggtm:q24-28,375.6209999680858,375.6209999680858,0.0,MATCH
cgtnjyggtm:q24-29,372.764953197536,372.764953197536,0.0,MATCH
cgtnjyggtm:q24-3,311.9546333254241,311.9546333254241,0.0,MATCH
cgtnjyggtm:q24-30,283.3366377150218,283.3366377150218,0.0,MATCH
cgtnjyggtm:q24-31,281.2053685402022,281.2053685402022,0.0,MATCH
cgtnjyggtm:q24-32,275.5045506465156,275.5045506465156,0.0,MATCH
cgtnjyggtm:q24-33,308.5413572450112,308.5413572450112,0.0,MATCH
cgtnjyggtm:q24-34,316.3388815632638,316.3388815632638,0.0,MATCH
cgtnjyggtm:q24-35,321.2025174246953,321.2025174246953,0.0,MATCH
cgtnjyggtm:q24-36,358.5326607055363,358.5326607055363,0.0,MATCH
cgtnjyggtm:q24-37,378.5227052054826,378.5227052054826,0.0,MATCH
cgtnjyggtm:q24-38,338.8521978552154,338.8521978552154,0.0,MATCH
cgtnjyggtm:q24-39,431.7704379444723,431.7704379444723,0.0,MATCH
cgtnjyggtm:q24-4,363.9162282768476,363.9162282768476,0.0,MATCH
cgtnjyggtm:q24-40,116.0373611371045,116.0373611371045,0.0,MATCH
cgtnjyggtm:q24-41,145.1566320185774,145.1566320185774,0.0,MATCH
cgtnjyggtm:q24-42,113.4151526566288,113.4151526566288,0.0,MATCH
cgtnjyggtm:q24-43,113.4356976268704,113.4356976268704,0.0,MATCH
cgtnjyggtm:q24-44,109.7504114917296,109.7504114917296,0.0,MATCH
cgtnjyggtm:q24-45,110.3718217994942,110.3718217994942,0.0,MATCH
cgtnjyggtm:q24-46,118.3974964304373,118.3974964304373,0.0,MATCH
cgtnjyggtm:q24-47,119.8673896475662,119.8673896475662,0.0,MATCH
cgtnjyggtm:q24-48,136.6800016223299,136.6800016223299,0.0,MATCH
cgtnjyggtm:q24-49,146.9254398495205,146.9254398495205,0.0,MATCH
cgtnjyggtm:q24-5,353.1213535100361,353.1213535100361,0.0,MATCH
cgtnjyggtm:q24-50,144.78563268364,144.78563268364,0.0,MATCH
cgtnjyggtm:q24-6,348.2847226221133,348.2847226221133,0.0,MATCH
cgtnjyggtm:q24-7,270.2327577227217,270.2327577227217,0.0,MATCH
cgtnjyggtm:q24-8,262.8702369192953,262.8702369192953,0.0,MATCH
cgtnjyggtm:q24-9,262.2107202934329,262.2107202934329,0.0,MATCH
w68dtmpfyf:q16-1,297.2135164655458,297.2135164655458,0.0,MATCH
w68dtmpfyf:q16-10,270.5972719919158,270.5972719919158,0.0,MATCH
w68dtmpfyf:q16-11,295.5874219454817,295.5874219454817,0.0,MATCH
w68dtmpfyf:q16-12,279.4817112278695,279.4817112278695,0.0,MATCH
w68dtmpfyf:q16-13,422.353254910877,422.353254910877,0.0,MATCH
w68dtmpfyf:q16-14,404.2454466808869,404.2454466808869,0.0,MATCH
w68dtmpfyf:q16-15,398.9341346385737,398.9341346385737,0.0,MATCH
w68dtmpfyf:q16-16,411.0764972970403,411.0764972970403,0.0,MATCH
w68dtmpfyf:q16-17,388.0014344684573,388.0014344684573,0.0,MATCH
w68dtmpfyf:q16-18,404.1195484574345,404.1195484574345,0.0,MATCH
w68dtmpfyf:q16-19,426.5519769807766,426.5519769807766,0.0,MATCH
w68dtmpfyf:q16-2,304.9983203922969,304.9983203922969,0.0,MATCH
w68dtmpfyf:q16-20,363.3721685585901,363.3721685585901,0.0,MATCH
w68dtmpfyf:q16-21,414.7344090895863,414.7344090895863,0.0,MATCH
w68dtmpfyf:q16-22,413.610152114819,413.610152114819,0.0,MATCH
w68dtmpfyf:q16-23,374.1396746923258,374.1396746923258,0.0,MATCH
w68dtmpfyf:q16-24,384.6164055693848,384.6164055693848,0.0,MATCH
w68dtmpfyf:q16-25,346.3905420155675,346.3905420155675,0.0,MATCH
w68dtmpfyf:q16-26,334.5045958578975,334.5045958578975,0.0,MATCH
w68dtmpfyf:q16-27,350.8853035718455,350.8853035718455,0.0,MATCH
w68dtmpfyf:q16-28,221.1390608454533,221.1390608454533,0.0,MATCH
w68dtmpfyf:q16-29,338.5483376402395,338.5483376402395,0.0,MATCH
w68dtmpfyf:q16-3,352.2940771961753,352.2940771961753,0.0,MATCH
w68dtmpfyf:q16-30,325.2823131241744,325.2823131241744,0.0,MATCH
w68dtmpfyf:q16-31,355.5688503340312,355.5688503340312,0.0,MATCH
w68dtmpfyf:q16-32,251.0343701442064,251.0343701442064,0.0,MATCH
w68dtmpfyf:q16-33,257.2702348149341,257.2702348149341,0.0,MATCH
w68dtmpfyf:q16-34,259.1323191591071,259.1323191591071,0.0,MATCH
w68dtmpfyf:q16-35,287.7591069938078,287.7591069938078,0.0,MATCH
w68dtmpfyf:q16-36,290.9002601359004,290.9002601359004,0.0,MATCH
w68dtmpfyf:q16-37,286.9637991902188,286.9637991902188,0.0,MATCH
w68dtmpfyf:q16-38,344.6358291031883,344.6358291031883,0.0,MATCH
w68dtmpfyf:q16-39,357.8509598032703,357.8509598032703,0.0,MATCH
w68dtmpfyf:q16-4,383.0700026275101,383.0700026275101,0.0,MATCH
w68dtmpfyf:q16-40,354.0503394184282,354.0503394184282,0.0,MATCH
w68dtmpfyf:q16-41,367.2051242559015,367.2051242559015,0.0,MATCH
w68dtmpfyf:q16-42,245.5256789028253,245.5256789028253,0.0,MATCH
w68dtmpfyf:q16-43,302.2819927887143,302.2819927887143,0.0,MATCH
w68dtmpfyf:q16-5,355.1265032659286,355.1265032659286,0.0,MATCH
w68dtmpfyf:q16-6,418.2673332243793,418.2673332243793,0.0,MATCH
w68dtmpfyf:q16-7,222.9341701177597,222.9341701177597,0.0,MATCH
w68dtmpfyf:q16-8,261.1739267018004,261.1739267018004,0.0,MATCH
w68dtmpfyf:q16-9,228.3986690900341,228.3986690900341,0.0,MATCH
xcmzfsbd9t:c24-10,299.3252068412073,299.3252068412073,0.0,MATCH
xcmzfsbd9t:c24-10t,358.9627090266727,358.9627090266727,0.0,MATCH
xcmzfsbd9t:c24-11,325.3224849038039,325.3224849038039,0.0,MATCH
xcmzfsbd9t:c24-11t,566.0504752620525,566.0504752620525,0.0,MATCH
xcmzfsbd9t:c24-12,297.1063520023052,297.1063520023052,0.0,MATCH
xcmzfsbd9t:c24-12t,431.8961469787579,431.8961469787579,0.0,MATCH
xcmzfsbd9t:c24-13,491.9646815144501,491.9646815144501,0.0,MATCH
xcmzfsbd9t:c24-14,549.6859682830219,549.6859682830219,0.0,MATCH
xcmzfsbd9t:c24-15,480.891164885706,480.891164885706,0.0,MATCH
xcmzfsbd9t:c24-16,535.4702422337182,535.4702422337182,0.0,MATCH
xcmzfsbd9t:c24-17,539.7345916091459,539.7345916091459,0.0,MATCH
xcmzfsbd9t:c24-18,552.8228422734558,552.8228422734558,0.0,MATCH
xcmzfsbd9t:c24-2,208.4120780661113,208.4120780661113,0.0,MATCH
xcmzfsbd9t:c24-20,494.1524059122719,494.1524059122719,0.0,MATCH
xcmzfsbd9t:c24-21,535.9412312096389,535.9412312096389,0.0,MATCH
xcmzfsbd9t:c24-24,405.8955101718756,405.8955101718756,0.0,MATCH
xcmzfsbd9t:c24-25,426.3175510252684,426.3175510252684,0.0,MATCH
xcmzfsbd9t:c24-26,271.9090654191186,271.9090654191186,0.0,MATCH
xcmzfsbd9t:c24-27,284.4205642686591,284.4205642686591,0.0,MATCH
xcmzfsbd9t:c24-28,302.8840546653755,302.8840546653755,0.0,MATCH
xcmzfsbd9t:c24-29,568.2848038076212,568.2848038076212,0.0,MATCH
xcmzfsbd9t:c24-3,247.6961061107016,247.6961061107016,0.0,MATCH
xcmzfsbd9t:c24-30,515.4344665119668,515.4344665119668,0.0,MATCH
xcmzfsbd9t:c24-31,514.9633946108286,514.9633946108286,0.0,MATCH
xcmzfsbd9t:c24-32,214.5376240880727,214.5376240880727,0.0,MATCH
xcmzfsbd9t:c24-33,230.4139092788942,230.4139092788942,0.0,MATCH
xcmzfsbd9t:c24-34,282.2196343815044,282.2196343815044,0.0,MATCH
xcmzfsbd9t:c24-35,403.4884300272034,403.4884300272034,0.0,MATCH
xcmzfsbd9t:c24-36,376.7075892172692,376.7075892172692,0.0,MATCH
xcmzfsbd9t:c24-37,381.1910617271266,381.1910617271266,0.0,MATCH
xcmzfsbd9t:c24-39,246.5472307600387,246.5472307600387,0.0,MATCH
xcmzfsbd9t:c24-40,240.4494107916495,240.4494107916495,0.0,MATCH
xcmzfsbd9t:c24-41,220.2754775851966,220.2754775851966,0.0,MATCH
xcmzfsbd9t:c24-42,301.5539091194856,301.5539091194856,0.0,MATCH
xcmzfsbd9t:c24-43,301.3672332269399,301.3672332269399,0.0,MATCH
xcmzfsbd9t:c24-44,308.2285456019131,308.2285456019131,0.0,MATCH
xcmzfsbd9t:c24-45,351.860766091996,351.860766091996,0.0,MATCH
xcmzfsbd9t:c24-46,271.0863840119422,271.0863840119422,0.0,MATCH
xcmzfsbd9t:c24-47,480.5938401617894,480.5938401617894,0.0,MATCH
xcmzfsbd9t:c24-48,300.7365935629101,300.7365935629101,0.0,MATCH
xcmzfsbd9t:c24-49,364.4011405710178,364.4011405710178,0.0,MATCH
xcmzfsbd9t:c24-5,310.3994259331632,310.3994259331632,0.0,MATCH
xcmzfsbd9t:c24-50,292.1376667995749,292.1376667995749,0.0,MATCH
xcmzfsbd9t:c24-51,263.2923684416416,263.2923684416416,0.0,MATCH
xcmzfsbd9t:c24-52,252.2976193049346,252.2976193049346,0.0,MATCH
xcmzfsbd9t:c24-53,242.2957374305774,242.2957374305774,0.0,MATCH
xcmzfsbd9t:c24-54,297.0981759911108,297.0981759911108,0.0,MATCH
xcmzfsbd9t:c24-55,254.7364530242386,254.7364530242386,0.0,MATCH
xcmzfsbd9t:c24-56,230.256671013469,230.256671013469,0.0,MATCH
xcmzfsbd9t:c24-57,260.6229810606546,260.6229810606546,0.0,MATCH
xcmzfsbd9t:c24-58,263.089899559573,263.089899559573,0.0,MATCH
xcmzfsbd9t:c24-59,285.0923266308872,285.0923266308872,0.0,MATCH
xcmzfsbd9t:c24-6,291.2653117227874,291.2653117227874,0.0,MATCH
xcmzfsbd9t:c24-6t,264.8455809168573,264.8455809168573,0.0,MATCH
xcmzfsbd9t:c24-7,250.2827843431505,250.2827843431505,0.0,MATCH
xcmzfsbd9t:c24-8,216.3135106383908,216.3135106383908,0.0,MATCH
xcmzfsbd9t:c24-8t,319.3617087451343,319.3617087451343,0.0,MATCH
xcmzfsbd9t:c24-9,248.4102287731401,248.4102287731401,0.0,MATCH
xcmzfsbd9t:c24-9t,278.2536246931779,278.2536246931779,0.0,MATCH
yfxyg8jm46:c16-1,213.3410543004724,213.3410543004724,0.0,MATCH
yfxyg8jm46:c16-10,245.0831903590737,245.0831903590737,0.0,MATCH
yfxyg8jm46:c16-11,226.2518488900903,226.2518488900903,0.0,MATCH
yfxyg8jm46:c16-12,268.0381516791679,268.0381516791679,0.0,MATCH
yfxyg8jm46:c16-13,510.901239864638,510.901239864638,0.0,MATCH
yfxyg8jm46:c16-14,508.2288743617048,508.2288743617048,0.0,MATCH
yfxyg8jm46:c16-15,485.3997869888117,485.3997869888117,0.0,MATCH
yfxyg8jm46:c16-16,499.2597781775269,499.2597781775269,0.0,MATCH
yfxyg8jm46:c16-17,512.5420595148929,512.5420595148929,0.0,MATCH
yfxyg8jm46:c16-18,542.123069096443,542.123069096443,0.0,MATCH
yfxyg8jm46:c16-19,247.9709323084748,247.9709323084748,0.0,MATCH
yfxyg8jm46:c16-2,245.7370244454288,245.7370244454288,0.0,MATCH
yfxyg8jm46:c16-20,239.299129597809,239.299129597809,0.0,MATCH
yfxyg8jm46:c16-21,207.7060610290256,207.7060610290256,0.0,MATCH
yfxyg8jm46:c16-22,488.5845823451517,488.5845823451517,0.0,MATCH
yfxyg8jm46:c16-23,506.4261737050501,506.4261737050501,0.0,MATCH
yfxyg8jm46:c16-24,523.4414354216926,523.4414354216926,0.0,MATCH
yfxyg8jm46:c16-25,199.5304815742978,199.5304815742978,0.0,MATCH
