cell_id,row,col,source_width,source_height,render_width,render_height,x0,y0,x1_exclusive,y1_exclusive,u0,v0,u1,v1,display_x0,display_y0,display_x1,display_y1,source_x0_approx,source_y0_approx,source_x1_approx,source_y1_approx,raw,parsed,feature_indicator,ordinal_confidence,confidence_level,c0,historical_first_action,historical_action_step,cscan_width,cscan_height,cscan_x0,cscan_y0,cscan_x1_exclusive,cscan_y1_exclusive
0,0,0,3357,3357,1024,1024,0,0,128,128,0.0,0.0,0.125,0.125,-0.5,-0.5,127.5,127.5,0.0,2937.375,419.625,3357.0,False,False,0.0,0.0,unknown/unselected,False,False,4,675,674,0,0,84,84
1,0,1,3357,3357,1024,1024,128,0,256,128,0.125,0.0,0.25,0.125,127.5,-0.5,255.5,127.5,0.0,2517.75,419.625,2937.375,False,False,0.0,0.0,unknown/unselected,False,False,,675,674,84,0,169,84
2,0,2,3357,3357,1024,1024,256,0,384,128,0.25,0.0,0.375,0.125,255.5,-0.5,383.5,127.5,0.0,2098.125,419.625,2517.75,False,False,0.0,0.0,unknown/unselected,False,False,,675,674,169,0,253,84
3,0,3,3357,3357,1024,1024,384,0,512,128,0.375,0.0,0.5,0.125,383.5,-0.5,511.5,127.5,0.0,1678.5,419.625,2098.125,False,False,0.0,0.0,unknown/unselected,False,False,,675,674,253,0,338,84
4,0,4,3357,3357,1024,1024,512,0,640,128,0.5,0.0,0.625,0.125,511.5,-0.5,639.5,127.5,0.0,1258.875,419.625,1678.5,False,False,0.0,0.0,unknown/unselected,False,False,,675,674,338,0,422,84
5,0,5,3357,3357,1024,1024,640,0,768,128,0.625,0.0,0.75,0.125,639.5,-0.5,767.5,127.5,0.0,839.25,419.625,1258.875,False,False,0.0,0.0,unknown/unselected,False,False,,675,674,422,0,506,84
6,0,6,3357,3357,1024,1024,768,0,896,128,0.75,0.0,0.875,0.125,767.5,-0.5,895.5,127.5,0.0,419.625,419.625,839.25,False,False,0.0,0.0,unknown/unselected,False,False,,675,674,506,0,591,84
7,0,7,3357,3357,1024,1024,896,0,1024,128,0.875,0.0,1.0,0.125,895.5,-0.5,1023.5,127.5,0.0,0.0,419.625,419.625,False,False,0.0,0.0,unknown/unselected,False,False,,675,674,591,0,675,84
8,1,0,3357,3357,1024,1024,0,128,128,256,0.0,0.125,0.125,0.25,-0.5,127.5,127.5,255.5,419.625,2937.375,839.25,3357.0,False,False,0.0,0.0,unknown/unselected,False,False,6,675,674,0,84,84,168
9,1,1,3357,3357,1024,1024,128,128,256,256,0.125,0.125,0.25,0.25,127.5,127.5,255.5,255.5,419.625,2517.75,839.25,2937.375,False,False,0.0,0.0,unknown/unselected,False,False,,675,674,84,84,169,168
