cell_id,cell_box,text_box,panel_box,draw_origin,r0_label_box
0,"[0, 0, 128, 128]","[10, 10, 25, 28]","[8, 8, 27, 30]","[10, 5]","[1, 2, 9, 12]"
1,"[128, 0, 256, 128]","[138, 10, 153, 28]","[136, 8, 155, 30]","[138, 5]","[129, 2, 137, 12]"
2,"[256, 0, 384, 128]","[266, 10, 281, 28]","[264, 8, 283, 30]","[266, 5]","[257, 2, 265, 12]"
3,"[384, 0, 512, 128]","[394, 10, 409, 28]","[392, 8, 411, 30]","[394, 5]","[385, 2, 393, 12]"
4,"[512, 0, 640, 128]","[522, 10, 537, 28]","[520, 8, 539, 30]","[522, 5]","[513, 2, 521, 12]"
5,"[640, 0, 768, 128]","[650, 10, 665, 28]","[648, 8, 667, 30]","[650, 5]","[641, 2, 649, 12]"
6,"[768, 0, 896, 128]","[778, 10, 793, 28]","[776, 8, 795, 30]","[778, 5]","[769, 2, 777, 12]"
7,"[896, 0, 1024, 128]","[906, 10, 921, 28]","[904, 8, 923, 30]","[906, 5]","[897, 2, 905, 12]"
8,"[0, 128, 128, 256]","[10, 138, 25, 156]","[8, 136, 27, 158]","[10, 133]","[1, 130, 9, 140]"
9,"[128, 128, 256, 256]","[138, 138, 153, 156]","[136, 136, 155, 158]","[138, 133]","[129, 130, 137, 140]"
10,"[256, 128, 384, 256]","[266, 138, 297, 156]","[264, 136, 299, 158]","[266, 133]","[257, 130, 271, 140]"
11,"[384, 128, 512, 256]","[394, 138, 425, 156]","[392, 136, 427, 158]","[394, 133]","[385, 130, 399, 140]"
12,"[512, 128, 640, 256]","[522, 138, 553, 156]","[520, 136, 555, 158]","[522, 133]","[513, 130, 527, 140]"
13,"[640, 128, 768, 256]","[650, 138, 681, 156]","[648, 136, 683, 158]","[650, 133]","[641, 130, 655, 140]"
14,"[768, 128, 896, 256]","[778, 138, 809, 156]","[776, 136, 811, 158]","[778, 133]","[769, 130, 783, 140]"
15,"[896, 128, 1024, 256]","[906, 138, 937, 156]","[904, 136, 939, 158]","[906, 133]","[897, 130, 911, 140]"
16,"[0, 256, 128, 384]","[10, 266, 41, 284]","[8, 264, 43, 286]","[10, 261]","[1, 258, 15, 268]"
17,"[128, 256, 256, 384]","[138, 266, 169, 284]","[136, 264, 171, 286]","[138, 261]","[129, 258, 143, 268]"
18,"[256, 256, 384, 384]","[266, 266, 297, 284]","[264, 264, 299, 286]","[266, 261]","[257, 258, 271, 268]"
19,"[384, 256, 512, 384]","[394, 266, 425, 284]","[392, 264, 427, 286]","[394, 261]","[385, 258, 399, 268]"
20,"[512, 256, 640, 384]","[522, 266, 553, 284]","[520, 264, 555, 286]","[522, 261]","[513, 258, 527, 268]"
21,"[640, 256, 768, 384]","[650, 266, 681, 284]","[648, 264, 683, 286]","[650, 261]","[641, 258, 655, 268]"
