cell_id,row,column,x0,y0,x1_exclusive,y1_exclusive,indicator,ordinal_confidence,diagnostic_c0,legal,available
0,0,0,0,0,128,128,0.0,0.0,False,True,True
1,0,1,128,0,256,128,0.0,0.0,False,True,True
2,0,2,256,0,384,128,0.0,0.0,False,True,True
3,0,3,384,0,512,128,0.0,0.0,False,True,True
4,0,4,512,0,640,128,0.0,0.0,False,True,True
5,0,5,640,0,768,128,0.0,0.0,False,True,True
6,0,6,768,0,896,128,0.0,0.0,False,True,True
7,0,7,896,0,1024,128,0.0,0.0,False,True,True
8,1,0,0,128,128,256,0.0,0.0,False,True,True
9,1,1,128,128,256,256,0.0,0.0,False,True,True
10,1,2,256,128,384,256,0.0,0.0,False,True,True
11,1,3,384,128,512,256,0.0,0.0,False,True,True
12,1,4,512,128,640,256,0.0,0.0,False,True,True
13,1,5,640,128,768,256,0.0,0.0,False,True,True
14,1,6,768,128,896,256,0.0,0.0,False,True,True
15,1,7,896,128,1024,256,0.0,0.0,False,True,True
16,2,0,0,256,128,384,0.0,0.0,False,True,True
17,2,1,128,256,256,384,0.0,0.0,False,True,True
18,2,2,256,256,384,384,0.0,0.0,False,True,True
19,2,3,384,256,512,384,0.0,0.0,False,True,True
20,2,4,512,256,640,384,0.0,0.0,False,True,True
21,2,5,640,256,768,384,0.0,0.0,False,True,True
22,2,6,768,256,896,384,0.0,0.0,False,True,True
23,2,7,896,256,1024,384,0.0,0.0,False,True,True
24,3,0,0,384,128,512,0.0,0.0,False,True,True
25,3,1,128,384,256,512,0.0,0.0,False,True,True
26,3,2,256,384,384,512,0.0,0.0,False,True,True
27,3,3,384,384,512,512,1.0,0.6666666865348816,True,True,True
28,3,4,512,384,640,512,1.0,0.6666666865348816,True,True,True
29,3,5,640,384,768,512,0.0,0.0,False,True,True
30,3,6,768,384,896,512,0.0,0.0,False,True,True
31,3,7,896,384,1024,512,0.0,0.0,False,True,True
32,4,0,0,512,128,640,0.0,0.0,False,True,True
33,4,1,128,512,256,640,0.0,0.0,False,True,True
34,4,2,256,512,384,640,0.0,0.0,False,True,True
35,4,3,384,512,512,640,0.0,0.0,False,True,True
36,4,4,512,512,640,640,0.0,0.0,False,True,True
37,4,5,640,512,768,640,0.0,0.0,False,True,True
38,4,6,768,512,896,640,0.0,0.0,False,True,True
39,4,7,896,512,1024,640,0.0,0.0,False,True,True
40,5,0,0,640,128,768,0.0,0.0,False,True,True
41,5,1,128,640,256,768,0.0,0.0,False,True,True
42,5,2,256,640,384,768,0.0,0.0,False,True,True
43,5,3,384,640,512,768,0.0,0.0,False,True,True
44,5,4,512,640,640,768,0.0,0.0,False,True,True
45,5,5,640,640,768,768,0.0,0.0,False,True,True
46,5,6,768,640,896,768,0.0,0.0,False,True,True
47,5,7,896,640,1024,768,0.0,0.0,False,True,True
48,6,0,0,768,128,896,0.0,0.0,False,True,True
49,6,1,128,768,256,896,0.0,0.0,False,True,True
50,6,2,256,768,384,896,0.0,0.0,False,True,True
51,6,3,384,768,512,896,0.0,0.0,False,True,True
52,6,4,512,768,640,896,0.0,0.0,False,True,True
53,6,5,640,768,768,896,0.0,0.0,False,True,True
54,6,6,768,768,896,896,0.0,0.0,False,True,True
55,6,7,896,768,1024,896,0.0,0.0,False,True,True
56,7,0,0,896,128,1024,0.0,0.0,False,True,True
57,7,1,128,896,256,1024,0.0,0.0,False,True,True
58,7,2,256,896,384,1024,0.0,0.0,False,True,True
59,7,3,384,896,512,1024,1.0,0.0,False,True,True
60,7,4,512,896,640,1024,1.0,0.0,False,True,True
61,7,5,640,896,768,1024,0.0,0.0,False,True,True
62,7,6,768,896,896,1024,0.0,0.0,False,True,True
63,7,7,896,896,1024,1024,0.0,0.0,False,True,True
