method,budget,scope,mae_mpa,mse_mpa2,rmse_mpa,r2_repeat_mean,physical_n
CENTER_FIRST,0.0,VALID_PILOT,58.55099456787109,5742.230749231293,75.77750820151908,0.4287998792276081,50
CENTER_FIRST,0.0625,VALID_PILOT,47.885134887695315,4209.6203817093,64.8815873858624,0.5812540847892316,50
CENTER_FIRST,0.125,VALID_PILOT,48.827230529785155,4347.0162537967,65.93190618961884,0.5675868286030434,50
CENTER_FIRST,0.1875,VALID_PILOT,49.09352935791016,4392.673050113586,66.27724383311052,0.563045184648074,50
CENTER_FIRST,0.25,VALID_PILOT,48.02656921386719,4254.056433402924,65.22312805595055,0.576833872644771,50
GEOMETRY_SPREAD,0.0,VALID_PILOT,58.55099456787109,5742.230749231293,75.77750820151908,0.4287998792276081,50
GEOMETRY_SPREAD,0.0625,VALID_PILOT,50.22089508056641,4597.362003031126,67.80384947059515,0.5426840463146962,50
GEOMETRY_SPREAD,0.125,VALID_PILOT,46.188976745605466,3896.3318829641353,62.42060463472086,0.6124180062920022,50
GEOMETRY_SPREAD,0.1875,VALID_PILOT,46.55507232666016,3887.100879527344,62.34661882995215,0.6133362470434123,50
GEOMETRY_SPREAD,0.25,VALID_PILOT,46.9099169921875,3878.5763183528743,62.27821704539136,0.6141842154698014,50
LEARNED_STATIC_TRUE,0.0,VALID_PILOT,58.55099456787109,5742.230749231293,75.77750820151908,0.4287998792276081,50
LEARNED_STATIC_TRUE,0.0625,VALID_PILOT,46.46498809814453,3933.8534235517263,62.72043864285171,0.6086856051658253,50
LEARNED_STATIC_TRUE,0.125,VALID_PILOT,48.06415130615235,4095.245506595294,63.99410524880627,0.5926313605086361,50
LEARNED_STATIC_TRUE,0.1875,VALID_PILOT,46.784012145996094,3914.99573276632,62.5699267441342,0.6105614467550116,50
LEARNED_STATIC_TRUE,0.25,VALID_PILOT,46.99311798095703,3864.8554222887988,62.16796138115515,0.6155490818137663,50
NO_VLM_SPATIAL_FEEDBACK,0.0,VALID_PILOT,58.55099456787109,5742.230749231293,75.77750820151908,0.4287998792276081,50
NO_VLM_SPATIAL_FEEDBACK,0.0625,VALID_PILOT,43.32439086914062,3706.136301281834,60.878044492919074,0.6313374374280374,50
NO_VLM_SPATIAL_FEEDBACK,0.125,VALID_PILOT,43.164353637695314,3620.2539530121257,60.168546209893805,0.6398804601392791,50
NO_VLM_SPATIAL_FEEDBACK,0.1875,VALID_PILOT,42.92821166992187,3409.136865302231,58.38781435626984,0.6608810279087215,50
NO_VLM_SPATIAL_FEEDBACK,0.25,VALID_PILOT,42.38468078613281,3196.048734096438,56.53360712086606,0.6820776623867433,50
RANDOM,0.0,VALID_PILOT,58.55099456787109,5742.230749231293,75.77750820151908,0.4287998792276081,50
RANDOM,0.0625,VALID_PILOT,53.15628833007813,4776.938159029075,69.11539740918137,0.5248209672303872,50
RANDOM,0.125,VALID_PILOT,49.153046875,4229.939386597644,65.03798418307292,0.5792328810875601,50
RANDOM,0.1875,VALID_PILOT,48.10751965332032,4021.104832698098,63.41218205280511,0.6000063970987094,50
RANDOM,0.25,VALID_PILOT,46.88638348388672,3836.6317746708137,61.94055032586338,0.6183565884487423,50
SERPENTINE,0.0,VALID_PILOT,58.55099456787109,5742.230749231293,75.77750820151908,0.4287998792276081,50
SERPENTINE,0.0625,VALID_PILOT,49.73057769775391,4188.751613949682,64.72056561827686,0.5833299753595051,50
SERPENTINE,0.125,VALID_PILOT,48.7731787109375,4196.133291361825,64.77756780986628,0.5825956936467955,50
SERPENTINE,0.1875,VALID_PILOT,48.343042602539064,4087.232855752753,63.93146999524376,0.5934284073931729,50
SERPENTINE,0.25,VALID_PILOT,48.012801818847656,3974.1649022251786,63.04097796057084,0.604675678972965,50
VLM_MEAN_FEEDBACK,0.0,VALID_PILOT,58.55099456787109,5742.230749231293,75.77750820151908,0.4287998792276081,50
VLM_MEAN_FEEDBACK,0.0625,VALID_PILOT,46.4928271484375,3718.5381514754517,60.97981757496042,0.6301037812693495,50
VLM_MEAN_FEEDBACK,0.125,VALID_PILOT,44.247520446777344,3626.6130636698613,60.22136716872062,0.6392478967794404,50
VLM_MEAN_FEEDBACK,0.1875,VALID_PILOT,43.72070495605469,3555.472634401517,59.62778408092588,0.6463244883628276,50
VLM_MEAN_FEEDBACK,0.25,VALID_PILOT,43.6108740234375,3482.446003406672,59.01225299382046,0.6535887071421653,50
VLM_SPATIAL_FEEDBACK,0.0,VALID_PILOT,58.55099456787109,5742.230749231293,75.77750820151908,0.4287998792276081,50
VLM_SPATIAL_FEEDBACK,0.0625,VALID_PILOT,45.51743743896484,3658.084053915958,60.48209697022713,0.6361173654207339,50
VLM_SPATIAL_FEEDBACK,0.125,VALID_PILOT,44.11356689453125,3570.9372206431626,59.75731938970458,0.6447861709536735,50
VLM_SPATIAL_FEEDBACK,0.1875,VALID_PILOT,44.68454376220703,3536.874176569027,59.471624969972254,0.6481745431279589,50
VLM_SPATIAL_FEEDBACK,0.25,VALID_PILOT,44.285798950195314,3424.2914422763884,58.51744562330441,0.6593735482242711,50
VLM_SPATIAL_OPEN_LOOP,0.0,VALID_PILOT,58.55099456787109,5742.230749231293,75.77750820151908,0.4287998792276081,50
VLM_SPATIAL_OPEN_LOOP,0.0625,VALID_PILOT,45.59236480712891,3684.3422316542037,60.6987827856062,0.6335053710669095,50
VLM_SPATIAL_OPEN_LOOP,0.125,VALID_PILOT,46.14488677978515,3922.1417130531604,62.62700466294999,0.609850610673855,50
VLM_SPATIAL_OPEN_LOOP,0.1875,VALID_PILOT,46.107354431152345,3834.039417729727,61.919620620040355,0.6186144594160545,50
VLM_SPATIAL_OPEN_LOOP,0.25,VALID_PILOT,44.821927795410154,3559.635519321202,59.66268112749545,0.6459103913902872,50
