dataset_id,method,scope,episode_count,validation_area_mpa,validation_early_area_mpa,validation_objective_mpa,domain_equal_endpoint_mae_mpa,endpoint_pooled_mae_mpa,endpoint_pooled_rmse_mpa,endpoint_r2_repeat_mean,physical_n
74t7kcdgkr,CENTER_FIRST,VALID_PILOT,9,43.491688564941484,42.743351217017306,54.66379710918519,44.68843417697482,44.68843417697482,59.01792543343392,-0.9013647587202431,9
cgtnjyggtm,CENTER_FIRST,VALID_PILOT,9,76.46349423701898,86.9125707978745,94.93860969518954,73.9004618326823,73.9004618326823,91.50645977250524,0.37016415867002395,9
w68dtmpfyf,CENTER_FIRST,VALID_PILOT,8,41.027479258360266,43.684702353548225,51.32086094933927,41.173526763916016,41.173526763916016,53.108961021339546,-0.13280295495121974,8
xcmzfsbd9t,CENTER_FIRST,VALID_PILOT,9,55.546391509574875,54.164338253021384,69.1262788997116,54.319549560546875,54.319549560546875,66.98503706134333,0.20835941231486288,9
yfxyg8jm46,CENTER_FIRST,VALID_PILOT,8,51.89408528441243,55.537227282047745,64.33946835631184,49.781532287597656,49.781532287597656,69.55167149452612,0.667606542835536,8
ykhs7s2dck,CENTER_FIRST,VALID_PILOT,7,22.42890492383915,27.88167834154127,26.625761286318227,16.787425449916295,16.787425449916295,24.919761660462584,-0.18238555965048753,7
74t7kcdgkr,GEOMETRY_SPREAD,VALID_PILOT,9,32.22357752584972,33.83011851332475,40.795861376625545,34.2891354031033,34.2891354031033,43.68162598301566,-0.04158604665207144,9
cgtnjyggtm,GEOMETRY_SPREAD,VALID_PILOT,9,81.80998022349436,88.46141264376634,101.93679432397181,80.50725640190973,80.50725640190973,95.64596663698421,0.31189108406748556,9
w68dtmpfyf,GEOMETRY_SPREAD,VALID_PILOT,8,46.925358114287626,51.234011966392146,58.35100108151175,45.702571868896484,45.702571868896484,54.3596343807363,-0.18678436621309125,8
xcmzfsbd9t,GEOMETRY_SPREAD,VALID_PILOT,9,48.92286641223406,56.8710672267734,60.006807553998364,44.33576456705729,44.33576456705729,54.12759894750096,0.48309590379843304,9
yfxyg8jm46,GEOMETRY_SPREAD,VALID_PILOT,8,56.216778427368865,59.30484224736396,69.7877465784614,54.28387260437012,54.28387260437012,72.01903219453791,0.643604768005574,8
ykhs7s2dck,GEOMETRY_SPREAD,VALID_PILOT,7,17.765308095652223,21.57730214018564,21.815839755459702,16.20212663922991,16.20212663922991,20.427005861638683,0.20552401238809637,7
74t7kcdgkr,LEARNED_STATIC_TRUE,VALID_PILOT,9,34.89943160523647,38.68704782135872,43.13115539063686,32.92689514160156,32.92689514160156,43.82756821090888,-0.048557642746365426,9
cgtnjyggtm,LEARNED_STATIC_TRUE,VALID_PILOT,9,80.70055744861358,91.92903509455077,99.87325472780195,76.69078911675348,76.69078911675348,90.73827737292449,0.38069451850682445,9
w68dtmpfyf,LEARNED_STATIC_TRUE,VALID_PILOT,8,47.55169417781559,53.37864640512287,58.22581794185368,42.696495056152344,42.696495056152344,56.06520750203213,-0.26242512761633896,8
xcmzfsbd9t,LEARNED_STATIC_TRUE,VALID_PILOT,9,53.866250162957186,57.73065486534693,66.91555554897064,52.19722154405382,52.19722154405382,64.14613444018357,0.27403876826826745,9
yfxyg8jm46,LEARNED_STATIC_TRUE,VALID_PILOT,8,48.419588229385546,52.10258038086582,61.135476729599176,50.86355400085449,50.86355400085449,65.6288157596551,0.704044470374849,8
ykhs7s2dck,LEARNED_STATIC_TRUE,VALID_PILOT,7,22.42280548947127,23.84567188776992,27.59571100268974,20.691622052873885,20.691622052873885,27.302600600368628,-0.4193169212473984,7
74t7kcdgkr,NO_VLM_SPATIAL_FEEDBACK,VALID_PILOT,9,31.330497180448642,39.428085328830896,38.49416210422251,28.654659695095486,28.654659695095486,32.713750098731445,0.4158044762668319,9
cgtnjyggtm,NO_VLM_SPATIAL_FEEDBACK,VALID_PILOT,9,68.7490897532694,76.55227752724676,84.76579346488508,64.06681484646268,64.06681484646268,82.69029407391942,0.4856805638858389,9
w68dtmpfyf,NO_VLM_SPATIAL_FEEDBACK,VALID_PILOT,8,47.03014225647127,52.838550364176434,58.05213875457919,44.08798599243164,44.08798599243164,56.50181339564097,-0.282163872271445,8
