schema_version,item_id,dataset_id,specimen_id,specimen_key,native_height,native_width,source_image_path,source_image_sha256,display_image_sha256,status,packet_id,packet_number,packet_path
1,reference-001-742fab86,74t7kcdgkr,c8-24,74t7kcdgkr:c8-24,674,675,/home/ww/paper3/cmc_damage_inference/data/public/hasebe/processed/74t7kcdgkr/internal_cscan/c8-24.png,39f519201158d464808bea9e455af79bc2c2d747a694dc0bc3f3b48bea77a355,bf6868c85d7b8ab1a23303bc9b92eb4c54a2154873afe93378a8d5348998d5b1,PREPARED,c70a096a2928a75a3b76430443d14a953b8f9fe96e80f7ad66427e9d69b2008d,1,/home/ww/diff/.worktrees/cscan-human-review-html/.local/cscan_human_review_html/reference_packets/reference_packet_001.json
1,reference-002-7f0ff819,74t7kcdgkr,c8-7,74t7kcdgkr:c8-7,338,340,/home/ww/paper3/cmc_damage_inference/data/public/hasebe/processed/74t7kcdgkr/internal_cscan/c8-7.png,72d7c1d494d2958df01e3e7c815aaac5f350ce7e7941beb5e7088b34fadb8976,99f20ba35d65645cd48b0cbf96f415a2aafd112c8471361a2304302713cc0639,PREPARED,c70a096a2928a75a3b76430443d14a953b8f9fe96e80f7ad66427e9d69b2008d,1,/home/ww/diff/.worktrees/cscan-human-review-html/.local/cscan_human_review_html/reference_packets/reference_packet_001.json
1,reference-003-3c1e8eb0,74t7kcdgkr,c8-5,74t7kcdgkr:c8-5,338,340,/home/ww/paper3/cmc_damage_inference/data/public/hasebe/processed/74t7kcdgkr/internal_cscan/c8-5.png,73f89721281271850882b456ef72a38d0ea7d59b2d3ab4e27ddfa54ceef75d09,3f640a32225fd3189b46ca9baeaa22d0fa31de329231b0a4f847841c7dbc91e1,PREPARED,c70a096a2928a75a3b76430443d14a953b8f9fe96e80f7ad66427e9d69b2008d,1,/home/ww/diff/.worktrees/cscan-human-review-html/.local/cscan_human_review_html/reference_packets/reference_packet_001.json
1,reference-004-5c5f0d0c,74t7kcdgkr,c8-41,74t7kcdgkr:c8-41,674,675,/home/ww/paper3/cmc_damage_inference/data/public/hasebe/processed/74t7kcdgkr/internal_cscan/c8-41.png,8786699e0853a3b9909a55ad3eefcaf8c19824d9ec541629a8d22255f20553d7,7eb5a3da9e0777d60c1daaa247c4794a2462fdf5e284013378da20737150dc2c,PREPARED,c70a096a2928a75a3b76430443d14a953b8f9fe96e80f7ad66427e9d69b2008d,1,/home/ww/diff/.worktrees/cscan-human-review-html/.local/cscan_human_review_html/reference_packets/reference_packet_001.json
1,reference-005-d1ba3b34,cgtnjyggtm,q24-40,cgtnjyggtm:q24-40,674,675,/home/ww/paper3/cmc_damage_inference/data/public/hasebe/processed/cgtnjyggtm/internal_cscan/q24-40.png,888ba49cc90410ef4b1326c9fc8bfb51b6e6c84379136a010e5a9a024d6c01f7,e708761a6d5cbd261df4d3a27524e209c1f8fb1f9962e99527f80ad8339c9bb7,PREPARED,c70a096a2928a75a3b76430443d14a953b8f9fe96e80f7ad66427e9d69b2008d,1,/home/ww/diff/.worktrees/cscan-human-review-html/.local/cscan_human_review_html/reference_packets/reference_packet_001.json
1,reference-006-abf409e0,cgtnjyggtm,q24-8,cgtnjyggtm:q24-8,674,675,/home/ww/paper3/cmc_damage_inference/data/public/hasebe/processed/cgtnjyggtm/internal_cscan/q24-8.png,54cccad86e57fcda126bb3f2fe6e7cd81dc67f22218454d743aaee2474e8e57a,9364a36201d0053f0469c3d1a969c91318e3874edd6addabb84fbb9af073d6a9,PREPARED,c70a096a2928a75a3b76430443d14a953b8f9fe96e80f7ad66427e9d69b2008d,1,/home/ww/diff/.worktrees/cscan-human-review-html/.local/cscan_human_review_html/reference_packets/reference_packet_001.json
1,reference-007-8801d5ec,cgtnjyggtm,q24-21,cgtnjyggtm:q24-21,674,675,/home/ww/paper3/cmc_damage_inference/data/public/hasebe/processed/cgtnjyggtm/internal_cscan/q24-21.png,02ec16ba0bdb8a9f3cb7f1d305699cbf69dcb92ff6222c284f6ffbb2c73c8b7d,44f57b9e89fc772be82f7e8ff0896b6110c9bc2f376394ef13d3d522cbac5929,PREPARED,224ced1740a3eedec8c147bb8af81074dcbef1c68bb9f6ee475220ea04078986,2,/home/ww/diff/.worktrees/cscan-human-review-html/.local/cscan_human_review_html/reference_packets/reference_packet_002.json
1,reference-008-47bd1723,cgtnjyggtm,q24-37,cgtnjyggtm:q24-37,674,675,/home/ww/paper3/cmc_damage_inference/data/public/hasebe/processed/cgtnjyggtm/internal_cscan/q24-37.png,0caa2bdfff372124f9116725fefe96fcb76700bc2775e991a623aec5ebd1b4f2,4b128d304ff7c5c66ef7de75c700f6c8093b6f1c09377c61379e01545e28058b,PREPARED,224ced1740a3eedec8c147bb8af81074dcbef1c68bb9f6ee475220ea04078986,2,/home/ww/diff/.worktrees/cscan-human-review-html/.local/cscan_human_review_html/reference_packets/reference_packet_002.json
1,reference-009-041911b5,w68dtmpfyf,q16-3,w68dtmpfyf:q16-3,674,675,/home/ww/paper3/cmc_damage_inference/data/public/hasebe/processed/w68dtmpfyf/internal_cscan/q16-3.png,d8bce00b811b8a9c284ce88f989689032ebf98a72841c8943af5a57f085fd0e8,25dcb11a30a489b31456360960241d729839df6e34c5d2f2948a2a7c6c4541d9,PREPARED,224ced1740a3eedec8c147bb8af81074dcbef1c68bb9f6ee475220ea04078986,2,/home/ww/diff/.worktrees/cscan-human-review-html/.local/cscan_human_review_html/reference_packets/reference_packet_002.json
1,reference-010-2f685719,w68dtmpfyf,q16-31,w68dtmpfyf:q16-31,674,675,/home/ww/paper3/cmc_damage_inference/data/public/hasebe/processed/w68dtmpfyf/internal_cscan/q16-31.png,a3b6dd996ef5a19d518674f9dfd51f17569981e7ba41609dbbc7cf54cdac7a33,4bca0efebd4bd0ea465294e1d38d5105bd9160ff11d233e0b7670d034232e7f7,PREPARED,224ced1740a3eedec8c147bb8af81074dcbef1c68bb9f6ee475220ea04078986,2,/home/ww/diff/.worktrees/cscan-human-review-html/.local/cscan_human_review_html/reference_packets/reference_packet_002.json
