specimen_id,domain_id,raw_relative_path,raw_trace_sha256,source_dataset_id,source_dataset_version,internal_title,title_matches_canonical,identity_rule
c8-2,74t7kcdgkr,8scdmfdcfb/v3/4_Compression after impact testing raw data/c8-2  0000.CSV,f02cd530909dbb8d03b5913368996cc287d1366dcd5d372e553da18ec06a30ec,8scdmfdcfb,3,c8-2,true,OFFICIAL_FILENAME_PLUS_DOMAIN_PLUS_SHA256
c8-3,74t7kcdgkr,8scdmfdcfb/v3/4_Compression after impact testing raw data/c8-3 0000.CSV,7a9b45c06d25f6fcd27abef5a74bb71e273b434c0b7e95aa051dfbcd2b2a9d8c,8scdmfdcfb,3,c8-3,true,OFFICIAL_FILENAME_PLUS_DOMAIN_PLUS_SHA256
c8-4,74t7kcdgkr,8scdmfdcfb/v3/4_Compression after impact testing raw data/c8-4 0000.CSV,54ccb86a79789787e7b7cfe2e3be1cfa6090dbce9ddfe515e73f77cbdd3940d0,8scdmfdcfb,3,c8-4,true,OFFICIAL_FILENAME_PLUS_DOMAIN_PLUS_SHA256
c8-5,74t7kcdgkr,8scdmfdcfb/v3/4_Compression after impact testing raw data/c8-5 0000.CSV,70f1652cba1fbe70ce7fffe9b106b26c0a876bb7a53f3b7dca59027008cfd48d,8scdmfdcfb,3,c8-5,true,OFFICIAL_FILENAME_PLUS_DOMAIN_PLUS_SHA256
c8-6,74t7kcdgkr,8scdmfdcfb/v3/4_Compression after impact testing raw data/c8-6 0000.CSV,9a933aec12c0ead16e7b66a465f69072f7d8eba71809027fd8c6af2f8d225c30,8scdmfdcfb,3,c8-6,true,OFFICIAL_FILENAME_PLUS_DOMAIN_PLUS_SHA256
c8-6t,74t7kcdgkr,8scdmfdcfb/v3/4_Compression after impact testing raw data/c8-6t 0000.CSV,25af5cb47f608db4db290c084e520742ae0be2531d0f0c960c81e71f1cb356e4,8scdmfdcfb,3,c8-6t,true,OFFICIAL_FILENAME_PLUS_DOMAIN_PLUS_SHA256
c8-7,74t7kcdgkr,8scdmfdcfb/v3/4_Compression after impact testing raw data/c8-7 0000.CSV,77025e6ac93d534ada28c70e66d8712a28ab10f0ce2f5c8221414552d1bde90a,8scdmfdcfb,3,c8-7,true,OFFICIAL_FILENAME_PLUS_DOMAIN_PLUS_SHA256
c8-8,74t7kcdgkr,8scdmfdcfb/v3/4_Compression after impact testing raw data/c8-8 0000.CSV,20f28c973f8cc9be63c72355a0cabb9362321badb87e0d5d9a9dc9a84db3ca19,8scdmfdcfb,3,c8-8,true,OFFICIAL_FILENAME_PLUS_DOMAIN_PLUS_SHA256
c8-8t,74t7kcdgkr,8scdmfdcfb/v3/4_Compression after impact testing raw data/c8-8t 0000.CSV,dd7c06c8ec3abd9028095dbe746b7e0569f4c34d6335a408841f6ba93e1e47a4,8scdmfdcfb,3,c8-8t,true,OFFICIAL_FILENAME_PLUS_DOMAIN_PLUS_SHA256
c8-9,74t7kcdgkr,8scdmfdcfb/v3/4_Compression after impact testing raw data/c8-9 0000.CSV,0cded5b6704441906a21421705de25161ae52265239672093f5d330abab2c1dd,8scdmfdcfb,3,c8-9,true,OFFICIAL_FILENAME_PLUS_DOMAIN_PLUS_SHA256
