specimen_id,domain_id,primary,raw_relative_path,raw_sha256,raw_size,parse_status,parse_error,internal_title,title_matches_canonical,canonical_workbook_crosscheck_count,n_rows,sampling_hz,columns,units,peak_row,extension_finite_fraction,extension_min,extension_max,load_finite_fraction,load_min,load_max,strain_fl_finite_fraction,strain_fl_min,strain_fl_max,strain_fr_finite_fraction,strain_fr_min,strain_fr_max,strain_bl_finite_fraction,strain_bl_min,strain_bl_max,strain_br_finite_fraction,strain_br_min,strain_br_max
c16-1,yfxyg8jm46,true,8scdmfdcfb/v3/4_Compression after impact testing raw data/c16-1 0000.CSV,818460de27a8717185d56e76a574098d61fabb48b01b6ca0b5f6c2ea1c00d747,146532,PASS,,c16-1,true,3,2394,50,Extension|Load|Strain-FL|Strain-FR|Strain-BL|Strain-BR,V|V|με|με|με|με,2079,1,-0.67406250000000001,0.00093749999999999997,1,-1.315625,-0.00093749999999999997,1,-2309.375,131.25,1,-2853.125,151.5625,1,-3693.75,23.4375,1,-3925,20.3125
c16-10,yfxyg8jm46,true,8scdmfdcfb/v3/4_Compression after impact testing raw data/c16-10 0000.CSV,4f2171e8a36a224ab16842e12f67ea3c08f71838b275d107211a73ba737d1ebd,161942,PASS,,c16-10,true,3,2628,50,Extension|Load|Strain-FL|Strain-FR|Strain-BL|Strain-BR,V|V|με|με|με|με,2223,1,-0.73250000000000004,0.0018749999999999999,1,-1.520313,0.00031250000000000001,1,-3500,15.625,1,-3306.25,17.1875,1,-4215.625,18.75,1,-4129.6880000000001,14.0625
c16-11,yfxyg8jm46,true,8scdmfdcfb/v3/4_Compression after impact testing raw data/c16-11 0000.CSV,8edffddf0cd968a2938f6ec179c75a31f6e63371357268665479633ed66a675b,153522,PASS,,c16-11,true,3,2493,50,Extension|Load|Strain-FL|Strain-FR|Strain-BL|Strain-BR,V|V|με|με|με|με,2147,1,-0.67718750000000005,0.0025000000000000001,1,-1.400625,-0.00062500000000000001,1,-3096.875,51.5625,1,-3039.0630000000001,54.6875,1,-3915.625,268.75,1,-3839.0630000000001,295.3125
c16-12,yfxyg8jm46,true,8scdmfdcfb/v3/4_Compression after impact testing raw data/c16-12 0000.CSV,716eedcb3aa7d4e51e8ed55065326cc28dda16a97801d225c9c8dba9fcc70618,183690,PASS,,c16-12,true,3,2973,50,Extension|Load|Strain-FL|Strain-FR|Strain-BL|Strain-BR,V|V|με|με|με|με,2583,1,-0.82999999999999996,0.0037499999999999999,1,-1.6565620000000001,0,1,-3942.1880000000001,67.1875,1,-3987.5,59.375,1,-4131.25,54.6875,1,-4151.5630000000001,53.125
c16-13,yfxyg8jm46,true,8scdmfdcfb/v3/4_Compression after impact testing raw data/c16-13 0000.CSV,14e8c964a020c176b704fcedecc22b1bcf1af533e3499c213b1980f09fe329de,302699,PASS,,c16-13,true,3,4830,50,Extension|Load|Strain-FL|Strain-FR|Strain-BL|Strain-BR,V|V|με|με|με|με,4348,1,-1.430625,0.0043750000000000004,1,-3.1878129999999998,-0.0018749999999999999,1,-7229.6880000000001,329.6875,1,-7039.0630000000001,17.1875,1,-10720.309999999999,267.1875,1,-9976.5630000000001,14.0625
c16-14,yfxyg8jm46,true,8scdmfdcfb/v3/4_Compression after impact testing raw data/c16-14 0000.CSV,21efdc3cbee7d6b0e4510cdc1355991315bb814743d961ca89fb8c216fe703cd,289119,PASS,,c16-14,true,3,4581,50,Extension|Load|Strain-FL|Strain-FR|Strain-BL|Strain-BR,V|V|με|με|με|με,4140,1,-1.3853120000000001,0.0050000000000000001,1,-3.1706249999999998,-0.0018749999999999999,1,-7354.6880000000001,1321.875,1,-7398.4380000000001,21.875,1,-7842.1880000000001,51198.440000000002,1,-9081.25,20.3125
c16-15,yfxyg8jm46,true,8scdmfdcfb/v3/4_Compression after impact testing raw data/c16-15 0001.CSV,4300dd62eaf8f13a8b1ac297a224770cfd00ab173bf29825ae58e1acf0e291cd,274750,PASS,,c16-15,true,3,4353,50,Extension|Load|Strain-FL|Strain-FR|Strain-BL|Strain-BR,V|V|με|με|με|με,3991,1,-1.3187500000000001,0.0046874999999999998,1,-3.0228130000000002,-0.0025000000000000001,1,-7418.75,34.375,1,-7273.4380000000001,17.1875,1,-8854.6880000000001,98.4375,1,-7925,1.5625
c16-16,yfxyg8jm46,true,8scdmfdcfb/v3/4_Compression after impact testing raw data/c16-16 0000.CSV,81a3161ea555f07696e6cc705d73fb24774d28be0d0b41b311c8756ce489f51f,279522,PASS,,c16-16,true,3,4455,50,Extension|Load|Strain-FL|Strain-FR|Strain-BL|Strain-BR,V|V|με|με|με|με,4027,1,-1.3162499999999999,0.0037499999999999999,1,-3.0887500000000001,-0.00125,1,-7946.875,260.9375,1,-8156.25,570.3125,1,-7318.75,92.1875,1,-7228.125,10.9375
c16-17,yfxyg8jm46,true,8scdmfdcfb/v3/4_Compression after impact testing raw data/c16-17 0000.CSV,10d2fc20713a67d6e25de8e09c23ee29d6765b96d4c5cd485d7a46fb74057b2d,290008,PASS,,c16-17,true,3,4617,50,Extension|Load|Strain-FL|Strain-FR|Strain-BL|Strain-BR,V|V|με|με|με|με,4156,1,-1.376563,0.0040625000000000001,1,-3.1821869999999999,-0.0028124999999999999,1,-8146.875,32.8125,1,-7901.5630000000001,17.1875,1,-7943.75,568.75,1,-7771.875,218.75
c16-18,yfxyg8jm46,true,8scdmfdcfb/v3/4_Compression after impact testing raw data/c16-18 0002.CSV,e0e19c824a82fd42e8eba496fc0fa2e466e68a9c54574d7f74b7659d709ff540,305568,PASS,,c16-18,true,3,4836,50,Extension|Load|Strain-FL|Strain-FR|Strain-BL|Strain-BR,V|V|με|με|με|με,4426,1,-1.47,0.0043750000000000004,1,-3.3693749999999998,-0.0015625000000000001,1,-8464.0630000000001,35.9375,1,-8532.8130000000001,15.625,1,-8701.5630000000001,18.75,1,-8643.75,12.5
