authorization_status,cscan_decoded_sha256,cscan_source_sha256,dataset_id,initial_nominal_budget,mavis_authority_sha256,native_height,native_width,roster_index,specimen_id,surface_authority_sha256,surface_hypothesis_sha256,surface_path,surface_sha256,surface_top_cells,surface_transform_sha256
AUTHORIZED,7d593ca2423ece016ecf2db80a0482a8e74398de58bd91d2b75158a2538a7db1,2a4636f95444c53278b22acdee76cf7123442ffbf310fb2b4700ca7b64f57954,74t7kcdgkr,0.03125,f28abdaa76a4ccc5c8a6422ff1f86a242d400ce4fd15bb5ef1834b5840f01b82,338,340,0,c8-2,8bfada2b4dcf55b6791caf788278d8ee07da9a09147e8b6f3e017b998fccd823,46bebca349faf9b33efd730f1a445dd86a7defb459a3d75cc626164b1e4c4e3c,data/public/hasebe/raw/74t7kcdgkr/v1/impacted surface image/c8-2.png,fba37c14b99ff92f65675a2c8fb574d3cd7fb506cfd8178361e624381c9bfc0d,58;61;60;57;62;59;63;35,b99c447288685fdd152fa0c78229b55bfc8954a9933e0ba747c17c11ff023efd
AUTHORIZED,ed3902181e8ed93c5298bec5b3e21692f7f360c8f84d6810b869092eab8c708b,e6e77cc9b13aa9321d2bf77103474c08b9c88d9a3ab037008ef010c1cb5896a7,74t7kcdgkr,0.03125,f28abdaa76a4ccc5c8a6422ff1f86a242d400ce4fd15bb5ef1834b5840f01b82,338,352,1,c8-3,8bfada2b4dcf55b6791caf788278d8ee07da9a09147e8b6f3e017b998fccd823,4a29d6caf9e9a71961737f4b789b432dbfc273fd120ac1fe9e88f32e7616c10f,data/public/hasebe/raw/74t7kcdgkr/v1/impacted surface image/c8-3.png,3ddb8fff5dbcb67fad212458e2d60e95c8c26b3d2e143ca4ed782e8419577ebb,35;57;58;36;6;42;41;59,357454aafe9dbdb4cb271cac233e622660cce443915c47db44928fe8e6b1face
AUTHORIZED,0abb7b10194872bd0c03aaf868ad020379d1ed7437ace3dd247d4dea562a1e52,259485b737b1fa4536f5bc93b4db6d30a41b46e0549073847bb6334f8438b5b3,74t7kcdgkr,0.03125,f28abdaa76a4ccc5c8a6422ff1f86a242d400ce4fd15bb5ef1834b5840f01b82,338,352,2,c8-4,8bfada2b4dcf55b6791caf788278d8ee07da9a09147e8b6f3e017b998fccd823,b58205eaf2612238df8dc84da9881fd06d4215f4e96cacd7f69bf65c171e8ee5,data/public/hasebe/raw/74t7kcdgkr/v1/impacted surface image/c8-4.png,e92e5a2864fe8746d82e66df08a6a286cc7c3b37663027dcc8654557484f559f,61;60;62;35;23;18;17;57,92945c57c67584f83501aa64e497cae173fcce80bb9c668b267b36b84100cc07
AUTHORIZED,8a74ff272148c610ebcafd8edfd83df08700dae9953e03b0eed4579ad0a3b189,73f89721281271850882b456ef72a38d0ea7d59b2d3ab4e27ddfa54ceef75d09,74t7kcdgkr,0.03125,f28abdaa76a4ccc5c8a6422ff1f86a242d400ce4fd15bb5ef1834b5840f01b82,338,340,3,c8-5,8bfada2b4dcf55b6791caf788278d8ee07da9a09147e8b6f3e017b998fccd823,20e0dba4847e7b256af1c3d9d4ccb0fb26c46ffe55bb7b7bac0173844b68ca24,data/public/hasebe/raw/74t7kcdgkr/v1/impacted surface image/c8-5.png,b8f9a8588f11cc4ac4aa30103c458ba872d04f4a945161206450534968c15bd4,60;62;61;63;57;59;58;44,1aa0dac26a57150ac2ae73ad6326119ce5a151bced60863be45457dbda91519a
AUTHORIZED,22302e0e8adcf8c4a82132beaec721a346c4d43f7bd9865dd6ac2284a8e4e3ae,dd422879e64dc2588dc58eb89af69338bf8a619229b66249e6e6bcd283befde7,74t7kcdgkr,0.03125,f28abdaa76a4ccc5c8a6422ff1f86a242d400ce4fd15bb5ef1834b5840f01b82,338,352,4,c8-6,8bfada2b4dcf55b6791caf788278d8ee07da9a09147e8b6f3e017b998fccd823,3cf9e0d3df0de11127a164ac6bf75b81664631b317293f09d722e66a2b8fc221,data/public/hasebe/raw/74t7kcdgkr/v1/impacted surface image/c8-6.png,a2d5119c1f2e9593318c35f1b65f7091f8dc48f2d9421bc2ed0033bf13eef025,56;61;63;62;58;60;27;57,e4ef3c216358defcf54d84b7d50e4d9270b19f711a8736c1ec106ffcb45125af
AUTHORIZED,26a8805ed49d33d0dae65be87800a876967d6b158cfad14d88262be81ce12ab1,4391215c4c9c08afa9eb4bb0a43990207917df963b1bef43105096b854486f7b,74t7kcdgkr,0.03125,f28abdaa76a4ccc5c8a6422ff1f86a242d400ce4fd15bb5ef1834b5840f01b82,674,675,5,c8-6t,8bfada2b4dcf55b6791caf788278d8ee07da9a09147e8b6f3e017b998fccd823,f62dd91d7cc35d793c792580cbe4165597dbccf48b9f4bd67e5d8bca24ba17ad,data/public/hasebe/raw/74t7kcdgkr/v1/impacted surface image/c8-6t.png,4c531a8d3c33e8cb668f779c975753a699d433e760201dd9b35f09da601cc9cc,28;27;36;35;12;13;52;26,b4059ccc748c4aa1b0760240f6af7007b31981a91002adfb9782f8a9759d0108
AUTHORIZED,7d4bb2bd37df4c1334ff1e707e2476a920e92d999beb67e03704f8cc55eb2aba,72d7c1d494d2958df01e3e7c815aaac5f350ce7e7941beb5e7088b34fadb8976,74t7kcdgkr,0.03125,f28abdaa76a4ccc5c8a6422ff1f86a242d400ce4fd15bb5ef1834b5840f01b82,338,340,6,c8-7,8bfada2b4dcf55b6791caf788278d8ee07da9a09147e8b6f3e017b998fccd823,89ef8583965e38f44adb4fcf8e48f1a6858745933734bbf082b1b7c04681de6b,data/public/hasebe/raw/74t7kcdgkr/v1/impacted surface image/c8-7.png,0c9a49292bab78fb9f4d26c8950d464d289705fe053baf5280371dd8c811e85d,35;6;60;7;5;63;27;36,78ab11dd22228c9d54868a1749295fb7e9718a5edf4bbf49a3e82ad419fecff7
AUTHORIZED,6d21044d5ee9112339fe06dca99e67d813f686607e0977f9a59e17adb83f4c1d,deaa56464ad0eb4c19b66f73847847a626994efe1008e1108ccc0088f891f1e6,74t7kcdgkr,0.03125,f28abdaa76a4ccc5c8a6422ff1f86a242d400ce4fd15bb5ef1834b5840f01b82,338,340,7,c8-8,8bfada2b4dcf55b6791caf788278d8ee07da9a09147e8b6f3e017b998fccd823,06a83a30579e22fc27ed16c8a2d629c2e1daecc5381d6f8ec1f80bbea75d0fdf,data/public/hasebe/raw/74t7kcdgkr/v1/impacted surface image/c8-8.png,f67bfde9af68c49a48379af0901ad719d22b62c7a71e15278aab1bfe1183fd83,35;27;60;23;63;17;7;33,a6e70698ebc6b17a389f6f64e9725bd2f45cea6447f924b9868c2c6c5d4134a0
AUTHORIZED,ce6b09a27cf219ebea6309b83616b0ee9ff51d786a9184076341a40fbf1800e8,184e5d418e958c2d3b94056f8334ef86614cbc20c9480d7843a9887375ce547b,74t7kcdgkr,0.03125,f28abdaa76a4ccc5c8a6422ff1f86a242d400ce4fd15bb5ef1834b5840f01b82,674,675,8,c8-8t,8bfada2b4dcf55b6791caf788278d8ee07da9a09147e8b6f3e017b998fccd823,54b6b933a4597788fac2cfeecd2ba2e24d01ccde3e6e47e741314e35f1246390,data/public/hasebe/raw/74t7kcdgkr/v1/impacted surface image/c8-8t.png,47e954202acbcb218b708527073ed58754a255f35ea468285ae9594635378883,27;26;41;43;25;42;45;19,20f3cac962e6dbb39aec474fdc8596921611b92593e06baa68798faf4720c90e
AUTHORIZED,fadcd1117bcc1b090a6807365dd3b5ce807bd7026343ee162227c0ca9f88d49a,b6fb1ea0e6ffdfa5276a4a95a0fb33b86871cd341974fcc836c248468cb39aa8,74t7kcdgkr,0.03125,f28abdaa76a4ccc5c8a6422ff1f86a242d400ce4fd15bb5ef1834b5840f01b82,338,352,9,c8-9,8bfada2b4dcf55b6791caf788278d8ee07da9a09147e8b6f3e017b998fccd823,3e83132511c88d161ecd18ed9645e2533c8340cf3e3962edcd51f589e11f9f23,data/public/hasebe/raw/74t7kcdgkr/v1/impacted surface image/c8-9.png,4a973a02a42d508aa213e540022c5c9dacd24771fd0c8fe1049ae6a2a1b19818,35;17;39;23;12;4;47;41,67828dde851f666065cfde0b9747af887da40bc9d128dd7213ccc584308b1944
