outer_target,specimen_id,task,grid_sha256,warm_start_sha256,evaluator_sha256,warm_start_cells,endpoint_budget,nominal_checkpoints_json
74t7kcdgkr,c8-10t,CAI,9b013907df821ccaa85bcaa795167259a3371598ae902970065976d0b1ac5fed,d345b26afa44291956aa346867be6108a79eb2ede637e772cc848d1ed0728091,be70fb0791f881043fb1cf8d950ab9274ee92d04c868ee10429b0eefb4133ce6,8,0.25,"[0.0,0.0625,0.125,0.1875,0.25]"
74t7kcdgkr,c8-10t,FIELD,9b013907df821ccaa85bcaa795167259a3371598ae902970065976d0b1ac5fed,6319890b64a28d033fe21a779b3e7517aeb4a0e1810035d2f203f3bc4f6db6d2,604d4eb739a3c497e14183796eae7770813e2c11a14a5dfb7ddfaa3ff5f4e7bf,8,0.25,"[0.0,0.0625,0.125,0.1875,0.25]"
74t7kcdgkr,c8-11,CAI,1e6158e14643bff066811b375a2b20ab054ab072c48745b6b47db729ef0f81f0,494365375db63e20ecfa03d0cbc354afbb089352cedf5e7bc023c5a5d05b4e14,be70fb0791f881043fb1cf8d950ab9274ee92d04c868ee10429b0eefb4133ce6,8,0.25,"[0.0,0.0625,0.125,0.1875,0.25]"
74t7kcdgkr,c8-11,FIELD,1e6158e14643bff066811b375a2b20ab054ab072c48745b6b47db729ef0f81f0,3589da80b2c96233c63dd5d2ed266da179f2da47f7732182d3e81042d97a18a5,604d4eb739a3c497e14183796eae7770813e2c11a14a5dfb7ddfaa3ff5f4e7bf,8,0.25,"[0.0,0.0625,0.125,0.1875,0.25]"
74t7kcdgkr,c8-12,CAI,1e6158e14643bff066811b375a2b20ab054ab072c48745b6b47db729ef0f81f0,1ecf88574e8e28c8e198c16f1daff3d9ec49d81c28d8dd733d343428bae1154b,be70fb0791f881043fb1cf8d950ab9274ee92d04c868ee10429b0eefb4133ce6,8,0.25,"[0.0,0.0625,0.125,0.1875,0.25]"
74t7kcdgkr,c8-12,FIELD,1e6158e14643bff066811b375a2b20ab054ab072c48745b6b47db729ef0f81f0,9417e239a061f66ff8ae6e306a146d732ca3153d8c99fa2abbad3a908fee4faa,604d4eb739a3c497e14183796eae7770813e2c11a14a5dfb7ddfaa3ff5f4e7bf,8,0.25,"[0.0,0.0625,0.125,0.1875,0.25]"
74t7kcdgkr,c8-12t,CAI,9b013907df821ccaa85bcaa795167259a3371598ae902970065976d0b1ac5fed,1b910a4d82ab90989ade13235dd590767fc78ceec837741ec7e9901f3944ffba,be70fb0791f881043fb1cf8d950ab9274ee92d04c868ee10429b0eefb4133ce6,8,0.25,"[0.0,0.0625,0.125,0.1875,0.25]"
74t7kcdgkr,c8-12t,FIELD,9b013907df821ccaa85bcaa795167259a3371598ae902970065976d0b1ac5fed,268194aa6b55f84fb73cb9fbc2d6e094bbf65ee0a0c8f50d287dc2a8a23e3b67,604d4eb739a3c497e14183796eae7770813e2c11a14a5dfb7ddfaa3ff5f4e7bf,8,0.25,"[0.0,0.0625,0.125,0.1875,0.25]"
74t7kcdgkr,c8-13,CAI,9f9ebc641c05f42ba2f509e907182fbe078c4a4a0f620818c85feb329e67e279,5d5bd073bd04335a742ad56a7a43ed1bf11b4d9df4a9237249c07ba59c4500a3,be70fb0791f881043fb1cf8d950ab9274ee92d04c868ee10429b0eefb4133ce6,8,0.25,"[0.0,0.0625,0.125,0.1875,0.25]"
74t7kcdgkr,c8-13,FIELD,9f9ebc641c05f42ba2f509e907182fbe078c4a4a0f620818c85feb329e67e279,d3d429d84914307693609284566e66cb856f12dab1ff681169de706498c97785,604d4eb739a3c497e14183796eae7770813e2c11a14a5dfb7ddfaa3ff5f4e7bf,8,0.25,"[0.0,0.0625,0.125,0.1875,0.25]"
