schema_version,dataset_id,specimen_id,specimen_key,split,reference_type,review_state,reviewer_alias,formal_eligible,proxy_scope,formal_success_available
1,74t7kcdgkr,c8-32,74t7kcdgkr:c8-32,TRAIN,ALGORITHM_DERIVED_NOT_REVIEWED,pending,,False,SAME_READER_SELF_CONSISTENCY,False
1,74t7kcdgkr,c8-15,74t7kcdgkr:c8-15,TRAIN,ALGORITHM_DERIVED_NOT_REVIEWED,pending,,False,SAME_READER_SELF_CONSISTENCY,False
1,74t7kcdgkr,c8-21,74t7kcdgkr:c8-21,TRAIN,ALGORITHM_DERIVED_NOT_REVIEWED,pending,,False,SAME_READER_SELF_CONSISTENCY,False
1,74t7kcdgkr,c8-20,74t7kcdgkr:c8-20,TRAIN,ALGORITHM_DERIVED_NOT_REVIEWED,pending,,False,SAME_READER_SELF_CONSISTENCY,False
1,74t7kcdgkr,c8-28,74t7kcdgkr:c8-28,VALID,ALGORITHM_DERIVED_NOT_REVIEWED,pending,,False,SAME_READER_SELF_CONSISTENCY,False
1,74t7kcdgkr,c8-2,74t7kcdgkr:c8-2,VALID,ALGORITHM_DERIVED_NOT_REVIEWED,pending,,False,SAME_READER_SELF_CONSISTENCY,False
1,74t7kcdgkr,c8-24,74t7kcdgkr:c8-24,TEST,ALGORITHM_DERIVED_NOT_REVIEWED,pending,,False,SAME_READER_SELF_CONSISTENCY,False
1,74t7kcdgkr,c8-7,74t7kcdgkr:c8-7,TEST,ALGORITHM_DERIVED_NOT_REVIEWED,pending,,False,SAME_READER_SELF_CONSISTENCY,False
1,74t7kcdgkr,c8-5,74t7kcdgkr:c8-5,TEST,ALGORITHM_DERIVED_NOT_REVIEWED,pending,,False,SAME_READER_SELF_CONSISTENCY,False
1,74t7kcdgkr,c8-41,74t7kcdgkr:c8-41,TEST,ALGORITHM_DERIVED_NOT_REVIEWED,pending,,False,SAME_READER_SELF_CONSISTENCY,False
1,cgtnjyggtm,q24-29,cgtnjyggtm:q24-29,TRAIN,ALGORITHM_DERIVED_NOT_REVIEWED,pending,,False,SAME_READER_SELF_CONSISTENCY,False
1,cgtnjyggtm,q24-32,cgtnjyggtm:q24-32,TRAIN,ALGORITHM_DERIVED_NOT_REVIEWED,pending,,False,SAME_READER_SELF_CONSISTENCY,False
1,cgtnjyggtm,q24-18,cgtnjyggtm:q24-18,TRAIN,ALGORITHM_DERIVED_NOT_REVIEWED,pending,,False,SAME_READER_SELF_CONSISTENCY,False
1,cgtnjyggtm,q24-4,cgtnjyggtm:q24-4,TRAIN,ALGORITHM_DERIVED_NOT_REVIEWED,pending,,False,SAME_READER_SELF_CONSISTENCY,False
1,cgtnjyggtm,q24-30,cgtnjyggtm:q24-30,VALID,ALGORITHM_DERIVED_NOT_REVIEWED,pending,,False,SAME_READER_SELF_CONSISTENCY,False
1,cgtnjyggtm,q24-16,cgtnjyggtm:q24-16,VALID,ALGORITHM_DERIVED_NOT_REVIEWED,pending,,False,SAME_READER_SELF_CONSISTENCY,False
1,cgtnjyggtm,q24-40,cgtnjyggtm:q24-40,TEST,ALGORITHM_DERIVED_NOT_REVIEWED,pending,,False,SAME_READER_SELF_CONSISTENCY,False
