schema_version,dataset_id,specimen_id,specimen_key,split,domain_rank,surface_sha256,registered_cscan_sha256,native_height,native_width,transform_sha256
1,74t7kcdgkr,c8-32,74t7kcdgkr:c8-32,TRAIN,0,a1d192e4505390bea1cd49410aae84b4ada33f656124ab904f91ec2a7200b60e,aa675f7abf8ffd3a3dac0b18269610f240a4fb21a7be6fe0b9423ac8f2ea599a,674,675,073b9c40f86e889b99f5d6b70c4d47464ccd7c45a5b8b9aa97fa78e306bddd17
1,74t7kcdgkr,c8-15,74t7kcdgkr:c8-15,TRAIN,1,559b8c4abab9391aaf95c7c1c12fa0100fab1c94d162a4d736fc24052b97cb5b,a0dd12f97eaf396b8c4c08b60d3a58c524c7e511fedacdd19b5a09f78c586ead,338,352,66c7da22bf7b41188ae117e515cdf466488979040282ba8d94e90c331ec48b24
1,74t7kcdgkr,c8-21,74t7kcdgkr:c8-21,TRAIN,2,334ea0c49f7626f221e92014670ecbbc2eab0373a28017bf2facd33a5f0fc7a0,0242d92627e506c763859f498a6e0f4734f3cec576f154060e6b55f3e9594bf0,674,675,f126264863c012c8517049923111409fd33248bb5d5bd6fb2f704cbcc816f260
1,74t7kcdgkr,c8-20,74t7kcdgkr:c8-20,TRAIN,3,8f24fb36b7af0b5f7123d76c97e6e1bbe423a48e0c7a7599e91175a5ccc0972d,89c9cccb85fc7dc6990631b0bc5dc1ccbca65acadfc261c9a53d4b4803804619,674,675,6a4a4b8d94fae88d7930702fcd1e9bd6b9ba8bccae8cecc62fe748afe5776f1a
1,74t7kcdgkr,c8-28,74t7kcdgkr:c8-28,VALID,4,88c759c306fbcfde44966073f4366b83a49eeb04be63844ac732a71e41647bb2,b681873337e1d403ccfc399b975c6b86218ae5f3173e6a915ed0b6e6c703ca58,674,675,2824e3596206b61706d270cb1f35a027b5b61fe8dac9b68584b7808cda03e837
1,74t7kcdgkr,c8-2,74t7kcdgkr:c8-2,VALID,5,fba37c14b99ff92f65675a2c8fb574d3cd7fb506cfd8178361e624381c9bfc0d,2a4636f95444c53278b22acdee76cf7123442ffbf310fb2b4700ca7b64f57954,338,340,b99c447288685fdd152fa0c78229b55bfc8954a9933e0ba747c17c11ff023efd
1,74t7kcdgkr,c8-24,74t7kcdgkr:c8-24,TEST,6,24e38e280270b8ecc32da327dc06f0f1c88be32a8481e4885a2a07d203d3cc22,39f519201158d464808bea9e455af79bc2c2d747a694dc0bc3f3b48bea77a355,674,675,aee0b32a85679f054d1edead0bbee0faee99df80ab39f553931dfe671479b1af
1,74t7kcdgkr,c8-7,74t7kcdgkr:c8-7,TEST,7,0c9a49292bab78fb9f4d26c8950d464d289705fe053baf5280371dd8c811e85d,72d7c1d494d2958df01e3e7c815aaac5f350ce7e7941beb5e7088b34fadb8976,338,340,78ab11dd22228c9d54868a1749295fb7e9718a5edf4bbf49a3e82ad419fecff7
1,74t7kcdgkr,c8-5,74t7kcdgkr:c8-5,TEST,8,b8f9a8588f11cc4ac4aa30103c458ba872d04f4a945161206450534968c15bd4,73f89721281271850882b456ef72a38d0ea7d59b2d3ab4e27ddfa54ceef75d09,338,340,1aa0dac26a57150ac2ae73ad6326119ce5a151bced60863be45457dbda91519a
1,74t7kcdgkr,c8-41,74t7kcdgkr:c8-41,TEST,9,8ddc47d37fcec3ae63e237fbb7bbe9646522a0295a968958fb3003f2d207cb4f,8786699e0853a3b9909a55ad3eefcaf8c19824d9ec541629a8d22255f20553d7,674,675,b0fc57bbb7985211b8c8ecc1d3fc2e6478ed6cc424459d9f71394cdbce8af6ed
1,cgtnjyggtm,q24-29,cgtnjyggtm:q24-29,TRAIN,0,bba0c3631692d5eaab633b0f19ac0584534548649b6926f652758e6f05c3e855,f8f144b6f5a3c5ee6b31478d66c712e5a655c3a430da8aa8e0c16871cbe94a85,674,675,ecdac0d95e275b48a64fb88f6b54621dbf95ac2e63aa52842844229dc55af8dc
1,cgtnjyggtm,q24-32,cgtnjyggtm:q24-32,TRAIN,1,91a54d7baff01afd0f1bf02f3168b805c176f1eb38c8c687be8483fda5362a9b,63ad4845314e1333feedc68cc65fcc37e9c06a7478f6b2e2060316d9b55e4ce4,674,675,3e01532312a5d79c6ba043b8fe8bfe396390ad8af8f8fcfa9e0b130293410ea4
1,cgtnjyggtm,q24-18,cgtnjyggtm:q24-18,TRAIN,2,51226c7953af1df9300b50902754d06b12efd72b028ad98b5b134ade21d31a84,c5db5bf7c0787e846e3fc9a324470d4bbf7e117532eb9b58ff6d552640b504e8,674,675,1baba47009a3afca7e0d63d07b6f0fc98aebfc76d1a359232fff356a705e1654
1,cgtnjyggtm,q24-4,cgtnjyggtm:q24-4,TRAIN,3,d13c607fa0a032b74f8e3f6e0ebe7bf60c17a6129376805ea55ed71c82e09083,444a22e7e0edf3f7bd02b06bcdd3f090785d6af74108543191b9e12c18c56745,674,675,b8afbd6ff3b90f7574c742ded5e3d62491d88a111d011fe558d3443c4b9d91cc
1,cgtnjyggtm,q24-30,cgtnjyggtm:q24-30,VALID,4,081f9de52a4be0add35cff8d04307ec52b2efc68b658bd639e2846ec317b1231,46fa140977bcbbf79e71b85cf08068fa571b36860c66283ef098682daa3aefbb,674,675,b3c5a59e5240c0dfe7233d61b89f504b23d429fcbc30b012ddbc1d7d2b0ae1f7
1,cgtnjyggtm,q24-16,cgtnjyggtm:q24-16,VALID,5,2938082a1f78a84a38b31dd5f14fa8ec9e09d5e1f10634dd18be8cf14cd3501e,74e64a32c9a4bbcdd4d2f71f106e40e618325151050c9d718d994568b8427931,674,675,31112470e25350041600b57eed7f74d07ff1b941a564172f303871c8e45e0aca
1,cgtnjyggtm,q24-40,cgtnjyggtm:q24-40,TEST,6,328cf2d21150686f864f24f9d7575f2569c6985d126ada09b932966a485e9c1c,888ba49cc90410ef4b1326c9fc8bfb51b6e6c84379136a010e5a9a024d6c01f7,674,675,e7d593bc193d46df96a8f9fe45c4edeb211c971bfca72de198693936d826ae2d
1,cgtnjyggtm,q24-8,cgtnjyggtm:q24-8,TEST,7,6f9ae8718a5dc38a50245f2f376afc6608e3ac652cfe20eef13adfb7d37a1270,54cccad86e57fcda126bb3f2fe6e7cd81dc67f22218454d743aaee2474e8e57a,674,675,95c47b3a2f5fc4c9dff7b06409ac20db1323352a6a9d389fd2120c50c7e02c20
1,cgtnjyggtm,q24-21,cgtnjyggtm:q24-21,TEST,8,abaa97554d11c12108ac4b252a77480261a6374255f1b814222c353fde37b060,02ec16ba0bdb8a9f3cb7f1d305699cbf69dcb92ff6222c284f6ffbb2c73c8b7d,674,675,c7b1e0101a00cdc15fdc37fb88d20d6130df085648d0cbb848eabca6d8847049
1,cgtnjyggtm,q24-37,cgtnjyggtm:q24-37,TEST,9,34600ca09fdde8eb983f515056f9c68de095c71b215194337fb539a64d49794f,0caa2bdfff372124f9116725fefe96fcb76700bc2775e991a623aec5ebd1b4f2,674,675,babaa6ceabedbc8cd80a3ab1633dab6f256a94f31e3e274d8651c5286713b25e
1,w68dtmpfyf,q16-23,w68dtmpfyf:q16-23,TRAIN,0,13529e168e1a984c148bb834d77a6881f616d3ea5b6de70259d7f606743494c4,54280b5fa0746ea5745c159f4cf25b457037f40a92580c89cf81eec3db4838ab,674,675,29f72dc41968c632b97b0a9068f720759a434ce517c8cbd266f2c398613a1016
1,w68dtmpfyf,q16-22,w68dtmpfyf:q16-22,TRAIN,1,313157e3c867e292e95605aac19740a02e29efe28f4d3610f3eb68a2745341c3,3df90b070aec083cfed49564d6a99c4dd2d19fe10c0935abc1530a7f7353f2e1,674,675,a57270f9dc0f17b2c7935cb0a492d53c63b5a51726e75600e911c08eb07dd092
1,w68dtmpfyf,q16-24,w68dtmpfyf:q16-24,TRAIN,2,e13dfed80e43b8f693d93f9cc577868a603d60ad414e4e5b8c245decf86f69bf,be215c3064003df36b6d6362f9598df9a8f9ddd37bcb98f5bd54e68889dedb32,674,675,487ed346f617b1fd7fc91880435da380542495549b66ad4537fd3bf7e32d9f65
1,w68dtmpfyf,q16-42,w68dtmpfyf:q16-42,TRAIN,3,6ae412dbe0bd7ad6bc402f503424e3f69dd4ef5203ea7e0f1970fb2887eb4143,8df05641eea2eee66f453b4fd6ecc30de07a152ece9abef73ea166d3f2b740da,674,675,a192f58a9e6b03fec593d8b22101a5074267b3f27a27ea9e36b2f69914448933
1,w68dtmpfyf,q16-32,w68dtmpfyf:q16-32,VALID,4,7e07815fa55fa7ef68422058296a5818a9155c2078064b83ac6993aae4defa20,250e0fa0b709c8c0cf4b36ddd70dc06ffc9b8b2eba61881af35ec63de030f4bd,674,675,e54d29e9537390f704243e2e945ccacf7f902ff16ea13747f66cd1977fdc9433
1,w68dtmpfyf,q16-12,w68dtmpfyf:q16-12,VALID,5,d63329e76fd0b4df534ac68a5aaefc4bdb0fb61b5a23d170f5385235ba0a2dbb,b98d5e0a5eee421669a6924e30940a7e92407b2a6c102ce0199d2f8a9bd8d426,674,675,e07f844bc1f8eb69fd37d33d67b6b35e3a2eeb9afa897cd99dd774506327c3f7
1,w68dtmpfyf,q16-3,w68dtmpfyf:q16-3,TEST,6,e213240f4c80a0e754da56679b739c74fe8b5a0459c96d634364dfe56754a285,d8bce00b811b8a9c284ce88f989689032ebf98a72841c8943af5a57f085fd0e8,674,675,47ba187ffb8b78c944d88e76c37d75de49bcb3211806431cb91004bb9971bb43
1,w68dtmpfyf,q16-31,w68dtmpfyf:q16-31,TEST,7,540578d3fcbb549dbf7196774c8ef77e4232bf202e5573b802bfe3997e1b730a,a3b6dd996ef5a19d518674f9dfd51f17569981e7ba41609dbbc7cf54cdac7a33,674,675,0574a40258e11a23f498fa4e840fe59e062a7c8b38dc913441c498e3750dc1f5
1,w68dtmpfyf,q16-21,w68dtmpfyf:q16-21,TEST,8,fb67d1b215bb3898c61013404234e06e838064a457b7aee29553175b9abd5e91,5c956b6a9137aa39d82d11791718c22ecabff5d76b0ac3ab3792cb9d31380de6,674,675,f609ba78e21fe409e61fe58323f3c438d7e7a13bf2cf7cef2498e0f1e8fffd6f
