outer_domain,mode,auebc
74t7kcdgkr,positions_only,0.1380518010111638
74t7kcdgkr,real,0.10005742127330983
74t7kcdgkr,reconstruction,0.05774159988068523
74t7kcdgkr,shuffled,0.1187856726832201
74t7kcdgkr,static,0.14439115757880003
cgtnjyggtm,positions_only,0.11633682585243062
cgtnjyggtm,real,0.140260892996496
cgtnjyggtm,reconstruction,0.11408306703849991
cgtnjyggtm,shuffled,0.1211489132969954
cgtnjyggtm,static,0.12591999544659294
w68dtmpfyf,positions_only,0.04839577679533532
w68dtmpfyf,real,0.09060393617071144
w68dtmpfyf,reconstruction,0.103313867276658
w68dtmpfyf,shuffled,0.0909165791073871
w68dtmpfyf,static,0.07899111350274729
xcmzfsbd9t,positions_only,0.08861015274244412
xcmzfsbd9t,real,0.11825596587837099
xcmzfsbd9t,reconstruction,0.0735860850889805
xcmzfsbd9t,shuffled,0.15677142876015063
xcmzfsbd9t,static,0.14789499226556352
yfxyg8jm46,positions_only,0.14288203612567402
yfxyg8jm46,real,0.14972309670009248
yfxyg8jm46,reconstruction,0.11205407100995182
yfxyg8jm46,shuffled,0.13739100229629958
yfxyg8jm46,static,0.14629592133716768
ykhs7s2dck,positions_only,0.1090096065851821
ykhs7s2dck,real,0.15135789863933666
ykhs7s2dck,reconstruction,0.06531254032030442
ykhs7s2dck,shuffled,0.14973538343739926
ykhs7s2dck,static,0.18016138078469449
