outer_domain,mode,nominal_checkpoint,specimen_count,mean_exact_acquired_cost,mean_effective_budget,mae
74t7kcdgkr,positions_only,0.03125,45,10429.977777777778,0.031185615457384668,0.1392183800910449
74t7kcdgkr,positions_only,0.0625,45,20229.65777777778,0.060460019506402694,0.13865705471771494
74t7kcdgkr,positions_only,0.09375,45,30652.244444444445,0.09171584121061985,0.1383002138464973
74t7kcdgkr,positions_only,0.125,45,41327.65333333333,0.12354392569432286,0.13804383988941404
74t7kcdgkr,positions_only,0.1875,45,62267.79555555555,0.18598780152873015,0.13768131517612495
74t7kcdgkr,positions_only,0.25,45,82996.47111111111,0.24824579388923082,0.13741723001048645
74t7kcdgkr,real,0.03125,45,10429.977777777778,0.031185615457384668,0.09970848883148571
74t7kcdgkr,real,0.0625,45,20229.65777777778,0.060460019506402694,0.10008813098904201
74t7kcdgkr,real,0.09375,45,30652.244444444445,0.09171584121061985,0.10023255137289508
74t7kcdgkr,real,0.125,45,41327.65333333333,0.12354392569432286,0.10024650151118383
74t7kcdgkr,real,0.1875,45,62267.79555555555,0.18598780152873015,0.10005266486985906
74t7kcdgkr,real,0.25,45,82996.47111111111,0.24824579388923082,0.09973740132018537
74t7kcdgkr,reconstruction,0.03125,45,10429.977777777778,0.031185615457384668,0.0592205824612365
74t7kcdgkr,reconstruction,0.0625,45,20229.65777777778,0.060460019506402694,0.05578144900729994
74t7kcdgkr,reconstruction,0.09375,45,30652.244444444445,0.09171584121061985,0.05534537630654597
74t7kcdgkr,reconstruction,0.125,45,41327.65333333333,0.12354392569432286,0.05660310786301231
74t7kcdgkr,reconstruction,0.1875,45,62267.79555555555,0.18598780152873015,0.058242693648186794
74t7kcdgkr,reconstruction,0.25,45,82996.47111111111,0.24824579388923082,0.06210016846704744
74t7kcdgkr,shuffled,0.03125,45,10429.977777777778,0.031185615457384668,0.11831603216121171
74t7kcdgkr,shuffled,0.0625,45,20229.65777777778,0.060460019506402694,0.11847180131083043
74t7kcdgkr,shuffled,0.09375,45,30652.244444444445,0.09171584121061985,0.11860757736155286
74t7kcdgkr,shuffled,0.125,45,41327.65333333333,0.12354392569432286,0.1187352425810963
74t7kcdgkr,shuffled,0.1875,45,62267.79555555555,0.18598780152873015,0.11896738517855342
74t7kcdgkr,shuffled,0.25,45,82996.47111111111,0.24824579388923082,0.11920451620751318
74t7kcdgkr,static,0.03125,45,10429.977777777778,0.031185615457384668,0.14439115757880003
74t7kcdgkr,static,0.0625,45,20229.65777777778,0.060460019506402694,0.14439115757880003
74t7kcdgkr,static,0.09375,45,30652.244444444445,0.09171584121061985,0.14439115757880003
74t7kcdgkr,static,0.125,45,41327.65333333333,0.12354392569432286,0.14439115757880003
74t7kcdgkr,static,0.1875,45,62267.79555555555,0.18598780152873015,0.14439115757880003
74t7kcdgkr,static,0.25,45,82996.47111111111,0.24824579388923082,0.14439115757880003
cgtnjyggtm,positions_only,0.03125,49,8431.718367346939,0.01853328578381567,0.11665559513883494
cgtnjyggtm,positions_only,0.0625,49,27786.395918367343,0.06107571363527277,0.11660128197625722
cgtnjyggtm,positions_only,0.09375,49,41713.208163265306,0.09168745612323399,0.11650409315097773
cgtnjyggtm,positions_only,0.125,49,56042.477551020405,0.12318381701510146,0.11638497455465391
cgtnjyggtm,positions_only,0.1875,49,84528.77551020408,0.185797945950553,0.11614693258598555
cgtnjyggtm,positions_only,0.25,49,112690.2163265306,0.24769802467640537,0.11594615057050854
cgtnjyggtm,real,0.03125,49,8431.718367346939,0.01853328578381567,0.13997762129600333
cgtnjyggtm,real,0.0625,49,27786.395918367343,0.06107571363527277,0.14003861098781958
cgtnjyggtm,real,0.09375,49,41713.208163265306,0.09168745612323399,0.1401214318265219
cgtnjyggtm,real,0.125,49,56042.477551020405,0.12318381701510146,0.14021714392729387
cgtnjyggtm,real,0.1875,49,84528.77551020408,0.185797945950553,0.14041364813644894
cgtnjyggtm,real,0.25,49,112690.2163265306,0.24769802467640537,0.1406174458820151
cgtnjyggtm,reconstruction,0.03125,49,8431.718367346939,0.01853328578381567,0.11647974773711647
cgtnjyggtm,reconstruction,0.0625,49,27786.395918367343,0.06107571363527277,0.11239375945292474
cgtnjyggtm,reconstruction,0.09375,49,41713.208163265306,0.09168745612323399,0.1128963225329608
cgtnjyggtm,reconstruction,0.125,49,56042.477551020405,0.12318381701510146,0.11277951820645256
cgtnjyggtm,reconstruction,0.1875,49,84528.77551020408,0.185797945950553,0.11454695821999009
cgtnjyggtm,reconstruction,0.25,49,112690.2163265306,0.24769802467640537,0.11667179243423986
cgtnjyggtm,shuffled,0.03125,49,8431.718367346939,0.01853328578381567,0.12109376552444065
cgtnjyggtm,shuffled,0.0625,49,27786.395918367343,0.06107571363527277,0.12122240836169941
cgtnjyggtm,shuffled,0.09375,49,41713.208163265306,0.09168745612323399,0.12120723039570618
cgtnjyggtm,shuffled,0.125,49,56042.477551020405,0.12318381701510146,0.12119351919292348
cgtnjyggtm,shuffled,0.1875,49,84528.77551020408,0.185797945950553,0.12112391236729422
cgtnjyggtm,shuffled,0.25,49,112690.2163265306,0.24769802467640537,0.1210239178742976
cgtnjyggtm,static,0.03125,49,8431.718367346939,0.01853328578381567,0.12591999544659294
cgtnjyggtm,static,0.0625,49,27786.395918367343,0.06107571363527277,0.12591999544659294
cgtnjyggtm,static,0.09375,49,41713.208163265306,0.09168745612323399,0.12591999544659294
cgtnjyggtm,static,0.125,49,56042.477551020405,0.12318381701510146,0.12591999544659294
cgtnjyggtm,static,0.1875,49,84528.77551020408,0.185797945950553,0.12591999544659294
cgtnjyggtm,static,0.25,49,112690.2163265306,0.24769802467640537,0.12591999544659294
w68dtmpfyf,positions_only,0.03125,43,8433.990697674419,0.018538280465269633,0.048498912082159035
w68dtmpfyf,positions_only,0.0625,43,27782.46046511628,0.06106706333688598,0.048386853383730784
w68dtmpfyf,positions_only,0.09375,43,41688.12558139535,0.09163232351114484,0.04836594673195283
w68dtmpfyf,positions_only,0.125,43,56016.31627906977,0.12312631339503191,0.048358007936252556
w68dtmpfyf,positions_only,0.1875,43,84458.2976744186,0.18564303258472054,0.048387682342637676
w68dtmpfyf,positions_only,0.25,43,112612.47906976743,0.24752715478572906,0.048439001054308886
w68dtmpfyf,real,0.03125,43,8433.990697674419,0.018538280465269633,0.08965034747296498
w68dtmpfyf,real,0.0625,43,27782.46046511628,0.06106706333688598,0.09006072678651392
w68dtmpfyf,real,0.09375,43,41688.12558139535,0.09163232351114484,0.0903027499651974
w68dtmpfyf,real,0.125,43,56016.31627906977,0.12312631339503191,0.09054885635850235
w68dtmpfyf,real,0.1875,43,84458.2976744186,0.18564303258472054,0.09101106291988036
w68dtmpfyf,real,0.25,43,112612.47906976743,0.24752715478572906,0.091468179000354
w68dtmpfyf,reconstruction,0.03125,43,8433.990697674419,0.018538280465269633,0.09938503201157443
w68dtmpfyf,reconstruction,0.0625,43,27782.46046511628,0.06106706333688598,0.10286585148814928
w68dtmpfyf,reconstruction,0.09375,43,41688.12558139535,0.09163232351114484,0.10475004700322733
w68dtmpfyf,reconstruction,0.125,43,56016.31627906977,0.12312631339503191,0.10295982355424874
w68dtmpfyf,reconstruction,0.1875,43,84458.2976744186,0.18564303258472054,0.10243786644179327
w68dtmpfyf,reconstruction,0.25,43,112612.47906976743,0.24752715478572906,0.10740161650511391
w68dtmpfyf,shuffled,0.03125,43,8433.990697674419,0.018538280465269633,0.09189905875952846
w68dtmpfyf,shuffled,0.0625,43,27782.46046511628,0.06106706333688598,0.09143726247854225
w68dtmpfyf,shuffled,0.09375,43,41688.12558139535,0.09163232351114484,0.0911715230488991
w68dtmpfyf,shuffled,0.125,43,56016.31627906977,0.12312631339503191,0.0909558590955942
w68dtmpfyf,shuffled,0.1875,43,84458.2976744186,0.18564303258472054,0.09052690221107007
w68dtmpfyf,shuffled,0.25,43,112612.47906976743,0.24752715478572906,0.0900943851370271
w68dtmpfyf,static,0.03125,43,8433.990697674419,0.018538280465269633,0.07899111350274729
w68dtmpfyf,static,0.0625,43,27782.46046511628,0.06106706333688598,0.07899111350274729
w68dtmpfyf,static,0.09375,43,41688.12558139535,0.09163232351114484,0.07899111350274729
w68dtmpfyf,static,0.125,43,56016.31627906977,0.12312631339503191,0.07899111350274729
w68dtmpfyf,static,0.1875,43,84458.2976744186,0.18564303258472054,0.07899111350274729
w68dtmpfyf,static,0.25,43,112612.47906976743,0.24752715478572906,0.07899111350274729
xcmzfsbd9t,positions_only,0.03125,59,6307.250847457627,0.018531684524186076,0.08894305015955413
xcmzfsbd9t,positions_only,0.0625,59,20806.772881355933,0.06127443803618907,0.0887447798410965
xcmzfsbd9t,positions_only,0.09375,59,31217.352542372882,0.09191314205510775,0.08865667400186548
xcmzfsbd9t,positions_only,0.125,59,41955.908474576274,0.1233537385865288,0.08859230610425778
xcmzfsbd9t,positions_only,0.1875,59,63237.27118644068,0.1858372278869011,0.08849637841800455
xcmzfsbd9t,positions_only,0.25,59,84337.2847457627,0.2480426742444471,0.08843117382230575
xcmzfsbd9t,real,0.03125,59,6307.250847457627,0.018531684524186076,0.11962483242680703
xcmzfsbd9t,real,0.0625,59,20806.772881355933,0.06127443803618907,0.11923023767114488
xcmzfsbd9t,real,0.09375,59,31217.352542372882,0.09191314205510775,0.11889257700876905
xcmzfsbd9t,real,0.125,59,41955.908474576274,0.1233537385865288,0.11848056002693533
xcmzfsbd9t,real,0.1875,59,63237.27118644068,0.1858372278869011,0.11755475498099215
xcmzfsbd9t,real,0.25,59,84337.2847457627,0.2480426742444471,0.11659719564173607
xcmzfsbd9t,reconstruction,0.03125,59,6307.250847457627,0.018531684524186076,0.06519158440550604
xcmzfsbd9t,reconstruction,0.0625,59,20806.772881355933,0.06127443803618907,0.0730982105045383
xcmzfsbd9t,reconstruction,0.09375,59,31217.352542372882,0.09191314205510775,0.07534111230341359
xcmzfsbd9t,reconstruction,0.125,59,41955.908474576274,0.1233537385865288,0.07510775035880507
xcmzfsbd9t,reconstruction,0.1875,59,63237.27118644068,0.1858372278869011,0.07361119301316994
xcmzfsbd9t,reconstruction,0.25,59,84337.2847457627,0.2480426742444471,0.0758303011210222
xcmzfsbd9t,shuffled,0.03125,59,6307.250847457627,0.018531684524186076,0.15731341856691827
xcmzfsbd9t,shuffled,0.0625,59,20806.772881355933,0.06127443803618907,0.15730552930379552
xcmzfsbd9t,shuffled,0.09375,59,31217.352542372882,0.09191314205510775,0.15714674205944443
xcmzfsbd9t,shuffled,0.125,59,41955.908474576274,0.1233537385865288,0.15693819660923142
xcmzfsbd9t,shuffled,0.1875,59,63237.27118644068,0.1858372278869011,0.15642067293886255
xcmzfsbd9t,shuffled,0.25,59,84337.2847457627,0.2480426742444471,0.15584568107573335
xcmzfsbd9t,static,0.03125,59,6307.250847457627,0.018531684524186076,0.14789499226556352
xcmzfsbd9t,static,0.0625,59,20806.772881355933,0.06127443803618907,0.14789499226556352
xcmzfsbd9t,static,0.09375,59,31217.352542372882,0.09191314205510775,0.14789499226556352
xcmzfsbd9t,static,0.125,59,41955.908474576274,0.1233537385865288,0.14789499226556352
xcmzfsbd9t,static,0.1875,59,63237.27118644068,0.1858372278869011,0.14789499226556352
xcmzfsbd9t,static,0.25,59,84337.2847457627,0.2480426742444471,0.14789499226556352
yfxyg8jm46,positions_only,0.03125,42,8430.97619047619,0.018531654446590155,0.14338007969277564
yfxyg8jm46,positions_only,0.0625,42,27785.699999999997,0.061074183976261125,0.14271728604247155
yfxyg8jm46,positions_only,0.09375,42,41720.514285714286,0.09170351529995446,0.14265914641178712
yfxyg8jm46,positions_only,0.125,42,56013.54761904762,0.12312022775919906,0.1426864158895887
yfxyg8jm46,positions_only,0.1875,42,84506.80476190476,0.18574965328476706,0.14288748392163755
yfxyg8jm46,positions_only,0.25,42,112596.85238095238,0.24749280664018547,0.14324509230298052
yfxyg8jm46,real,0.03125,42,8430.97619047619,0.018531654446590155,0.15079508790188748
yfxyg8jm46,real,0.0625,42,27785.699999999997,0.061074183976261125,0.1501136372816325
yfxyg8jm46,real,0.09375,42,41720.514285714286,0.09170351529995446,0.14986588178976162
yfxyg8jm46,real,0.125,42,56013.54761904762,0.12312022775919906,0.14967728130159333
yfxyg8jm46,real,0.1875,42,84506.80476190476,0.18574965328476706,0.14937052422106337
yfxyg8jm46,real,0.25,42,112596.85238095238,0.24749280664018547,0.149158144365638
yfxyg8jm46,reconstruction,0.03125,42,8430.97619047619,0.018531654446590155,0.12946624392559178
yfxyg8jm46,reconstruction,0.0625,42,27785.699999999997,0.061074183976261125,0.11316869025440084
yfxyg8jm46,reconstruction,0.09375,42,41720.514285714286,0.09170351529995446,0.10995251224040345
yfxyg8jm46,reconstruction,0.125,42,56013.54761904762,0.12312022775919906,0.1093083582427503
yfxyg8jm46,reconstruction,0.1875,42,84506.80476190476,0.18574965328476706,0.10830850921372462
yfxyg8jm46,reconstruction,0.25,42,112596.85238095238,0.24749280664018547,0.11257470565052319
yfxyg8jm46,shuffled,0.03125,42,8430.97619047619,0.018531654446590155,0.13755870920349939
yfxyg8jm46,shuffled,0.0625,42,27785.699999999997,0.061074183976261125,0.13737999347191637
yfxyg8jm46,shuffled,0.09375,42,41720.514285714286,0.09170351529995446,0.1373213131341878
yfxyg8jm46,shuffled,0.125,42,56013.54761904762,0.12312022775919906,0.13730216819272595
