outer_domain,specimen_id,method,nominal_checkpoint,mean_exact_acquired_cost,mean_effective_budget,cai_mae,reconstruction_mse,trajectory_count
74t7kcdgkr,c8-10t,global_mechanical,0.03125,14161.0,0.031126497417298605,0.1612292959759618,0.0006947518853549061,1
74t7kcdgkr,c8-10t,global_mechanical,0.0625,28230.0,0.06205077481041873,0.16250452945099247,0.0006661669279149965,1
74t7kcdgkr,c8-10t,global_mechanical,0.09375,42460.0,0.09332893724585119,0.1625946823445058,0.0006436658783653073,1
74t7kcdgkr,c8-10t,global_mechanical,0.125,56546.0,0.12429058138256951,0.1621945912656827,0.0006097354971402122,1
74t7kcdgkr,c8-10t,global_mechanical,0.1875,84604.0,0.18596329266952413,0.1608854819147777,0.0005864657210177137,1
74t7kcdgkr,c8-10t,global_mechanical,0.25,112302.0,0.24684470820969337,0.1592224478978087,0.0005467771694213552,1
74t7kcdgkr,c8-10t,mavis_full,0.03125,14161.0,0.031126497417298605,0.1612292959759618,0.0006947518853549061,1
74t7kcdgkr,c8-10t,mavis_full,0.0625,28431.0,0.062492581602373885,0.16251663275445327,0.0006744016904795818,1
74t7kcdgkr,c8-10t,mavis_full,0.09375,42548.0,0.0935223650950654,0.1625810143045755,0.0006602450493416877,1
74t7kcdgkr,c8-10t,mavis_full,0.125,56292.0,0.12373227827233763,0.16220074322103306,0.0006536029966522158,1
74t7kcdgkr,c8-10t,mavis_full,0.1875,84888.0,0.18658753709198814,0.1608534382516924,0.0006328529116199231,1
74t7kcdgkr,c8-10t,mavis_full,0.25,112298.0,0.2468359160347291,0.1591906583372269,0.000624242878791099,1
74t7kcdgkr,c8-10t,mavis_no_feedback,0.03125,14161.0,0.031126497417298605,0.1612292959759618,0.0006947518853549061,1
74t7kcdgkr,c8-10t,mavis_no_feedback,0.0625,28248.0,0.062090339597758,0.16247980126524753,0.0006702964895652712,1
74t7kcdgkr,c8-10t,mavis_no_feedback,0.09375,42148.0,0.09264314759863722,0.16255199312390134,0.0006558899536992495,1
74t7kcdgkr,c8-10t,mavis_no_feedback,0.125,55964.0,0.12301131992526651,0.16224244277925504,0.0006538452068188596,1
74t7kcdgkr,c8-10t,mavis_no_feedback,0.1875,83819.0,0.18423782833278382,0.16098495635802834,0.0006251297695813253,1
74t7kcdgkr,c8-10t,mavis_no_feedback,0.25,112949.0,0.24826684251016595,0.15916108883009772,0.0006039637830110261,1
74t7kcdgkr,c8-10t,mavis_positions_only,0.03125,14161.0,0.031126497417298605,0.1612292959759618,0.0006947518853549061,1
74t7kcdgkr,c8-10t,mavis_positions_only,0.0625,27361.0,0.06014067479942851,0.1623064899839778,0.0006689122431388494,1
74t7kcdgkr,c8-10t,mavis_positions_only,0.09375,41198.0,0.09055500604462029,0.16245139528010843,0.0006373102840432799,1
74t7kcdgkr,c8-10t,mavis_positions_only,0.125,56633.0,0.12448181118804265,0.16204881667151338,0.0005856007458757067,1
74t7kcdgkr,c8-10t,mavis_positions_only,0.1875,85078.0,0.18700516540279152,0.1607039724843129,0.0005858852436658811,1
74t7kcdgkr,c8-10t,mavis_positions_only,0.25,113320.0,0.24908231673810308,0.15895144089081337,0.0005366798246472085,1
74t7kcdgkr,c8-10t,mavis_raw_value,0.03125,14161.0,0.031126497417298605,0.1612292959759618,0.0006947518853549061,1
74t7kcdgkr,c8-10t,mavis_raw_value,0.0625,27489.0,0.06042202439828553,0.16245746699256292,0.0006493045098615275,1
74t7kcdgkr,c8-10t,mavis_raw_value,0.09375,41554.0,0.09133750961644137,0.162590135247073,0.000618399705000727,1
74t7kcdgkr,c8-10t,mavis_raw_value,0.125,55400.0,0.12177162325530277,0.1622991343851894,0.0005885959107569451,1
74t7kcdgkr,c8-10t,mavis_raw_value,0.1875,84756.0,0.18629739531816683,0.16095716556842432,0.0005548674239199187,1
74t7kcdgkr,c8-10t,mavis_raw_value,0.25,113198.0,0.2488141554016925,0.15922365154124674,0.0005349338291790996,1
74t7kcdgkr,c8-10t,mavis_shuffled_content,0.03125,14161.0,0.031126497417298605,0.1612292959759618,0.0006947518853549061,1
74t7kcdgkr,c8-10t,mavis_shuffled_content,0.0625,27965.0,0.06146829321903506,0.16227647914092125,0.0006400195088706051,1
74t7kcdgkr,c8-10t,mavis_shuffled_content,0.09375,41837.0,0.09195955599516431,0.16243363485248863,0.0006031444645305022,1
74t7kcdgkr,c8-10t,mavis_shuffled_content,0.125,55845.0,0.12274975272007912,0.16205323003078642,0.0005562875128537882,1
74t7kcdgkr,c8-10t,mavis_shuffled_content,0.1875,85147.0,0.18715683042092537,0.16064368332188028,0.0004423247111173196,1
74t7kcdgkr,c8-10t,mavis_shuffled_content,0.25,112689.0,0.24769535113748764,0.1589412232954055,0.00039156315713053573,1
74t7kcdgkr,c8-10t,mavis_value_per_cost,0.03125,14161.0,0.031126497417298605,0.1612292959759618,0.0006947518853549061,1
74t7kcdgkr,c8-10t,mavis_value_per_cost,0.0625,28154.0,0.06188372348609737,0.1624901927202631,0.0006577778882010953,1
74t7kcdgkr,c8-10t,mavis_value_per_cost,0.09375,41732.0,0.09172876140235191,0.16264060802857716,0.0006268599001483067,1
74t7kcdgkr,c8-10t,mavis_value_per_cost,0.125,55780.0,0.12260687987690955,0.1622828584511431,0.0006075242814748392,1
74t7kcdgkr,c8-10t,mavis_value_per_cost,0.1875,84026.0,0.1846928233871854,0.16097856367399055,0.0005622197689654055,1
74t7kcdgkr,c8-10t,mavis_value_per_cost,0.25,112498.0,0.24727552478294318,0.15927976807309396,0.0005495999950534861,1
74t7kcdgkr,c8-10t,mva_a5,0.03125,14161.0,0.031126497417298605,0.1612292959759618,0.0006947518853549061,1
74t7kcdgkr,c8-10t,mva_a5,0.0625,28305.0,0.06221562809099901,0.16233960355234134,0.0006234916847368652,1
