threshold,baseline,domain_balanced_auebc,improved_domain_count,worst_domain_auebc,fallback_count,fallback_frequency,target_outcomes_used,selection_outer_domain
0.0,reconstruction,0.1455734552890537,2,0.2942230293069035,0,0.0,false,74t7kcdgkr
0.1,reconstruction,0.1455593555520564,0,0.2943241119894987,231,1.0,false,74t7kcdgkr
0.2,reconstruction,0.1455593555520564,0,0.2943241119894987,231,1.0,false,74t7kcdgkr
0.3,reconstruction,0.1455593555520564,0,0.2943241119894987,231,1.0,false,74t7kcdgkr
0.4,reconstruction,0.1455593555520564,0,0.2943241119894987,231,1.0,false,74t7kcdgkr
0.5,reconstruction,0.1455593555520564,0,0.2943241119894987,231,1.0,false,74t7kcdgkr
0.6,reconstruction,0.1455593555520564,0,0.2943241119894987,231,1.0,false,74t7kcdgkr
0.7,reconstruction,0.1455593555520564,0,0.2943241119894987,231,1.0,false,74t7kcdgkr
0.8,reconstruction,0.1455593555520564,0,0.2943241119894987,231,1.0,false,74t7kcdgkr
0.9,reconstruction,0.1455593555520564,0,0.2943241119894987,231,1.0,false,74t7kcdgkr
1.0,reconstruction,0.1455593555520564,0,0.2943241119894987,231,1.0,false,74t7kcdgkr
0.0,reconstruction,0.1180696179444944,1,0.1444869706871453,0,0.0,false,cgtnjyggtm
0.1,reconstruction,0.1180204938638629,0,0.1444250357646343,227,1.0,false,cgtnjyggtm
0.2,reconstruction,0.1180204938638629,0,0.1444250357646343,227,1.0,false,cgtnjyggtm
0.3,reconstruction,0.1180204938638629,0,0.1444250357646343,227,1.0,false,cgtnjyggtm
0.4,reconstruction,0.1180204938638629,0,0.1444250357646343,227,1.0,false,cgtnjyggtm
0.5,reconstruction,0.1180204938638629,0,0.1444250357646343,227,1.0,false,cgtnjyggtm
0.6,reconstruction,0.1180204938638629,0,0.1444250357646343,227,1.0,false,cgtnjyggtm
0.7,reconstruction,0.1180204938638629,0,0.1444250357646343,227,1.0,false,cgtnjyggtm
0.8,reconstruction,0.1180204938638629,0,0.1444250357646343,227,1.0,false,cgtnjyggtm
0.9,reconstruction,0.1180204938638629,0,0.1444250357646343,227,1.0,false,cgtnjyggtm
1.0,reconstruction,0.1180204938638629,0,0.1444250357646343,227,1.0,false,cgtnjyggtm
0.0,reconstruction,0.11397621321579225,1,0.16857176828562737,0,0.0,false,w68dtmpfyf
0.1,reconstruction,0.11392688462675209,0,0.16854952292868303,233,1.0,false,w68dtmpfyf
0.2,reconstruction,0.11392688462675209,0,0.16854952292868303,233,1.0,false,w68dtmpfyf
0.3,reconstruction,0.11392688462675209,0,0.16854952292868303,233,1.0,false,w68dtmpfyf
0.4,reconstruction,0.11392688462675209,0,0.16854952292868303,233,1.0,false,w68dtmpfyf
0.5,reconstruction,0.11392688462675209,0,0.16854952292868303,233,1.0,false,w68dtmpfyf
0.6,reconstruction,0.11392688462675209,0,0.16854952292868303,233,1.0,false,w68dtmpfyf
0.7,reconstruction,0.11392688462675209,0,0.16854952292868303,233,1.0,false,w68dtmpfyf
0.8,reconstruction,0.11392688462675209,0,0.16854952292868303,233,1.0,false,w68dtmpfyf
0.9,reconstruction,0.11392688462675209,0,0.16854952292868303,233,1.0,false,w68dtmpfyf
1.0,reconstruction,0.11392688462675209,0,0.16854952292868303,233,1.0,false,w68dtmpfyf
0.0,reconstruction,0.12241753172417277,4,0.18572411056441404,0,0.0,false,xcmzfsbd9t
0.1,reconstruction,0.12238646681752767,0,0.18527845443542995,217,1.0,false,xcmzfsbd9t
0.2,reconstruction,0.12238646681752767,0,0.18527845443542995,217,1.0,false,xcmzfsbd9t
0.3,reconstruction,0.12238646681752767,0,0.18527845443542995,217,1.0,false,xcmzfsbd9t
0.4,reconstruction,0.12238646681752767,0,0.18527845443542995,217,1.0,false,xcmzfsbd9t
0.5,reconstruction,0.12238646681752767,0,0.18527845443542995,217,1.0,false,xcmzfsbd9t
0.6,reconstruction,0.12238646681752767,0,0.18527845443542995,217,1.0,false,xcmzfsbd9t
0.7,reconstruction,0.12238646681752767,0,0.18527845443542995,217,1.0,false,xcmzfsbd9t
0.8,reconstruction,0.12238646681752767,0,0.18527845443542995,217,1.0,false,xcmzfsbd9t
0.9,reconstruction,0.12238646681752767,0,0.18527845443542995,217,1.0,false,xcmzfsbd9t
1.0,reconstruction,0.12238646681752767,0,0.18527845443542995,217,1.0,false,xcmzfsbd9t
0.0,reconstruction,0.10241844005076965,3,0.15158915377489532,0,0.0,false,yfxyg8jm46
0.1,reconstruction,0.10246000381368588,1,0.15160059461631645,233,0.9957264957264957,false,yfxyg8jm46
0.2,reconstruction,0.10246068203814296,0,0.15160398573860182,234,1.0,false,yfxyg8jm46
0.3,reconstruction,0.10246068203814296,0,0.15160398573860182,234,1.0,false,yfxyg8jm46
0.4,reconstruction,0.10246068203814296,0,0.15160398573860182,234,1.0,false,yfxyg8jm46
0.5,reconstruction,0.10246068203814296,0,0.15160398573860182,234,1.0,false,yfxyg8jm46
0.6,reconstruction,0.10246068203814296,0,0.15160398573860182,234,1.0,false,yfxyg8jm46
0.7,reconstruction,0.10246068203814296,0,0.15160398573860182,234,1.0,false,yfxyg8jm46
0.8,reconstruction,0.10246068203814296,0,0.15160398573860182,234,1.0,false,yfxyg8jm46
0.9,reconstruction,0.10246068203814296,0,0.15160398573860182,234,1.0,false,yfxyg8jm46
1.0,reconstruction,0.10246068203814296,0,0.15160398573860182,234,1.0,false,yfxyg8jm46
0.0,uniform,0.10911423222264358,2,0.16625156325852178,0,0.0,false,ykhs7s2dck
0.1,uniform,0.1091099154065573,0,0.16626610492598792,238,1.0,false,ykhs7s2dck
0.2,uniform,0.1091099154065573,0,0.16626610492598792,238,1.0,false,ykhs7s2dck
0.3,uniform,0.1091099154065573,0,0.16626610492598792,238,1.0,false,ykhs7s2dck
0.4,uniform,0.1091099154065573,0,0.16626610492598792,238,1.0,false,ykhs7s2dck
0.5,uniform,0.1091099154065573,0,0.16626610492598792,238,1.0,false,ykhs7s2dck
0.6,uniform,0.1091099154065573,0,0.16626610492598792,238,1.0,false,ykhs7s2dck
0.7,uniform,0.1091099154065573,0,0.16626610492598792,238,1.0,false,ykhs7s2dck
0.8,uniform,0.1091099154065573,0,0.16626610492598792,238,1.0,false,ykhs7s2dck
0.9,uniform,0.1091099154065573,0,0.16626610492598792,238,1.0,false,ykhs7s2dck
1.0,uniform,0.1091099154065573,0,0.16626610492598792,238,1.0,false,ykhs7s2dck
