mode,nominal_checkpoint,domain_count,mean_exact_acquired_cost,mean_effective_budget,domain_balanced_mae,worst_domain_mae
positions_only,0.03125,6,8411.28038363093,0.02064305209479642,0.1228568806429025,0.15619440203486973
positions_only,0.0625,6,25356.205735173062,0.060989813976226985,0.12264519252982402,0.1556601923982825
positions_only,0.09375,6,38101.13557304082,0.09168744638171607,0.12253665580656421,0.15521868428309993
positions_only,0.125,6,51228.53650775351,0.12324202278755354,0.1224280060419027,0.15480050764433073
positions_only,0.1875,6,77249.55744808727,0.18579114008102315,0.12223977556316594,0.15402441580084647
positions_only,0.25,6,102979.59621972246,0.24776724916250056,0.12207135806258129,0.15323883960370513
real,0.03125,6,8411.28038363093,0.02064305209479642,0.12571808149548866,0.14623286823316217
real,0.0625,6,25356.205735173062,0.060989813976226985,0.12571475626765083,0.14598641173259114
real,0.09375,6,38101.13557304082,0.09168744638171607,0.1256607586847723,0.14584218486595368
real,0.125,6,51228.53650775351,0.12324202278755354,0.1255189840544392,0.14570161810089757
real,0.1875,6,77249.55744808727,0.18579114008102315,0.1251410376260153,0.14546652273586955
real,0.25,6,102979.59621972246,0.24776724916250056,0.12464865994719752,0.14524873339344055
reconstruction,0.03125,6,8411.28038363093,0.02064305209479642,0.08905810659284559,0.12946624392559178
reconstruction,0.0625,6,25356.205735173062,0.060989813976226985,0.08682854645283174,0.11316869025440084
reconstruction,0.09375,6,38101.13557304082,0.09168744638171607,0.08714086129123365,0.1128963225329608
reconstruction,0.125,6,51228.53650775351,0.12324202278755354,0.08692490741949523,0.11277951820645256
reconstruction,0.1875,6,77249.55744808727,0.18579114008102315,0.08718129601568797,0.11454695821999009
reconstruction,0.25,6,102979.59621972246,0.24776724916250056,0.09043464467562057,0.11667179243423986
shuffled,0.03125,6,8411.28038363093,0.02064305209479642,0.12391783056669653,0.13702467505484073
shuffled,0.0625,6,25356.205735173062,0.060989813976226985,0.12391801880013904,0.13770085054471698
shuffled,0.09375,6,38101.13557304082,0.09168744638171607,0.12389969830717835,0.13811771563933303
shuffled,0.125,6,51228.53650775351,0.12324202278755354,0.1239141147253766,0.1385796597085052
shuffled,0.1875,6,77249.55744808727,0.18579114008102315,0.12395966614176142,0.13936305955522701
shuffled,0.25,6,102979.59621972246,0.24776724916250056,0.12400739070302441,0.14000652310185832
static,0.03125,6,8411.28038363093,0.02064305209479642,0.11531100324319632,0.14033191586104687
static,0.0625,6,25356.205735173062,0.060989813976226985,0.11531100324319632,0.14033191586104687
static,0.09375,6,38101.13557304082,0.09168744638171607,0.11531100112126398,0.14033191586104687
static,0.125,6,51228.53650775351,0.12324202278755354,0.11531100112126398,0.14033191586104687
static,0.1875,6,77249.55744808727,0.18579114008102315,0.11531100210267337,0.14033191586104687
static,0.25,6,102979.59621972246,0.24776724916250056,0.11531100210267337,0.14033191586104687
