outer_domain,recipient_id,recipient_domain,recipient_pool,donor_id,relaxation
74t7kcdgkr,c16-1,yfxyg8jm46,source,c16-15,dataset_exact_layup_energy_bin
74t7kcdgkr,c16-10,yfxyg8jm46,source,c16-18,dataset_exact_layup_energy_bin
74t7kcdgkr,c16-11,yfxyg8jm46,source,c16-36,dataset_exact_layup_energy_bin
74t7kcdgkr,c16-12,yfxyg8jm46,source,c16-39,dataset_exact_layup_energy_bin
74t7kcdgkr,c16-13,yfxyg8jm46,source,c16-33,dataset_exact_layup_energy_bin
74t7kcdgkr,c16-14,yfxyg8jm46,source,c16-7,dataset_exact_layup_energy_bin
74t7kcdgkr,c16-15,yfxyg8jm46,source,c16-25,dataset_exact_layup_energy_bin
74t7kcdgkr,c16-16,yfxyg8jm46,source,c16-4,dataset_exact_layup_energy_bin
74t7kcdgkr,c16-17,yfxyg8jm46,source,c16-6,dataset_exact_layup_energy_bin
74t7kcdgkr,c16-18,yfxyg8jm46,source,c16-35,dataset_exact_layup_energy_bin
74t7kcdgkr,c16-19,yfxyg8jm46,source,c16-32,dataset_exact_layup_energy_bin
74t7kcdgkr,c16-2,yfxyg8jm46,source,c16-3,dataset_exact_layup_energy_bin
74t7kcdgkr,c16-20,yfxyg8jm46,source,c16-1,dataset_exact_layup_energy_bin
74t7kcdgkr,c16-21,yfxyg8jm46,source,c16-9,dataset_exact_layup_energy_bin
74t7kcdgkr,c16-22,yfxyg8jm46,source,c16-37,dataset_exact_layup_energy_bin
74t7kcdgkr,c16-23,yfxyg8jm46,source,c16-29,dataset_exact_layup_energy_bin
74t7kcdgkr,c16-24,yfxyg8jm46,source,c16-16,dataset_exact_layup_energy_bin
74t7kcdgkr,c16-25,yfxyg8jm46,source,c16-27,dataset_exact_layup_energy_bin
74t7kcdgkr,c16-26,yfxyg8jm46,source,c16-2,dataset_exact_layup_energy_bin
74t7kcdgkr,c16-27,yfxyg8jm46,source,c16-14,dataset_exact_layup_energy_bin
74t7kcdgkr,c16-28,yfxyg8jm46,source,c16-10,dataset_exact_layup_energy_bin
74t7kcdgkr,c16-29,yfxyg8jm46,source,c16-41,dataset_exact_layup_energy_bin
74t7kcdgkr,c16-3,yfxyg8jm46,source,c16-19,dataset_exact_layup_energy_bin
74t7kcdgkr,c16-30,yfxyg8jm46,source,c16-12,dataset_exact_layup_energy_bin
74t7kcdgkr,c16-32,yfxyg8jm46,source,c16-26,dataset_exact_layup_energy_bin
74t7kcdgkr,c16-33,yfxyg8jm46,source,c16-34,dataset_exact_layup_energy_bin
74t7kcdgkr,c16-34,yfxyg8jm46,source,c16-20,dataset_exact_layup_energy_bin
74t7kcdgkr,c16-35,yfxyg8jm46,source,c16-22,dataset_exact_layup_energy_bin
74t7kcdgkr,c16-36,yfxyg8jm46,source,c16-23,dataset_exact_layup_energy_bin
74t7kcdgkr,c16-37,yfxyg8jm46,source,c16-11,dataset_exact_layup_energy_bin
74t7kcdgkr,c16-38,yfxyg8jm46,source,c16-40,dataset_exact_layup_energy_bin
74t7kcdgkr,c16-39,yfxyg8jm46,source,c16-24,dataset_exact_layup_energy_bin
74t7kcdgkr,c16-4,yfxyg8jm46,source,c16-17,dataset_exact_layup_energy_bin
74t7kcdgkr,c16-40,yfxyg8jm46,source,c16-42,dataset_exact_layup_energy_bin
74t7kcdgkr,c16-41,yfxyg8jm46,source,c16-5,dataset_exact_layup_energy_bin
74t7kcdgkr,c16-42,yfxyg8jm46,source,c16-38,dataset_exact_layup_energy_bin
74t7kcdgkr,c16-43,yfxyg8jm46,source,c16-30,dataset_exact_layup_energy_bin
74t7kcdgkr,c16-5,yfxyg8jm46,source,c16-28,dataset_exact_layup_energy_bin
74t7kcdgkr,c16-6,yfxyg8jm46,source,c16-43,dataset_exact_layup_energy_bin
74t7kcdgkr,c16-7,yfxyg8jm46,source,c16-21,dataset_exact_layup_energy_bin
74t7kcdgkr,c16-8,yfxyg8jm46,source,c16-13,dataset_exact_layup_energy_bin
74t7kcdgkr,c16-9,yfxyg8jm46,source,c16-8,dataset_exact_layup_energy_bin
74t7kcdgkr,c24-10,xcmzfsbd9t,source,c24-17,dataset_exact_layup_energy_bin
74t7kcdgkr,c24-10t,xcmzfsbd9t,source,c24-5,dataset_exact_layup_energy_bin
74t7kcdgkr,c24-11,xcmzfsbd9t,source,c24-42,dataset_exact_layup_energy_bin
74t7kcdgkr,c24-11t,xcmzfsbd9t,source,c24-30,dataset_exact_layup_energy_bin
74t7kcdgkr,c24-12,xcmzfsbd9t,source,c24-35,dataset_exact_layup_energy_bin
74t7kcdgkr,c24-12t,xcmzfsbd9t,source,c24-9,dataset_exact_layup_energy_bin
74t7kcdgkr,c24-13,xcmzfsbd9t,source,c24-56,dataset_exact_layup_energy_bin
74t7kcdgkr,c24-14,xcmzfsbd9t,source,c24-27,dataset_exact_layup_energy_bin
74t7kcdgkr,c24-15,xcmzfsbd9t,source,c24-28,dataset_exact_layup_energy_bin
74t7kcdgkr,c24-16,xcmzfsbd9t,source,c24-11t,dataset_exact_layup_energy_bin
74t7kcdgkr,c24-17,xcmzfsbd9t,source,c24-44,dataset_exact_layup_energy_bin
74t7kcdgkr,c24-18,xcmzfsbd9t,source,c24-11,dataset_exact_layup_energy_bin
74t7kcdgkr,c24-2,xcmzfsbd9t,source,c24-14,dataset_exact_layup_energy_bin
74t7kcdgkr,c24-20,xcmzfsbd9t,source,c24-24,dataset_exact_layup_energy_bin
74t7kcdgkr,c24-21,xcmzfsbd9t,source,c24-20,dataset_exact_layup_energy_bin
74t7kcdgkr,c24-24,xcmzfsbd9t,source,c24-25,dataset_exact_layup_energy_bin
74t7kcdgkr,c24-25,xcmzfsbd9t,source,c24-21,dataset_exact_layup_energy_bin
74t7kcdgkr,c24-26,xcmzfsbd9t,source,c24-8,dataset_exact_layup_energy_bin
74t7kcdgkr,c24-27,xcmzfsbd9t,source,c24-26,dataset_exact_layup_energy_bin
74t7kcdgkr,c24-28,xcmzfsbd9t,source,c24-15,dataset_exact_layup_energy_bin
74t7kcdgkr,c24-29,xcmzfsbd9t,source,c24-54,dataset_exact_layup_energy_bin
74t7kcdgkr,c24-3,xcmzfsbd9t,source,c24-34,dataset_exact_layup_energy_bin
74t7kcdgkr,c24-30,xcmzfsbd9t,source,c24-6,dataset_exact_layup_energy_bin
74t7kcdgkr,c24-31,xcmzfsbd9t,source,c24-29,dataset_exact_layup_energy_bin
74t7kcdgkr,c24-32,xcmzfsbd9t,source,c24-40,dataset_exact_layup_energy_bin
74t7kcdgkr,c24-33,xcmzfsbd9t,source,c24-39,dataset_exact_layup_energy_bin
74t7kcdgkr,c24-34,xcmzfsbd9t,source,c24-59,dataset_exact_layup_energy_bin
74t7kcdgkr,c24-35,xcmzfsbd9t,source,c24-10t,dataset_exact_layup_energy_bin
74t7kcdgkr,c24-36,xcmzfsbd9t,source,c24-43,dataset_exact_layup_energy_bin
74t7kcdgkr,c24-37,xcmzfsbd9t,source,c24-8t,dataset_exact_layup_energy_bin
74t7kcdgkr,c24-39,xcmzfsbd9t,source,c24-55,dataset_exact_layup_energy_bin
74t7kcdgkr,c24-40,xcmzfsbd9t,source,c24-50,dataset_exact_layup_energy_bin
74t7kcdgkr,c24-41,xcmzfsbd9t,source,c24-2,dataset_exact_layup_energy_bin
74t7kcdgkr,c24-42,xcmzfsbd9t,source,c24-12,dataset_exact_layup_energy_bin
74t7kcdgkr,c24-43,xcmzfsbd9t,source,c24-10,dataset_exact_layup_energy_bin
74t7kcdgkr,c24-44,xcmzfsbd9t,source,c24-31,dataset_exact_layup_energy_bin
74t7kcdgkr,c24-45,xcmzfsbd9t,source,c24-49,dataset_exact_layup_energy_bin
74t7kcdgkr,c24-46,xcmzfsbd9t,source,c24-52,dataset_exact_layup_energy_bin
74t7kcdgkr,c24-47,xcmzfsbd9t,source,c24-45,dataset_exact_layup_energy_bin
74t7kcdgkr,c24-48,xcmzfsbd9t,source,c24-3,dataset_exact_layup_energy_bin
74t7kcdgkr,c24-49,xcmzfsbd9t,source,c24-47,dataset_exact_layup_energy_bin
74t7kcdgkr,c24-5,xcmzfsbd9t,source,c24-37,dataset_exact_layup_energy_bin
74t7kcdgkr,c24-50,xcmzfsbd9t,source,c24-32,dataset_exact_layup_energy_bin
74t7kcdgkr,c24-51,xcmzfsbd9t,source,c24-9t,dataset_exact_layup_energy_bin
74t7kcdgkr,c24-52,xcmzfsbd9t,source,c24-6t,dataset_exact_layup_energy_bin
74t7kcdgkr,c24-53,xcmzfsbd9t,source,c24-58,dataset_exact_layup_energy_bin
74t7kcdgkr,c24-54,xcmzfsbd9t,source,c24-36,dataset_exact_layup_energy_bin
74t7kcdgkr,c24-55,xcmzfsbd9t,source,c24-13,dataset_exact_layup_energy_bin
74t7kcdgkr,c24-56,xcmzfsbd9t,source,c24-7,dataset_exact_layup_energy_bin
74t7kcdgkr,c24-57,xcmzfsbd9t,source,c24-12t,dataset_exact_layup_energy_bin
74t7kcdgkr,c24-58,xcmzfsbd9t,source,c24-48,dataset_exact_layup_energy_bin
74t7kcdgkr,c24-59,xcmzfsbd9t,source,c24-57,dataset_exact_layup_energy_bin
74t7kcdgkr,c24-6,xcmzfsbd9t,source,c24-18,dataset_exact_layup_energy_bin
74t7kcdgkr,c24-6t,xcmzfsbd9t,source,c24-41,dataset_exact_layup_energy_bin
74t7kcdgkr,c24-7,xcmzfsbd9t,source,c24-53,dataset_exact_layup_energy_bin
74t7kcdgkr,c24-8,xcmzfsbd9t,source,c24-51,dataset_exact_layup_energy_bin
74t7kcdgkr,c24-8t,xcmzfsbd9t,source,c24-16,dataset_exact_layup_energy_bin
74t7kcdgkr,c24-9,xcmzfsbd9t,source,c24-33,dataset_exact_layup_energy_bin
74t7kcdgkr,c24-9t,xcmzfsbd9t,source,c24-46,dataset_exact_layup_energy_bin
74t7kcdgkr,c8-10t,74t7kcdgkr,target,c8-29,dataset_exact_layup_energy_bin
74t7kcdgkr,c8-11,74t7kcdgkr,target,c8-37,dataset_exact_layup_energy_bin
74t7kcdgkr,c8-12,74t7kcdgkr,target,c8-24,dataset_exact_layup_energy_bin
74t7kcdgkr,c8-12t,74t7kcdgkr,target,c8-27,dataset_exact_layup_energy_bin
74t7kcdgkr,c8-13,74t7kcdgkr,target,c8-12t,dataset_exact_layup_energy_bin
74t7kcdgkr,c8-14,74t7kcdgkr,target,c8-32,dataset_exact_layup_energy_bin
74t7kcdgkr,c8-15,74t7kcdgkr,target,c8-20,dataset_exact_layup_energy_bin
74t7kcdgkr,c8-16,74t7kcdgkr,target,c8-28,dataset_exact_layup_energy_bin
74t7kcdgkr,c8-17,74t7kcdgkr,target,c8-38,dataset_exact_layup_energy_bin
74t7kcdgkr,c8-18,74t7kcdgkr,target,c8-22,dataset_exact_layup_energy_bin
74t7kcdgkr,c8-19,74t7kcdgkr,target,c8-34,dataset_exact_layup_energy_bin
74t7kcdgkr,c8-2,74t7kcdgkr,target,c8-41,dataset_exact_layup_energy_bin
74t7kcdgkr,c8-20,74t7kcdgkr,target,c8-25,dataset_exact_layup_energy_bin
74t7kcdgkr,c8-21,74t7kcdgkr,target,c8-14,dataset_exact_layup_energy_bin
74t7kcdgkr,c8-22,74t7kcdgkr,target,c8-42,dataset_exact_layup_energy_bin
74t7kcdgkr,c8-23,74t7kcdgkr,target,c8-17,dataset_exact_layup_energy_bin
