stage,model,stratum,metric,control_mode,control_minus_real,ci95_lower,ci95_upper,favorable_domain_count
p2,deepsets,clean_nonpriv,p2_auebc,positions_only,-0.017829930713996318,-0.0262319396391438,-0.009597427261780258,1
p2,deepsets,clean_nonpriv,p2_auebc,shuffled,0.004086698671233599,-0.0028401922695820876,0.011091405468023414,3
p2,deepsets,clean_nonpriv,p2_auebc,static,0.012232163939403034,0.004235725960977295,0.020485498715710638,3
p2,deepsets,full_bank,p2_auebc,positions_only,-0.017828835424347905,-0.02639835308842461,-0.009174758787341017,1
p2,deepsets,full_bank,p2_auebc,shuffled,0.00408162798718911,-0.0026525085976680752,0.011155969668411293,3
p2,deepsets,full_bank,p2_auebc,static,0.012232558209541423,0.004075379942611691,0.02063618423120308,3
p2,spatial,clean_nonpriv,p2_auebc,positions_only,-0.0030174325402961533,-0.012299530432577805,0.0064825515611149674,2
p2,spatial,clean_nonpriv,p2_auebc,shuffled,-0.0015067303386449918,-0.009681788535039754,0.006255578734136045,3
p2,spatial,clean_nonpriv,p2_auebc,static,-0.010116277508683059,-0.019070877857609116,-0.0011817235964596592,2
p2,spatial,full_bank,p2_auebc,positions_only,-0.0029585619457306958,-0.011992046368602571,0.006514284432582109,2
p2,spatial,full_bank,p2_auebc,shuffled,-0.0014399565520188604,-0.009638516031386064,0.006641642549103939,3
p2,spatial,full_bank,p2_auebc,static,-0.010053228799415177,-0.019089179195608895,-0.000985338833186888,2
p3,deepsets,clean_nonpriv,p3_next_action_regret,positions_only,0.00023077185344432243,-0.00013534375810373984,0.0006052474388000966,4
p3,deepsets,clean_nonpriv,p3_next_action_regret,shuffled,-0.0002466120882503216,-0.00045474625442315606,-0.00004932271440517415,2
p3,deepsets,clean_nonpriv,p3_next_action_regret,static,0.000019187784392861798,-0.00016060508891951468,0.0001968905941852619,3
p3,deepsets,full_bank,p3_next_action_regret,positions_only,0.0002925528151129153,-0.00005760991055989384,0.000650133545960103,5
p3,deepsets,full_bank,p3_next_action_regret,shuffled,-0.00018533115152083186,-0.0003528969190408817,-0.00001840961942537839,2
p3,deepsets,full_bank,p3_next_action_regret,static,-0.000042674377064129986,-0.00018547507969794933,0.00009476532025214271,4
p3,spatial,clean_nonpriv,p3_next_action_regret,positions_only,-0.00023258685713885112,-0.00040688535139083473,-0.00006411536917089499,2
p3,spatial,clean_nonpriv,p3_next_action_regret,shuffled,-0.00018722287215730432,-0.0003397380296151985,-0.000027211141967040487,2
p3,spatial,clean_nonpriv,p3_next_action_regret,static,0.00023313237313142784,0.00004602142496278369,0.00042485615153831937,5
p3,spatial,full_bank,p3_next_action_regret,positions_only,-0.00015470100346111725,-0.00029595019424381863,-0.0000105931745667201,2
p3,spatial,full_bank,p3_next_action_regret,shuffled,-0.0001293034848390649,-0.0002655777919113966,0.000022236248765159444,1
p3,spatial,full_bank,p3_next_action_regret,static,0.00010013531763617869,-0.00003698684948973296,0.00024152989746032362,6
