row_id,nominal_checkpoint,domain_count,mean_exact_acquired_cost,mean_effective_budget,domain_balanced_cai_mae,worst_domain_cai_mae,domain_balanced_reconstruction_mse,representation,valuation,planner,deployable
A,0.03125,6,12855.561940633126,0.03093281153410922,0.1253341755217026,0.15248599825841802,0.0015276064149789565,R_learned,V_learned,P_current,true
A,0.0625,6,25608.30767556502,0.061556028419502085,0.12531668400342322,0.1523198028914918,0.0014416033126782458,R_learned,V_learned,P_current,true
A,0.09375,6,38525.68328939594,0.09265685419133647,0.1252652280330899,0.152089882511467,0.001374157025433681,R_learned,V_learned,P_current,true
A,0.125,6,51361.64706499906,0.12354432234461084,0.12518091868959705,0.15182281894150176,0.0013220543839735901,R_learned,V_learned,P_current,true
A,0.1875,6,77123.83662920808,0.18549626339389533,0.12492521253680673,0.15111589049810759,0.0012262831867579959,R_learned,V_learned,P_current,true
A,0.25,6,103092.65910140691,0.24792061635859716,0.12464043639623663,0.15036627460286667,0.0011304974027612459,R_learned,V_learned,P_current,true
B,0.03125,6,7321.719460138104,0.01811824552703547,0.1253702540241867,0.1524149175821277,0.0015631309356864363,current_causal_history,V_true_conditional,P_current,false
B,0.0625,6,25450.83864432527,0.06119669188748313,0.1252590965627179,0.15197582101203036,0.0013113907486609858,current_causal_history,V_true_conditional,P_current,false
B,0.09375,6,38291.61335265794,0.09212250219187589,0.12518715119329615,0.15171450078987125,0.0012575727326776794,current_causal_history,V_true_conditional,P_current,false
B,0.125,6,51164.02923682125,0.12310957298316244,0.12509423723499327,0.15142955524026647,0.0012123409160345732,current_causal_history,V_true_conditional,P_current,false
B,0.1875,6,77148.33153647691,0.18562132393097205,0.12483852494472096,0.15075682190318057,0.0011483165463339953,current_causal_history,V_true_conditional,P_current,false
B,0.25,6,103190.77934225765,0.24820384568227782,0.12456879612910572,0.15007662564887947,0.0010909513437408229,current_causal_history,V_true_conditional,P_current,false
C,0.03125,6,12760.67305174424,0.03072297394289797,0.12534231008236038,0.1525347683453086,0.0015190168678591073,R_learned,V_learned,P_lookahead_beam2,true
C,0.0625,6,25598.230595352055,0.061557262729740055,0.1253193090822212,0.15233241505334388,0.0014403238486376474,R_learned,V_learned,P_lookahead_beam2,true
C,0.09375,6,38490.36510562794,0.09257157717093999,0.12525862077200955,0.15208421557339,0.0013753638622469744,R_learned,V_learned,P_lookahead_beam2,true
C,0.125,6,51328.747128026946,0.12347219274692152,0.12517233887490667,0.15182281894150176,0.0013216858965962818,R_learned,V_learned,P_lookahead_beam2,true
C,0.1875,6,77037.55624753646,0.18531592385373197,0.12491817245465502,0.15112541647800967,0.0012171484420574542,R_learned,V_learned,P_lookahead_beam2,true
C,0.25,6,103001.19529700773,0.24773872957569446,0.12463914060064689,0.1503696103431981,0.0011184846909660952,R_learned,V_learned,P_lookahead_beam2,true
D,0.03125,6,7321.719460138104,0.01811824552703547,0.1253702540241867,0.1524149175821277,0.0015631309356864363,current_causal_history,V_true_conditional,P_greedy_current,false
D,0.0625,6,25450.83864432527,0.06119669188748313,0.1252590965627179,0.15197582101203036,0.0013113907486609858,current_causal_history,V_true_conditional,P_greedy_current,false
D,0.09375,6,38291.61335265794,0.09212250219187589,0.12518715119329615,0.15171450078987125,0.0012575727326776794,current_causal_history,V_true_conditional,P_greedy_current,false
D,0.125,6,51164.02923682125,0.12310957298316244,0.12509423723499327,0.15142955524026647,0.0012123409160345732,current_causal_history,V_true_conditional,P_greedy_current,false
D,0.1875,6,77148.33153647691,0.18562132393097205,0.12483852494472096,0.15075682190318057,0.0011483165463339953,current_causal_history,V_true_conditional,P_greedy_current,false
D,0.25,6,103190.77934225765,0.24820384568227782,0.12456879612910572,0.15007662564887947,0.0010909513437408229,current_causal_history,V_true_conditional,P_greedy_current,false
E,0.03125,6,10357.274448706152,0.025086454659173977,0.12514775166343148,0.1522182298262266,0.0014806978189691536,current_causal_history,V_true_conditional,P_set_near_oracle,false
E,0.0625,6,25351.67388664396,0.060969828776007894,0.12520383480088113,0.1519418411147758,0.001291642371533006,current_causal_history,V_true_conditional,P_set_near_oracle,false
E,0.09375,6,38072.7476966131,0.09160343863177682,0.12512872045553614,0.15167907751984322,0.0012216596792566322,current_causal_history,V_true_conditional,P_set_near_oracle,false
E,0.125,6,51270.56085012193,0.12333987261363831,0.12504038748482912,0.1513955511582811,0.0011570601696053436,current_causal_history,V_true_conditional,P_set_near_oracle,false
E,0.1875,6,77239.4436497697,0.18581252622578512,0.12478153956021919,0.15072593659995628,0.0010638763269152647,current_causal_history,V_true_conditional,P_set_near_oracle,false
E,0.25,6,102999.08174750808,0.24781109285175892,0.12449915335167165,0.15005100665840915,0.0009363322796913563,current_causal_history,V_true_conditional,P_set_near_oracle,false
