analysis,subject,metric,replicate,value
oracle_utility,huber,mechanical_headroom_over_reconstruction,0,0.014196204512273
oracle_utility,huber,mechanical_headroom_over_reconstruction,1,0.013226257449891
oracle_utility,huber,mechanical_headroom_over_reconstruction,2,0.015532539926926
oracle_utility,huber,mechanical_headroom_over_reconstruction,3,0.015701714711223
oracle_utility,huber,mechanical_headroom_over_reconstruction,4,0.01513348268424
oracle_utility,huber,mechanical_headroom_over_reconstruction,5,0.01297379146176
oracle_utility,huber,mechanical_headroom_over_reconstruction,6,0.014147507072511
oracle_utility,huber,mechanical_headroom_over_reconstruction,7,0.015149389413939
oracle_utility,huber,mechanical_headroom_over_reconstruction,8,0.013813999123424
oracle_utility,huber,mechanical_headroom_over_reconstruction,9,0.013351508730829
oracle_utility,huber,mechanical_headroom_over_reconstruction,10,0.01471612668463
oracle_utility,huber,mechanical_headroom_over_reconstruction,11,0.013865687048543
oracle_utility,huber,mechanical_headroom_over_reconstruction,12,0.014293723637842
oracle_utility,huber,mechanical_headroom_over_reconstruction,13,0.015796300341172
oracle_utility,huber,mechanical_headroom_over_reconstruction,14,0.013958734710343
oracle_utility,huber,mechanical_headroom_over_reconstruction,15,0.015082458234396
oracle_utility,huber,mechanical_headroom_over_reconstruction,16,0.013057243543086
oracle_utility,huber,mechanical_headroom_over_reconstruction,17,0.01440661158703
oracle_utility,huber,mechanical_headroom_over_reconstruction,18,0.014317644199002
oracle_utility,huber,mechanical_headroom_over_reconstruction,19,0.012788408063958
oracle_utility,huber,mechanical_headroom_over_reconstruction,20,0.015279397776539
oracle_utility,huber,mechanical_headroom_over_reconstruction,21,0.013029370149806
oracle_utility,huber,mechanical_headroom_over_reconstruction,22,0.015361646498074
oracle_utility,huber,mechanical_headroom_over_reconstruction,23,0.015272494974101
oracle_utility,huber,mechanical_headroom_over_reconstruction,24,0.014135766973661
oracle_utility,huber,mechanical_headroom_over_reconstruction,25,0.014179346122907
oracle_utility,huber,mechanical_headroom_over_reconstruction,26,0.013887573683077
oracle_utility,huber,mechanical_headroom_over_reconstruction,27,0.015844500194713
oracle_utility,huber,mechanical_headroom_over_reconstruction,28,0.013871135302943
oracle_utility,huber,mechanical_headroom_over_reconstruction,29,0.015378483980692
oracle_utility,huber,mechanical_headroom_over_reconstruction,30,0.014179642658488
oracle_utility,huber,mechanical_headroom_over_reconstruction,31,0.014654788908085
oracle_utility,huber,mechanical_headroom_over_reconstruction,32,0.014729531467703
oracle_utility,huber,mechanical_headroom_over_reconstruction,33,0.013499016170991
oracle_utility,huber,mechanical_headroom_over_reconstruction,34,0.014635399965918
oracle_utility,huber,mechanical_headroom_over_reconstruction,35,0.013636192237536
oracle_utility,huber,mechanical_headroom_over_reconstruction,36,0.016283239898479
oracle_utility,huber,mechanical_headroom_over_reconstruction,37,0.012914406910275
oracle_utility,huber,mechanical_headroom_over_reconstruction,38,0.013906774751405
oracle_utility,huber,mechanical_headroom_over_reconstruction,39,0.015201607068729
oracle_utility,huber,mechanical_headroom_over_reconstruction,40,0.011968405504636
