level,outer_domain,specimen_id,current_checkpoint,mechanism_source,stratifier,mechanism_metric,stratum,feedback_benefit
specimen_auebc,74t7kcdgkr,c8-10t,,real,best_action_turnover,0,low,0.000005292584733
specimen_auebc,74t7kcdgkr,c8-11,,real,best_action_turnover,0.2,middle,-0.000081043895855
specimen_auebc,74t7kcdgkr,c8-12,,real,best_action_turnover,0.05,low,0.00001860206085
specimen_auebc,74t7kcdgkr,c8-12t,,real,best_action_turnover,0.05,low,-0.000002105797493
specimen_auebc,74t7kcdgkr,c8-13,,real,best_action_turnover,0.05,low,0.000005356111758
specimen_auebc,74t7kcdgkr,c8-14,,real,best_action_turnover,0.05,low,-0.000009072419253
specimen_auebc,74t7kcdgkr,c8-15,,real,best_action_turnover,0.25,middle,0.000036060487022
specimen_auebc,74t7kcdgkr,c8-16,,real,best_action_turnover,0,low,-0.000015036410235
specimen_auebc,74t7kcdgkr,c8-17,,real,best_action_turnover,0.15,middle,-0.000010033522421
specimen_auebc,74t7kcdgkr,c8-18,,real,best_action_turnover,0,low,0.000000602218115
specimen_auebc,74t7kcdgkr,c8-19,,real,best_action_turnover,0.3,high,-0.000031818176197
specimen_auebc,74t7kcdgkr,c8-2,,real,best_action_turnover,0,low,0.00000167102211
specimen_auebc,74t7kcdgkr,c8-20,,real,best_action_turnover,0.25,middle,0.000004721765549
specimen_auebc,74t7kcdgkr,c8-21,,real,best_action_turnover,0.5,high,-0.00000410466515
specimen_auebc,74t7kcdgkr,c8-22,,real,best_action_turnover,0.1,middle,0.000000347788711
specimen_auebc,74t7kcdgkr,c8-23,,real,best_action_turnover,0.15,middle,-0.000032800969644
specimen_auebc,74t7kcdgkr,c8-24,,real,best_action_turnover,0,low,0.000039981382981
specimen_auebc,74t7kcdgkr,c8-25,,real,best_action_turnover,0.4,high,-0.000045300014314
specimen_auebc,74t7kcdgkr,c8-26,,real,best_action_turnover,0.3,high,-0.000042125897171
specimen_auebc,74t7kcdgkr,c8-27,,real,best_action_turnover,0.65,high,-0.00002146019042
specimen_auebc,74t7kcdgkr,c8-28,,real,best_action_turnover,0.15,middle,-0.000007087706014
specimen_auebc,74t7kcdgkr,c8-29,,real,best_action_turnover,0.15,middle,0.000000503607114
specimen_auebc,74t7kcdgkr,c8-3,,real,best_action_turnover,0.5,high,0.000046080026279
specimen_auebc,74t7kcdgkr,c8-30,,real,best_action_turnover,0,low,-0.000002833478399
specimen_auebc,74t7kcdgkr,c8-32,,real,best_action_turnover,0,low,-0.000007755428302
specimen_auebc,74t7kcdgkr,c8-33,,real,best_action_turnover,0.65,high,0.00007838573715
specimen_auebc,74t7kcdgkr,c8-34,,real,best_action_turnover,0.55,high,0.000009799643252
specimen_auebc,74t7kcdgkr,c8-35,,real,best_action_turnover,0.05,low,-0.000019618263073
specimen_auebc,74t7kcdgkr,c8-36,,real,best_action_turnover,0.05,middle,0.000046816299748
specimen_auebc,74t7kcdgkr,c8-37,,real,best_action_turnover,0.05,middle,-0.000017751696054
specimen_auebc,74t7kcdgkr,c8-38,,real,best_action_turnover,0.35,high,-0.000067301133552
specimen_auebc,74t7kcdgkr,c8-39,,real,best_action_turnover,0.1,middle,0.000058735879903
specimen_auebc,74t7kcdgkr,c8-4,,real,best_action_turnover,0.35,high,-0.000002055025725
specimen_auebc,74t7kcdgkr,c8-40,,real,best_action_turnover,0,low,-0.00000415638548
specimen_auebc,74t7kcdgkr,c8-41,,real,best_action_turnover,0,low,0.000050381581244
specimen_auebc,74t7kcdgkr,c8-42,,real,best_action_turnover,0.65,high,0.000015119560267
specimen_auebc,74t7kcdgkr,c8-43,,real,best_action_turnover,0.25,middle,-0.000040999195032
specimen_auebc,74t7kcdgkr,c8-5,,real,best_action_turnover,0.2,middle,0.00010444158521
specimen_auebc,74t7kcdgkr,c8-6,,real,best_action_turnover,0.1,middle,0.000017175807204
specimen_auebc,74t7kcdgkr,c8-6t,,real,best_action_turnover,0,low,0.000028468609072
specimen_auebc,74t7kcdgkr,c8-7,,real,best_action_turnover,0.25,high,-0.000059752696405
specimen_auebc,74t7kcdgkr,c8-8,,real,best_action_turnover,0.35,high,0.000051878644251
specimen_auebc,74t7kcdgkr,c8-8t,,real,best_action_turnover,0.25,high,0.000053579391537
specimen_auebc,74t7kcdgkr,c8-9,,real,best_action_turnover,0.25,high,0.000072355618746
specimen_auebc,74t7kcdgkr,c8-9t,,real,best_action_turnover,0.2,middle,0.000002163056561
specimen_auebc,cgtnjyggtm,q24-1,,real,best_action_turnover,0.1,middle,-0.000037571199502
specimen_auebc,cgtnjyggtm,q24-10,,real,best_action_turnover,0,low,-0.00004336181953
specimen_auebc,cgtnjyggtm,q24-11,,real,best_action_turnover,0.1,middle,-0.000051511950188
specimen_auebc,cgtnjyggtm,q24-12,,real,best_action_turnover,0.5,high,0.000007579031794
specimen_auebc,cgtnjyggtm,q24-13,,real,best_action_turnover,0.1,middle,-0.000024442484958
specimen_auebc,cgtnjyggtm,q24-14,,real,best_action_turnover,0.15,middle,0.000018667741791
specimen_auebc,cgtnjyggtm,q24-15,,real,best_action_turnover,0.15,high,0.000023175669005
specimen_auebc,cgtnjyggtm,q24-16,,real,best_action_turnover,0.25,high,0.000032568061245
specimen_auebc,cgtnjyggtm,q24-18,,real,best_action_turnover,0.7,high,-0.000028737864696
specimen_auebc,cgtnjyggtm,q24-19,,real,best_action_turnover,0.05,low,-0.000028750226871
specimen_auebc,cgtnjyggtm,q24-2,,real,best_action_turnover,0.05,low,-0.000055366132475
specimen_auebc,cgtnjyggtm,q24-20,,real,best_action_turnover,0.05,low,0.000020648588629
specimen_auebc,cgtnjyggtm,q24-21,,real,best_action_turnover,0.05,low,-0.000041830752963
specimen_auebc,cgtnjyggtm,q24-22,,real,best_action_turnover,0.1,middle,-0.000051732870436
specimen_auebc,cgtnjyggtm,q24-23,,real,best_action_turnover,0.35,high,-0.000015188315268
specimen_auebc,cgtnjyggtm,q24-24,,real,best_action_turnover,0.25,high,-0.00002657343236
specimen_auebc,cgtnjyggtm,q24-25,,real,best_action_turnover,0.1,middle,0.000025563217481
specimen_auebc,cgtnjyggtm,q24-26,,real,best_action_turnover,0.05,low,-0.000012759278017
specimen_auebc,cgtnjyggtm,q24-27,,real,best_action_turnover,0.05,low,0.000047052823361
specimen_auebc,cgtnjyggtm,q24-28,,real,best_action_turnover,0.1,middle,0.000042672238241
specimen_auebc,cgtnjyggtm,q24-29,,real,best_action_turnover,0.15,middle,0.000031150785873
specimen_auebc,cgtnjyggtm,q24-3,,real,best_action_turnover,0.05,low,-0.000106320616156
specimen_auebc,cgtnjyggtm,q24-30,,real,best_action_turnover,0.05,low,-0.000087010578543
specimen_auebc,cgtnjyggtm,q24-31,,real,best_action_turnover,0,low,-0.000074408411653
specimen_auebc,cgtnjyggtm,q24-32,,real,best_action_turnover,0.05,low,-0.000054186895622
specimen_auebc,cgtnjyggtm,q24-33,,real,best_action_turnover,0,low,-0.000044807550303
specimen_auebc,cgtnjyggtm,q24-34,,real,best_action_turnover,0.05,low,-0.000048767528211
specimen_auebc,cgtnjyggtm,q24-35,,real,best_action_turnover,0.05,low,-0.000068190366291
specimen_auebc,cgtnjyggtm,q24-36,,real,best_action_turnover,0.25,high,-0.000031533659858
specimen_auebc,cgtnjyggtm,q24-37,,real,best_action_turnover,0.05,low,-0.000014354473362
specimen_auebc,cgtnjyggtm,q24-38,,real,best_action_turnover,0.1,middle,0.00000215151849
specimen_auebc,cgtnjyggtm,q24-39,,real,best_action_turnover,0.15,high,-0.000022244400979
specimen_auebc,cgtnjyggtm,q24-4,,real,best_action_turnover,0.05,low,-0.000010180224018
specimen_auebc,cgtnjyggtm,q24-40,,real,best_action_turnover,0.6,high,0.000019461280069
specimen_auebc,cgtnjyggtm,q24-41,,real,best_action_turnover,0.05,middle,0.000045910403346
specimen_auebc,cgtnjyggtm,q24-42,,real,best_action_turnover,0.65,high,0.000020799150169
specimen_auebc,cgtnjyggtm,q24-43,,real,best_action_turnover,0.55,high,0.000018990520359
specimen_auebc,cgtnjyggtm,q24-44,,real,best_action_turnover,0,low,-0.000008379717541
specimen_auebc,cgtnjyggtm,q24-45,,real,best_action_turnover,0.25,high,0.000049507175162
specimen_auebc,cgtnjyggtm,q24-46,,real,best_action_turnover,0.2,high,0.000064756370712
specimen_auebc,cgtnjyggtm,q24-47,,real,best_action_turnover,0.1,middle,0.00006576929167
specimen_auebc,cgtnjyggtm,q24-48,,real,best_action_turnover,0.05,middle,0.000027796576545
specimen_auebc,cgtnjyggtm,q24-49,,real,best_action_turnover,0.05,middle,0.000050548323479
specimen_auebc,cgtnjyggtm,q24-5,,real,best_action_turnover,0.1,middle,0.000055097892927
specimen_auebc,cgtnjyggtm,q24-50,,real,best_action_turnover,0.05,middle,-0.000000561325372
specimen_auebc,cgtnjyggtm,q24-6,,real,best_action_turnover,0.05,middle,-0.000076261564343
specimen_auebc,cgtnjyggtm,q24-7,,real,best_action_turnover,0.25,high,-0.000010002472727
specimen_auebc,cgtnjyggtm,q24-8,,real,best_action_turnover,0.6,high,-0.000033157177649
specimen_auebc,cgtnjyggtm,q24-9,,real,best_action_turnover,0.5,high,-0.000016942492173
specimen_auebc,w68dtmpfyf,q16-1,,real,best_action_turnover,0.05,low,-0.000003574392758
specimen_auebc,w68dtmpfyf,q16-10,,real,best_action_turnover,0.05,low,0.000017422815936
specimen_auebc,w68dtmpfyf,q16-11,,real,best_action_turnover,0.1,high,0.000008543855694
specimen_auebc,w68dtmpfyf,q16-12,,real,best_action_turnover,0.05,low,0.000008822196215
specimen_auebc,w68dtmpfyf,q16-13,,real,best_action_turnover,0.05,low,-0.000045233951789
specimen_auebc,w68dtmpfyf,q16-14,,real,best_action_turnover,0.15,high,-0.000021802103235
specimen_auebc,w68dtmpfyf,q16-15,,real,best_action_turnover,0,low,-0.000022835914424
specimen_auebc,w68dtmpfyf,q16-16,,real,best_action_turnover,0.05,low,-0.000039360600793
specimen_auebc,w68dtmpfyf,q16-17,,real,best_action_turnover,0,low,0.000002903745013
specimen_auebc,w68dtmpfyf,q16-18,,real,best_action_turnover,0.05,low,-0.000011521093696
specimen_auebc,w68dtmpfyf,q16-19,,real,best_action_turnover,0.1,high,-0.000011066555876
specimen_auebc,w68dtmpfyf,q16-2,,real,best_action_turnover,0.2,high,0.000007774442067
specimen_auebc,w68dtmpfyf,q16-20,,real,best_action_turnover,0.25,high,0.000030878080602
specimen_auebc,w68dtmpfyf,q16-21,,real,best_action_turnover,0.05,low,0.000051036372983
specimen_auebc,w68dtmpfyf,q16-22,,real,best_action_turnover,0,low,-0.00002038347856
specimen_auebc,w68dtmpfyf,q16-23,,real,best_action_turnover,0.05,low,-0.000000191364938
specimen_auebc,w68dtmpfyf,q16-24,,real,best_action_turnover,0.05,middle,-0.000005575592792
specimen_auebc,w68dtmpfyf,q16-25,,real,best_action_turnover,0.05,middle,-0.000008440140752
specimen_auebc,w68dtmpfyf,q16-26,,real,best_action_turnover,0.05,middle,-0.000009643404666
specimen_auebc,w68dtmpfyf,q16-27,,real,best_action_turnover,0,low,-0.000018952667685
specimen_auebc,w68dtmpfyf,q16-28,,real,best_action_turnover,0,low,0.000038551755673
specimen_auebc,w68dtmpfyf,q16-29,,real,best_action_turnover,0.05,middle,0.000013398439114
specimen_auebc,w68dtmpfyf,q16-3,,real,best_action_turnover,0.05,middle,0.000019412325554
specimen_auebc,w68dtmpfyf,q16-30,,real,best_action_turnover,0.25,high,-0.000005014733021
specimen_auebc,w68dtmpfyf,q16-31,,real,best_action_turnover,0,low,-0.000016660543312
