initial_checkpoint,current_checkpoint,metric,statistical_unit,contrast,left_source,right_source,estimate,bootstrap_mean,ci95_lower,ci95_upper,fraction_above_zero,bootstrap_replicates,seed
0.03125,0.0625,best_action_turnover,physical_specimen_within_domain,positions_only,positions_only,zero,0.057358587984749375,0.057363156332090055,0.03979391319879242,0.07717181853690103,1,5000,20250826
0.03125,0.0625,best_action_turnover,physical_specimen_within_domain,real,real,zero,0.0758974404810319,0.07564312014982491,0.056291583803845184,0.09641983116988743,1,5000,20250826
0.03125,0.0625,best_action_turnover,physical_specimen_within_domain,real_minus_positions_only,real,positions_only,0.01853885249628253,0.01827996381773485,-0.00780772622630273,0.04416132270365335,0.9204,5000,20250826
0.03125,0.0625,best_action_turnover,physical_specimen_within_domain,real_minus_shuffled,real,shuffled,-0.10655296919275752,-0.10667330728021952,-0.1317861255832426,-0.08055593832592817,0,5000,20250826
0.03125,0.0625,best_action_turnover,physical_specimen_within_domain,real_minus_static,real,static,-0.03691901513329343,-0.03698421059029316,-0.07020633744188665,-0.003603926105752522,0.0148,5000,20250826
0.03125,0.0625,best_action_turnover,physical_specimen_within_domain,shuffled,shuffled,zero,0.18245040967378942,0.18231642743004442,0.167067046264045,0.19806467791426122,1,5000,20250826
0.03125,0.0625,best_action_turnover,physical_specimen_within_domain,static,static,zero,0.11281645561432534,0.11262733074011808,0.087384509004177,0.13981198921514357,1,5000,20250826
0.03125,0.0625,best_action_turnover,physical_specimen_within_domain,teacher,teacher,zero,0.6094342958020086,0.609126221602426,0.5793800680940107,0.6398581428835022,1,5000,20250826
0.03125,0.0625,dynamic_vs_initial_opportunity,physical_specimen_within_domain,positions_only,positions_only,zero,0.00010689201671778107,0.00010621298608845116,-0.00006918381477152361,0.00031066786054871214,0.8696,5000,20250826
0.03125,0.0625,dynamic_vs_initial_opportunity,physical_specimen_within_domain,real,real,zero,-0.000004377717957684873,-0.000004488102336236994,-0.00006548255070326638,0.000057355626789921915,0.4514,5000,20250826
0.03125,0.0625,dynamic_vs_initial_opportunity,physical_specimen_within_domain,real_minus_positions_only,real,positions_only,-0.00011126973467546594,-0.00011070108842468815,-0.0003143035447826576,0.00007230487157209952,0.1254,5000,20250826
0.03125,0.0625,dynamic_vs_initial_opportunity,physical_specimen_within_domain,real_minus_shuffled,real,shuffled,0.00009644875657470274,0.00009479748108299249,-0.000033617268562516735,0.00022569931318102017,0.9224,5000,20250826
0.03125,0.0625,dynamic_vs_initial_opportunity,physical_specimen_within_domain,real_minus_static,real,static,-0.000025798362163352967,-0.000024675529930936884,-0.00011873726912795684,0.00006655700907533753,0.302,5000,20250826
0.03125,0.0625,dynamic_vs_initial_opportunity,physical_specimen_within_domain,shuffled,shuffled,zero,-0.00010082647453238761,-0.00009928558341922947,-0.00022611739187328425,0.000023094706594803314,0.0538,5000,20250826
0.03125,0.0625,dynamic_vs_initial_opportunity,physical_specimen_within_domain,static,static,zero,0.000021420644205668094,0.000020187427594699887,-0.00005074330283061744,0.00009600854902289937,0.6984,5000,20250826
0.03125,0.0625,dynamic_vs_initial_opportunity,physical_specimen_within_domain,teacher,teacher,zero,0.0051961317288545675,0.005188286135736439,0.004539558468812221,0.005935347478218281,1,5000,20250826
0.03125,0.0625,mean_absolute_value_shift,physical_specimen_within_domain,positions_only,positions_only,zero,0.0023252812786880186,0.0023259300707786203,0.0022422479398492502,0.0024125685145674246,1,5000,20250826
0.03125,0.0625,mean_absolute_value_shift,physical_specimen_within_domain,real,real,zero,0.001652334040552034,0.0016525269807212539,0.0016010433681375978,0.0017030020189269842,1,5000,20250826
0.03125,0.0625,mean_absolute_value_shift,physical_specimen_within_domain,real_minus_positions_only,real,positions_only,-0.0006729472381359846,-0.0006734030900573664,-0.0007615556032282127,-0.0005871243509163403,0,5000,20250826
0.03125,0.0625,mean_absolute_value_shift,physical_specimen_within_domain,real_minus_shuffled,real,shuffled,0.0006099237065232126,0.0006099329047599546,0.0005586427223385309,0.0006604186093216169,1,5000,20250826
0.03125,0.0625,mean_absolute_value_shift,physical_specimen_within_domain,real_minus_static,real,static,0.0006366014558527361,0.0006366168252395076,0.0005842348944729285,0.0006893844109346168,1,5000,20250826
0.03125,0.0625,mean_absolute_value_shift,physical_specimen_within_domain,shuffled,shuffled,zero,0.0010424103340288214,0.001042594075961299,0.0010047585082828116,0.0010807742178809874,1,5000,20250826
0.03125,0.0625,mean_absolute_value_shift,physical_specimen_within_domain,static,static,zero,0.001015732584699298,0.0010159101554817463,0.0009895912483449795,0.0010430255056922437,1,5000,20250826
0.03125,0.0625,mean_absolute_value_shift,physical_specimen_within_domain,teacher,teacher,zero,0.0019768718935287816,0.0019765604453872124,0.0018683613878770565,0.0020908766719726552,1,5000,20250826
0.03125,0.0625,rank_spearman,physical_specimen_within_domain,positions_only,positions_only,zero,0.9945885399963754,0.9945878807939598,0.9940185616518177,0.9950440846216743,1,5000,20250826
0.03125,0.0625,rank_spearman,physical_specimen_within_domain,real,real,zero,0.9944586793367732,0.994460231929896,0.9942487686631423,0.9946648712558938,1,5000,20250826
0.03125,0.0625,rank_spearman,physical_specimen_within_domain,real_minus_positions_only,real,positions_only,-0.00012986065960218784,-0.00012764886406376393,-0.0006216564104390892,0.00044910925328942844,0.3096,5000,20250826
0.03125,0.0625,rank_spearman,physical_specimen_within_domain,real_minus_shuffled,real,shuffled,0.0031401922971041607,0.00314847286125677,0.0024845153570334983,0.0038311715732486594,1,5000,20250826
0.03125,0.0625,rank_spearman,physical_specimen_within_domain,real_minus_static,real,static,0.0027809846341797506,0.0027851458476065146,0.0024100319852822737,0.0031870095958044854,1,5000,20250826
0.03125,0.0625,rank_spearman,physical_specimen_within_domain,shuffled,shuffled,zero,0.9913184870396691,0.9913117590686392,0.9906881223989881,0.991936642433318,1,5000,20250826
0.03125,0.0625,rank_spearman,physical_specimen_within_domain,static,static,zero,0.9916776947025935,0.9916750860822896,0.9913587112865603,0.9919755355528804,1,5000,20250826
