outer_domain,domain_id,initial_checkpoint,current_checkpoint,value_source,specimen_count,trajectory_count,state_pair_count,common_candidate_count,rank_spearman,top_k_jaccard,best_action_turnover,mean_absolute_value_shift,dynamic_vs_initial_opportunity,top_k
74t7kcdgkr,74t7kcdgkr,0.03125,0.0625,positions_only,45,225,225,56.82666666666666,0.9960247221275655,0.8814814814814814,0.1511111111111111,0.003997900038070837,0.0005921868589365411,5
74t7kcdgkr,74t7kcdgkr,0.03125,0.0625,real,45,225,225,56.82666666666666,0.9969303513312622,0.9026455026455027,0.06222222222222222,0.0015419783986589518,0.00005629391568024506,5
74t7kcdgkr,74t7kcdgkr,0.03125,0.0625,shuffled,45,225,225,56.82666666666666,0.9968886553396897,0.9570370370370369,0.026666666666666672,0.0006540721052613382,-0.000052519523065601706,5
74t7kcdgkr,74t7kcdgkr,0.03125,0.0625,static,45,225,225,56.82666666666666,0.9957508443246064,0.951111111111111,0.06666666666666667,0.0014889459211851952,-0.00001626194678700621,5
74t7kcdgkr,74t7kcdgkr,0.03125,0.0625,teacher,45,225,225,56.82666666666666,0.6492124462382503,0.4940740740740741,0.52,0.0012364089873295047,0.0023254611186369115,5
74t7kcdgkr,74t7kcdgkr,0.03125,0.09375,positions_only,45,225,225,49.46222222222222,0.988018804551695,0.8229100529100528,0.4444444444444444,0.008222280095115506,0.00001766777354557297,5
74t7kcdgkr,74t7kcdgkr,0.03125,0.09375,real,45,225,225,49.46222222222222,0.9899380034703691,0.8444444444444444,0.17777777777777778,0.002979566715644241,0.000033881116136459996,5
74t7kcdgkr,74t7kcdgkr,0.03125,0.09375,shuffled,45,225,225,49.46222222222222,0.9908634831645011,0.8831746031746032,0.14666666666666667,0.0012554913033960907,-0.000057026102710636314,5
74t7kcdgkr,74t7kcdgkr,0.03125,0.09375,static,45,225,225,49.46222222222222,0.9878466783323196,0.88,0.25333333333333335,0.0029610116298238614,0.00005096786329378291,5
74t7kcdgkr,74t7kcdgkr,0.03125,0.09375,teacher,45,225,225,49.46222222222222,0.5175445978861848,0.38190476190476186,0.5777777777777777,0.001566761258815119,0.0032765061076907003,5
74t7kcdgkr,74t7kcdgkr,0.03125,0.125,positions_only,45,225,225,42.83111111111111,0.9761760274366095,0.7465255731922399,0.37333333333333335,0.01217570131235794,-0.00010556842588909644,5
74t7kcdgkr,74t7kcdgkr,0.03125,0.125,real,45,225,225,42.83111111111111,0.9800461304629463,0.8369841269841269,0.27999999999999997,0.004354175520893942,0.00025629643518640844,5
