scope,outer_domain,nominal_checkpoint,metric,control_mode,direction,estimate,bootstrap_mean,ci95_lower,ci95_upper,fraction_above_zero,bootstrap_replicates,seed,fraction_below_zero
domain,74t7kcdgkr,0.03125,full_field_utility_recovery_fraction,full_field,higher_is_more_utility_recovered,0.4836438298372298,0.4796545616621368,0.24954437579040242,0.6919298740020317,0.9998,5000,20250826,0.0002
domain,cgtnjyggtm,0.03125,full_field_utility_recovery_fraction,full_field,higher_is_more_utility_recovered,-13.369169036460617,0.4529459072896084,-23.937447891449168,21.426234843135163,0.4954,5000,20250826,0.5046
domain,w68dtmpfyf,0.03125,full_field_utility_recovery_fraction,full_field,higher_is_more_utility_recovered,0.6051354522504582,0.4797024275608221,-0.9493868509912252,2.305636481460778,0.8964,5000,20250826,0.1036
domain,xcmzfsbd9t,0.03125,full_field_utility_recovery_fraction,full_field,higher_is_more_utility_recovered,0.3884338058698631,0.3994215078505376,0.15919627905304184,0.6762125163952292,0.9972,5000,20250826,0.0028
domain,yfxyg8jm46,0.03125,full_field_utility_recovery_fraction,full_field,higher_is_more_utility_recovered,-0.23849055082493129,-0.34895584313925637,-2.4262264260264943,0.5172223035742011,0.2012,5000,20250826,0.7988
domain,ykhs7s2dck,0.03125,full_field_utility_recovery_fraction,full_field,higher_is_more_utility_recovered,0.2346336255116152,0.23120387205256565,0.057628214931530766,0.39052302645566,0.9934,5000,20250826,0.0066
equal_domain,__equal_domain__,0.03125,full_field_utility_recovery_fraction,full_field,higher_is_more_utility_recovered,0.25017672279736103,0.2498123766846611,0.09039700100099218,0.39323199722570645,0.9978,5000,20250826,0.0022
domain,74t7kcdgkr,0.0625,full_field_utility_recovery_fraction,full_field,higher_is_more_utility_recovered,0.479534594820706,0.4756323763505189,0.24448084702791398,0.6882184304001843,0.9998,5000,20250826,0.0002
domain,cgtnjyggtm,0.0625,full_field_utility_recovery_fraction,full_field,higher_is_more_utility_recovered,-13.427171824990328,0.45496727095742706,-24.10725420101411,21.433218251438454,0.494,5000,20250826,0.506
domain,w68dtmpfyf,0.0625,full_field_utility_recovery_fraction,full_field,higher_is_more_utility_recovered,0.6284330993602343,0.5166379213358535,-0.9273918897491272,2.382278092765242,0.9028,5000,20250826,0.0972
domain,xcmzfsbd9t,0.0625,full_field_utility_recovery_fraction,full_field,higher_is_more_utility_recovered,0.3938555630722405,0.40527480616625544,0.16395207993872227,0.6838704453332021,0.9974,5000,20250826,0.0026
domain,yfxyg8jm46,0.0625,full_field_utility_recovery_fraction,full_field,higher_is_more_utility_recovered,-0.20236840876888956,-0.30273552087690625,-2.2699424815865523,0.5944731951190442,0.2408,5000,20250826,0.7592
domain,ykhs7s2dck,0.0625,full_field_utility_recovery_fraction,full_field,higher_is_more_utility_recovered,0.23733812235422808,0.23392258627442525,0.06045044400341299,0.3936168167575073,0.9936,5000,20250826,0.0064
equal_domain,__equal_domain__,0.0625,full_field_utility_recovery_fraction,full_field,higher_is_more_utility_recovered,0.2520839672063328,0.25176035767282656,0.09124896858925935,0.3958821099779368,0.9978,5000,20250826,0.0022
domain,74t7kcdgkr,0.09375,full_field_utility_recovery_fraction,full_field,higher_is_more_utility_recovered,0.47797139303550695,0.47412257475146596,0.2419191857365278,0.6871614158643441,0.9998,5000,20250826,0.0002
domain,cgtnjyggtm,0.09375,full_field_utility_recovery_fraction,full_field,higher_is_more_utility_recovered,-13.505936603923402,0.45104627429506083,-24.206130513839454,21.41068681458375,0.4936,5000,20250826,0.5064
domain,w68dtmpfyf,0.09375,full_field_utility_recovery_fraction,full_field,higher_is_more_utility_recovered,0.6421729990656847,0.5380348821949781,-0.8816787660647896,2.398682231211179,0.907,5000,20250826,0.093
domain,xcmzfsbd9t,0.09375,full_field_utility_recovery_fraction,full_field,higher_is_more_utility_recovered,0.3984950421882861,0.41027003001705764,0.16825015840863045,0.6901330674408434,0.9976,5000,20250826,0.0024
domain,yfxyg8jm46,0.09375,full_field_utility_recovery_fraction,full_field,higher_is_more_utility_recovered,-0.18923545561496158,-0.2859486560699983,-2.223634369969812,0.6110867510599404,0.2558,5000,20250826,0.7442
domain,ykhs7s2dck,0.09375,full_field_utility_recovery_fraction,full_field,higher_is_more_utility_recovered,0.23966311350391123,0.23627919894417873,0.06300463343695749,0.39573315182954893,0.9938,5000,20250826,0.0062
equal_domain,__equal_domain__,0.09375,full_field_utility_recovery_fraction,full_field,higher_is_more_utility_recovered,0.25345313158891475,0.2531597860940718,0.09271754889048256,0.3978324912763566,0.9978,5000,20250826,0.0022
domain,74t7kcdgkr,0.125,full_field_utility_recovery_fraction,full_field,higher_is_more_utility_recovered,0.4778203971684766,0.4740285634900403,0.24099663656988798,0.6874174515630721,0.9998,5000,20250826,0.0002
domain,cgtnjyggtm,0.125,full_field_utility_recovery_fraction,full_field,higher_is_more_utility_recovered,-13.596961309500475,0.44593224842684315,-24.637738237369707,21.382589003073143,0.4928,5000,20250826,0.5072
domain,w68dtmpfyf,0.125,full_field_utility_recovery_fraction,full_field,higher_is_more_utility_recovered,0.6561447069792582,0.5596061556092854,-0.852561604236974,2.442722400568085,0.9118,5000,20250826,0.0882
domain,xcmzfsbd9t,0.125,full_field_utility_recovery_fraction,full_field,higher_is_more_utility_recovered,0.4041561818935269,0.41635436103908885,0.17329280681340303,0.6976942475803359,0.998,5000,20250826,0.002
domain,yfxyg8jm46,0.125,full_field_utility_recovery_fraction,full_field,higher_is_more_utility_recovered,-0.17923817419359492,-0.27307630556326135,-2.1589023108566177,0.6112449990462534,0.269,5000,20250826,0.731
domain,ykhs7s2dck,0.125,full_field_utility_recovery_fraction,full_field,higher_is_more_utility_recovered,0.2420387301672459,0.2386883665217315,0.06555714756578354,0.39829147030693446,0.9944,5000,20250826,0.0056
equal_domain,__equal_domain__,0.125,full_field_utility_recovery_fraction,full_field,higher_is_more_utility_recovered,0.25529350282196966,0.25503617437431997,0.09558339235142545,0.4000837055410838,0.998,5000,20250826,0.002
domain,74t7kcdgkr,0.1875,full_field_utility_recovery_fraction,full_field,higher_is_more_utility_recovered,0.47991847900202267,0.4762563839888366,0.24385996675806992,0.6902014594403552,0.9998,5000,20250826,0.0002
domain,cgtnjyggtm,0.1875,full_field_utility_recovery_fraction,full_field,higher_is_more_utility_recovered,-13.783841940462802,0.4332609161433792,-24.71221806681969,21.56480952576648,0.4906,5000,20250826,0.5094
domain,w68dtmpfyf,0.1875,full_field_utility_recovery_fraction,full_field,higher_is_more_utility_recovered,0.6823846391670773,0.5995673429735722,-0.7611364037377408,2.521690406159989,0.918,5000,20250826,0.082
domain,xcmzfsbd9t,0.1875,full_field_utility_recovery_fraction,full_field,higher_is_more_utility_recovered,0.4168768024892487,0.4299988076112284,0.18275498783927155,0.7179923865402397,0.9984,5000,20250826,0.0016
domain,yfxyg8jm46,0.1875,full_field_utility_recovery_fraction,full_field,higher_is_more_utility_recovered,-0.16297768148841002,-0.2519234389375855,-2.1111431393652698,0.617746253325946,0.2906,5000,20250826,0.7094
domain,ykhs7s2dck,0.1875,full_field_utility_recovery_fraction,full_field,higher_is_more_utility_recovered,0.24768016356825892,0.2444284598178738,0.07113973957850872,0.40335114830604774,0.995,5000,20250826,0.005
equal_domain,__equal_domain__,0.1875,full_field_utility_recovery_fraction,full_field,higher_is_more_utility_recovered,0.26031542882662134,0.26014375787505034,0.10055377464429945,0.40475660937805735,0.9984,5000,20250826,0.0016
domain,74t7kcdgkr,0.25,full_field_utility_recovery_fraction,full_field,higher_is_more_utility_recovered,0.4833308819503454,0.4797905470801715,0.24874248337681334,0.6938324041480118,0.9998,5000,20250826,0.0002
domain,cgtnjyggtm,0.25,full_field_utility_recovery_fraction,full_field,higher_is_more_utility_recovered,-13.977658914887256,0.41750417848733035,-25.294861728260827,21.89973208747781,0.4878,5000,20250826,0.5122
domain,w68dtmpfyf,0.25,full_field_utility_recovery_fraction,full_field,higher_is_more_utility_recovered,0.7083355796250179,0.6392169721519182,-0.7304897082936296,2.60300858140779,0.9246,5000,20250826,0.0754
domain,xcmzfsbd9t,0.25,full_field_utility_recovery_fraction,full_field,higher_is_more_utility_recovered,0.4300337291078083,0.44412905767508293,0.19503403471151864,0.7376843864006581,0.999,5000,20250826,0.001
domain,yfxyg8jm46,0.25,full_field_utility_recovery_fraction,full_field,higher_is_more_utility_recovered,-0.15171991008210378,-0.23691111020886602,-2.0412024731799256,0.6238575269125174,0.3076,5000,20250826,0.6924
domain,ykhs7s2dck,0.25,full_field_utility_recovery_fraction,full_field,higher_is_more_utility_recovered,0.25328666811865286,0.25014275830282423,0.07700852134974273,0.4090591793943768,0.9958,5000,20250826,0.0042
equal_domain,__equal_domain__,0.25,full_field_utility_recovery_fraction,full_field,higher_is_more_utility_recovered,0.2655209065826384,0.26543525232238474,0.10566862361302957,0.41032085829808473,0.9984,5000,20250826,0.0016
domain,74t7kcdgkr,0.03125,real_change_from_initial_mae,initial_real,negative_is_error_reduction,0.0,0.0,0.0,0.0,0.0,5000,20250826,0.0
domain,cgtnjyggtm,0.03125,real_change_from_initial_mae,initial_real,negative_is_error_reduction,0.0,0.0,0.0,0.0,0.0,5000,20250826,0.0
domain,w68dtmpfyf,0.03125,real_change_from_initial_mae,initial_real,negative_is_error_reduction,0.0,0.0,0.0,0.0,0.0,5000,20250826,0.0
domain,xcmzfsbd9t,0.03125,real_change_from_initial_mae,initial_real,negative_is_error_reduction,0.0,0.0,0.0,0.0,0.0,5000,20250826,0.0
domain,yfxyg8jm46,0.03125,real_change_from_initial_mae,initial_real,negative_is_error_reduction,0.0,0.0,0.0,0.0,0.0,5000,20250826,0.0
domain,ykhs7s2dck,0.03125,real_change_from_initial_mae,initial_real,negative_is_error_reduction,0.0,0.0,0.0,0.0,0.0,5000,20250826,0.0
equal_domain,__equal_domain__,0.03125,real_change_from_initial_mae,initial_real,negative_is_error_reduction,0.0,0.0,0.0,0.0,0.0,5000,20250826,0.0
domain,74t7kcdgkr,0.0625,real_change_from_initial_mae,initial_real,negative_is_error_reduction,0.0003796421575563008,0.0003788289048532814,0.000015947346074539002,0.000744177426071017,0.9802,5000,20250826,0.0198
domain,cgtnjyggtm,0.0625,real_change_from_initial_mae,initial_real,negative_is_error_reduction,0.000060989691816254465,0.00006158827749194646,-0.00025548672833200227,0.0003731689759459968,0.6484,5000,20250826,0.3516
domain,w68dtmpfyf,0.0625,real_change_from_initial_mae,initial_real,negative_is_error_reduction,0.0004103793135489392,0.0004115731273415747,0.00004166599438179368,0.0007884097126310763,0.9842,5000,20250826,0.0158
domain,xcmzfsbd9t,0.0625,real_change_from_initial_mae,initial_real,negative_is_error_reduction,-0.00039459475566215596,-0.000393928243371027,-0.0006991658428945654,-0.00008728336967159391,0.0072,5000,20250826,0.9928
domain,yfxyg8jm46,0.0625,real_change_from_initial_mae,initial_real,negative_is_error_reduction,-0.0006814506202549864,-0.0006794889594379555,-0.0009734393002980832,-0.00036232507929405145,0.0,5000,20250826,1.0
domain,ykhs7s2dck,0.0625,real_change_from_initial_mae,initial_real,negative_is_error_reduction,-0.00032013201957312165,-0.00032093065202923874,-0.000564413632725657,-0.0000971094700136941,0.0012,5000,20250826,0.9988
equal_domain,__equal_domain__,0.0625,real_change_from_initial_mae,initial_real,negative_is_error_reduction,-0.00009086103876146158,-0.0000903929241919031,-0.0002188378100125823,0.00004639348847642066,0.0904,5000,20250826,0.9096
domain,74t7kcdgkr,0.09375,real_change_from_initial_mae,initial_real,negative_is_error_reduction,0.0005240625414093675,0.0005229930551654122,-0.00002022064453053758,0.0010843595189995881,0.9682,5000,20250826,0.0318
domain,cgtnjyggtm,0.09375,real_change_from_initial_mae,initial_real,negative_is_error_reduction,0.00014381053051856774,0.00014485784571012706,-0.00026411358748985175,0.0005408574613473108,0.7554,5000,20250826,0.2446
domain,w68dtmpfyf,0.09375,real_change_from_initial_mae,initial_real,negative_is_error_reduction,0.0006524024922324179,0.000654144708563878,0.00011659855094949163,0.0012186986247114428,0.9916,5000,20250826,0.0084
domain,xcmzfsbd9t,0.09375,real_change_from_initial_mae,initial_real,negative_is_error_reduction,-0.0007322554180379803,-0.0007314735849537948,-0.001243118260941126,-0.0002071809166194106,0.0038,5000,20250826,0.9962
domain,yfxyg8jm46,0.09375,real_change_from_initial_mae,initial_real,negative_is_error_reduction,-0.0009292061121258521,-0.0009272988320770084,-0.0013405296885730666,-0.00047695726134790064,0.0,5000,20250826,1.0
domain,ykhs7s2dck,0.09375,real_change_from_initial_mae,initial_real,negative_is_error_reduction,-0.0005953418480743877,-0.0005965075005882057,-0.0009637061982865819,-0.00026258592829216267,0.0,5000,20250826,1.0
equal_domain,__equal_domain__,0.09375,real_change_from_initial_mae,initial_real,negative_is_error_reduction,-0.00015608796901297786,-0.0001555473846965986,-0.00034459368155532647,0.00004540576513389197,0.061,5000,20250826,0.939
domain,74t7kcdgkr,0.125,real_change_from_initial_mae,initial_real,negative_is_error_reduction,0.0005380126796981216,0.0005368898188012677,-0.00013877704939851027,0.001236679631132615,0.9368,5000,20250826,0.0632
domain,cgtnjyggtm,0.125,real_change_from_initial_mae,initial_real,negative_is_error_reduction,0.00023952263129053963,0.00024074267138161174,-0.0002370702952289451,0.0007014471950744901,0.8416,5000,20250826,0.1584
domain,w68dtmpfyf,0.125,real_change_from_initial_mae,initial_real,negative_is_error_reduction,0.0008985088855373718,0.000900430152907894,0.0002019760467624143,0.0016400800707885824,0.9944,5000,20250826,0.0056
domain,xcmzfsbd9t,0.125,real_change_from_initial_mae,initial_real,negative_is_error_reduction,-0.001144272399871707,-0.0011429538359336395,-0.001862985975433521,-0.00039195408105579724,0.0018,5000,20250826,0.9982
domain,yfxyg8jm46,0.125,real_change_from_initial_mae,initial_real,negative_is_error_reduction,-0.0011178066002941467,-0.0011165684278992764,-0.001638777795450349,-0.0005509850514886118,0.0002,5000,20250826,0.9998
domain,ykhs7s2dck,0.125,real_change_from_initial_mae,initial_real,negative_is_error_reduction,-0.0008765442322598849,-0.0008782080341893691,-0.0013634431407504976,-0.0004319946643170974,0.0,5000,20250826,1.0
equal_domain,__equal_domain__,0.125,real_change_from_initial_mae,initial_real,negative_is_error_reduction,-0.0002437631726499509,-0.00024327794248858522,-0.0004897771862021556,0.0000188451782535991,0.033,5000,20250826,0.967
domain,74t7kcdgkr,0.1875,real_change_from_initial_mae,initial_real,negative_is_error_reduction,0.00034417603837334776,0.00034343039331920304,-0.0005095083713784393,0.001259106343261879,0.7698,5000,20250826,0.2302
domain,cgtnjyggtm,0.1875,real_change_from_initial_mae,initial_real,negative_is_error_reduction,0.000436026840445608,0.0004373764163701697,-0.00016538124940262896,0.0010238451850268712,0.9226,5000,20250826,0.0774
domain,w68dtmpfyf,0.1875,real_change_from_initial_mae,initial_real,negative_is_error_reduction,0.0013607154469153782,0.0013630159798078442,0.00037670605620715377,0.002406746291192864,0.995,5000,20250826,0.005
domain,xcmzfsbd9t,0.1875,real_change_from_initial_mae,initial_real,negative_is_error_reduction,-0.0020700774458148885,-0.0020675785367014724,-0.0032427009275780155,-0.000840930203749819,0.0004,5000,20250826,0.9996
domain,yfxyg8jm46,0.1875,real_change_from_initial_mae,initial_real,negative_is_error_reduction,-0.0014245636808241091,-0.001424835982641963,-0.002148740033716201,-0.0006484784553737343,0.0002,5000,20250826,0.9998
domain,ykhs7s2dck,0.1875,real_change_from_initial_mae,initial_real,negative_is_error_reduction,-0.0015443222231592002,-0.0015473591270869069,-0.0022273695505292783,-0.0009201445665629192,0.0,5000,20250826,1.0
equal_domain,__equal_domain__,0.1875,real_change_from_initial_mae,initial_real,negative_is_error_reduction,-0.00048300750401064396,-0.00048265847615552106,-0.0008331413782943144,-0.00011205264794297971,0.0076,5000,20250826,0.9924
domain,74t7kcdgkr,0.25,real_change_from_initial_mae,initial_real,negative_is_error_reduction,0.000028912488699656125,0.00002904144052079996,-0.0010041606657030333,0.0011332209594432376,0.5132,5000,20250826,0.4868
domain,cgtnjyggtm,0.25,real_change_from_initial_mae,initial_real,negative_is_error_reduction,0.0006398245860117779,0.0006412535769333407,-0.0001430514007826268,0.0014182717085629022,0.9476,5000,20250826,0.0524
domain,w68dtmpfyf,0.25,real_change_from_initial_mae,initial_real,negative_is_error_reduction,0.0018178315273890272,0.0018208716290376596,0.000529989938524993,0.0031942963984079187,0.9964,5000,20250826,0.0036
domain,xcmzfsbd9t,0.25,real_change_from_initial_mae,initial_real,negative_is_error_reduction,-0.003027636785070967,-0.003024321162836214,-0.004628140402904703,-0.0013436412774999681,0.0002,5000,20250826,0.9998
domain,yfxyg8jm46,0.25,real_change_from_initial_mae,initial_real,negative_is_error_reduction,-0.0016369435362494633,-0.001638904291463092,-0.0025507933136470324,-0.0006507550819436843,0.001,5000,20250826,0.999
domain,ykhs7s2dck,0.25,real_change_from_initial_mae,initial_real,negative_is_error_reduction,-0.002207965676604501,-0.002212614583507182,-0.0030771919808627707,-0.0014031060186201817,0.0,5000,20250826,1.0
equal_domain,__equal_domain__,0.25,real_change_from_initial_mae,initial_real,negative_is_error_reduction,-0.0007309962326374116,-0.000730778898552448,-0.0011840686864012153,-0.00025047239942650626,0.002,5000,20250826,0.998
domain,74t7kcdgkr,0.03125,real_minus_control_mae,positions_only,negative_favors_real,-0.03950989125955916,-0.039830461157664414,-0.06266993431647265,-0.016984349433333965,0.0006,5000,20250826,0.9994
domain,cgtnjyggtm,0.03125,real_minus_control_mae,positions_only,negative_favors_real,0.023322026157168357,0.023185240636231272,0.0031424999207495634,0.043124597265333894,0.9892,5000,20250826,0.0108
