scope,outer_domain,nominal_checkpoint,metric,control_scorer,direction,estimate,bootstrap_mean,ci95_lower,ci95_upper,fraction_above_zero,bootstrap_replicates,seed,fraction_below_zero
domain,74t7kcdgkr,0.03125,real_minus_control_regret,candidate_only_static,negative_favors_dynamic_real,0.0017214233901823618,0.0016921425028457576,-0.0012174556768198212,0.005214082715300344,0.8602,5000,20250826,0.1398
domain,cgtnjyggtm,0.03125,real_minus_control_regret,candidate_only_static,negative_favors_dynamic_real,0.00007665287024314488,0.00007827203314840303,-0.0015526709831760637,0.0017208987915808512,0.5348,5000,20250826,0.4652
domain,w68dtmpfyf,0.03125,real_minus_control_regret,candidate_only_static,negative_favors_dynamic_real,-0.00007386712887222889,-0.0000848731530149073,-0.0031065650385101755,0.002894486887724966,0.477,5000,20250826,0.523
domain,xcmzfsbd9t,0.03125,real_minus_control_regret,candidate_only_static,negative_favors_dynamic_real,-0.0015213328872106628,-0.0015046235728716092,-0.00403146605022357,0.001109780483632831,0.1288,5000,20250826,0.8712
domain,yfxyg8jm46,0.03125,real_minus_control_regret,candidate_only_static,negative_favors_dynamic_real,-0.00018630094164955036,-0.000188654289068508,-0.0025824109962311144,0.0022946897682494197,0.4422,5000,20250826,0.5578
domain,ykhs7s2dck,0.03125,real_minus_control_regret,candidate_only_static,negative_favors_dynamic_real,-0.001571886345940571,-0.0015736542590903267,-0.004053976894820981,0.000761468852452988,0.0998,5000,20250826,0.9002
equal_domain,__equal_domain__,0.03125,real_minus_control_regret,candidate_only_static,negative_favors_dynamic_real,-0.0002592185072079177,-0.00026356512300853175,-0.001321641102563298,0.0007990803516748467,0.3058,5000,20250826,0.6942
domain,74t7kcdgkr,0.0625,real_minus_control_regret,candidate_only_static,negative_favors_dynamic_real,0.0007653743904641793,0.0007472220498788581,-0.0006575433577983959,0.0022217909255152343,0.8486,5000,20250826,0.1514
domain,cgtnjyggtm,0.0625,real_minus_control_regret,candidate_only_static,negative_favors_dynamic_real,-0.0016851190157885117,-0.001678112026529128,-0.002907464212652007,-0.000553147572096689,0.0012,5000,20250826,0.9988
domain,w68dtmpfyf,0.0625,real_minus_control_regret,candidate_only_static,negative_favors_dynamic_real,-0.001088360672311297,-0.0010978509535979114,-0.002427931552245813,0.00014505393378876433,0.0432,5000,20250826,0.9568
domain,xcmzfsbd9t,0.0625,real_minus_control_regret,candidate_only_static,negative_favors_dynamic_real,-0.001605829673988677,-0.0015975937239346423,-0.003201466316411458,-0.00007065067437744566,0.021,5000,20250826,0.979
domain,yfxyg8jm46,0.0625,real_minus_control_regret,candidate_only_static,negative_favors_dynamic_real,-0.0006033199405693201,-0.0006050320129904228,-0.002748373630283774,0.0011526836257673206,0.2868,5000,20250826,0.7132
domain,ykhs7s2dck,0.0625,real_minus_control_regret,candidate_only_static,negative_favors_dynamic_real,-0.0003490002602245801,-0.00035131749447733687,-0.0015068892933877407,0.0006194955955302305,0.2642,5000,20250826,0.7358
equal_domain,__equal_domain__,0.0625,real_minus_control_regret,candidate_only_static,negative_favors_dynamic_real,-0.0007610425287363677,-0.0007637806936084305,-0.0013808825212930122,-0.0001841685663835396,0.0038,5000,20250826,0.9962
domain,74t7kcdgkr,0.09375,real_minus_control_regret,candidate_only_static,negative_favors_dynamic_real,0.0001016372198403958,0.00008995997674370821,-0.0008826293813920766,0.0010245287920575745,0.591,5000,20250826,0.409
domain,cgtnjyggtm,0.09375,real_minus_control_regret,candidate_only_static,negative_favors_dynamic_real,-0.0017132188545975636,-0.0017098264382375177,-0.0028363764668125967,-0.0006684381821769026,0.0,5000,20250826,1.0
domain,w68dtmpfyf,0.09375,real_minus_control_regret,candidate_only_static,negative_favors_dynamic_real,-0.0010822142885352597,-0.0010924460901319609,-0.0022977275072217605,0.00005588301519134026,0.0328,5000,20250826,0.9672
domain,xcmzfsbd9t,0.09375,real_minus_control_regret,candidate_only_static,negative_favors_dynamic_real,-0.0013501509208616973,-0.001350130604464303,-0.002774630575284975,-0.000018811382069742726,0.0238,5000,20250826,0.9762
domain,yfxyg8jm46,0.09375,real_minus_control_regret,candidate_only_static,negative_favors_dynamic_real,-0.0006567052854113756,-0.000656277157513397,-0.0027372454105104413,0.0010820766037580583,0.2626,5000,20250826,0.7374
domain,ykhs7s2dck,0.09375,real_minus_control_regret,candidate_only_static,negative_favors_dynamic_real,-0.000014325240612332937,-0.000013907932037628926,-0.0008451538466193217,0.0007473254147067464,0.493,5000,20250826,0.507
equal_domain,__equal_domain__,0.09375,real_minus_control_regret,candidate_only_static,negative_favors_dynamic_real,-0.0007858295616963055,-0.0007887713742735165,-0.0013300590489335501,-0.000277294583514404,0.0008,5000,20250826,0.9992
domain,74t7kcdgkr,0.125,real_minus_control_regret,candidate_only_static,negative_favors_dynamic_real,-0.0005303809226240852,-0.0005385315603961706,-0.0015067523722337,0.0002796603730149532,0.1188,5000,20250826,0.8812
domain,cgtnjyggtm,0.125,real_minus_control_regret,candidate_only_static,negative_favors_dynamic_real,-0.0013946308883415245,-0.001393628265200012,-0.0023673188339018306,-0.0004990670034395968,0.0002,5000,20250826,0.9998
domain,w68dtmpfyf,0.125,real_minus_control_regret,candidate_only_static,negative_favors_dynamic_real,-0.0004561107350944168,-0.0004678804133842343,-0.0016104468622110898,0.0005806978351166451,0.2014,5000,20250826,0.7986
domain,xcmzfsbd9t,0.125,real_minus_control_regret,candidate_only_static,negative_favors_dynamic_real,-0.0016385506839513807,-0.001633742288706017,-0.003072706609959483,-0.0002437055280119415,0.0134,5000,20250826,0.9866
domain,yfxyg8jm46,0.125,real_minus_control_regret,candidate_only_static,negative_favors_dynamic_real,-0.00045638638609200866,-0.0004535533496078176,-0.002272470060857516,0.0010982445657728129,0.3112,5000,20250826,0.6888
domain,ykhs7s2dck,0.125,real_minus_control_regret,candidate_only_static,negative_favors_dynamic_real,0.00015531948398076444,0.0001563090643156302,-0.0005705764411248794,0.0008515636510595649,0.673,5000,20250826,0.327
equal_domain,__equal_domain__,0.125,real_minus_control_regret,candidate_only_static,negative_favors_dynamic_real,-0.0007201233553537752,-0.0007218378021631034,-0.001212097656525571,-0.00025362449648809335,0.0012,5000,20250826,0.9988
domain,74t7kcdgkr,0.1875,real_minus_control_regret,candidate_only_static,negative_favors_dynamic_real,-0.0005006365159274419,-0.0005017637888442163,-0.0014730283362655837,0.00040997796827190006,0.1474,5000,20250826,0.8526
domain,cgtnjyggtm,0.1875,real_minus_control_regret,candidate_only_static,negative_favors_dynamic_real,-0.0008083031748021986,-0.000805664103360383,-0.0016428005318510329,-5.920398286022898e-6,0.0238,5000,20250826,0.9762
domain,w68dtmpfyf,0.1875,real_minus_control_regret,candidate_only_static,negative_favors_dynamic_real,-0.00019349224930496553,-0.0002006705801401529,-0.001201747656772893,0.0006687554258995084,0.343,5000,20250826,0.657
domain,xcmzfsbd9t,0.1875,real_minus_control_regret,candidate_only_static,negative_favors_dynamic_real,-0.001367322505899115,-0.0013531300607514834,-0.002723672632838083,-0.00004462655658350072,0.0206,5000,20250826,0.9794
domain,yfxyg8jm46,0.1875,real_minus_control_regret,candidate_only_static,negative_favors_dynamic_real,0.00012201330159128908,0.00011899357199175094,-0.0009406787473268403,0.0010621909474848971,0.6036,5000,20250826,0.3964
domain,ykhs7s2dck,0.1875,real_minus_control_regret,candidate_only_static,negative_favors_dynamic_real,0.0004974699735619623,0.0005022845376691015,-0.00041523214195183833,0.001322991726129995,0.8746,5000,20250826,0.1254
equal_domain,__equal_domain__,0.1875,real_minus_control_regret,candidate_only_static,negative_favors_dynamic_real,-0.00037504519513007823,-0.00037332507057256394,-0.0007893210523376906,0.0000305664090318183,0.0358,5000,20250826,0.9642
domain,74t7kcdgkr,0.03125,real_minus_control_regret,dynamic_positions_only,negative_favors_dynamic_real,0.000054793738349930704,0.00006016527946650608,-0.002664186971962587,0.002634325929946304,0.525,5000,20250826,0.475
domain,cgtnjyggtm,0.03125,real_minus_control_regret,dynamic_positions_only,negative_favors_dynamic_real,-0.001571425171069514,-0.0015884299447027745,-0.005317874779604196,0.0017214063242675418,0.1898,5000,20250826,0.8102
domain,w68dtmpfyf,0.03125,real_minus_control_regret,dynamic_positions_only,negative_favors_dynamic_real,-0.00016233346957668718,-0.000159246899999668,-0.001057515739295083,0.0007442070484335619,0.359,5000,20250826,0.641
domain,xcmzfsbd9t,0.03125,real_minus_control_regret,dynamic_positions_only,negative_favors_dynamic_real,-0.000865329245953398,-0.0008622586495043866,-0.0020507565969175075,0.00031971314376038983,0.0716,5000,20250826,0.9284
domain,yfxyg8jm46,0.03125,real_minus_control_regret,dynamic_positions_only,negative_favors_dynamic_real,0.00011279916880996624,0.00011103549690379864,-0.0006683796756966282,0.0008549932665736679,0.6244,5000,20250826,0.3756
domain,ykhs7s2dck,0.03125,real_minus_control_regret,dynamic_positions_only,negative_favors_dynamic_real,0.000012320774847337027,0.000012315846537397826,0.0,0.00003696232454201108,0.6364,5000,20250826,0.0
equal_domain,__equal_domain__,0.03125,real_minus_control_regret,dynamic_positions_only,negative_favors_dynamic_real,-0.0004031957007653942,-0.00040440314521652116,-0.0012250933947338446,0.00035719924036907994,0.1554,5000,20250826,0.8446
