dataset_id,learner,specimen_count,selected_pca_dimension,full_state_mae,initial_sparse_state_mae
74t7kcdgkr,huber,45,8,0.04994073008011,0.075061367950329
74t7kcdgkr,ridge,45,8,0.052003607090764,0.0772718773396
74t7kcdgkr,shallow_mlp,45,8,0.163471358427127,0.180224233517649
cgtnjyggtm,huber,49,32,0.12588223506033,0.154920887355738
cgtnjyggtm,ridge,49,32,0.124868499589889,0.141694770167672
cgtnjyggtm,shallow_mlp,49,32,0.14884195975722,0.180491251329726
w68dtmpfyf,huber,43,8,0.074483624995342,0.066671507297869
w68dtmpfyf,ridge,43,8,0.09660573834513,0.060166366205046
w68dtmpfyf,shallow_mlp,43,8,0.150406817676676,0.140682133839163
xcmzfsbd9t,huber,59,8,0.072632316527737,0.111943963809409
xcmzfsbd9t,ridge,59,8,0.075115127558762,0.092853522662889
xcmzfsbd9t,shallow_mlp,59,8,0.118118087837564,0.136904876939617
yfxyg8jm46,huber,42,8,0.132194447696078,0.191122595692584
yfxyg8jm46,ridge,42,8,0.127430743873502,0.18933026464125
yfxyg8jm46,shallow_mlp,42,8,0.127861672665671,0.171426599830579
ykhs7s2dck,huber,38,8,0.061973066303622,0.100062745740398
ykhs7s2dck,ridge,38,8,0.061791111487639,0.080931829491418
ykhs7s2dck,shallow_mlp,38,8,0.195342656855416,0.29600469267655
