outer_domain,specimen_id,nominal_checkpoint,feedback_exact_cost,feedback_effective_budget,feedback_cai_error,feedback_trajectory_count,no_feedback_exact_cost,no_feedback_effective_budget,no_feedback_cai_error,no_feedback_trajectory_count,feedback_benefit,exact_cost_difference
74t7kcdgkr,c8-10t,0.03125,14161,0.031126497417299,0.161229295975962,1,14161,0.031126497417299,0.161229295975962,1,0,0
74t7kcdgkr,c8-10t,0.0625,28431,0.062492581602374,0.162516632754453,1,28248,0.062090339597758,0.162479801265248,1,-0.000036831489205,-183
74t7kcdgkr,c8-10t,0.09375,42548,0.093522365095065,0.162581014304576,1,42148,0.092643147598637,0.162551993123901,1,-0.000029021180675,-400
74t7kcdgkr,c8-10t,0.125,56292,0.123732278272338,0.162200743221033,1,55964,0.123011319925267,0.162242442779255,1,0.000041699558222,-328
74t7kcdgkr,c8-10t,0.1875,84888,0.186587537091988,0.160853438251692,1,83819,0.184237828332784,0.160984956358028,1,0.000131518106336,-1069
74t7kcdgkr,c8-10t,0.25,112298,0.246835916034729,0.159190658337227,1,112949,0.248266842510166,0.159161088830098,1,-0.000029569507129,651
74t7kcdgkr,c8-11,0.03125,3720,0.031266810112964,0.188345760073496,1,3720,0.031266810112964,0.188345760073496,1,0,0
74t7kcdgkr,c8-11,0.0625,7060,0.059339698762776,0.188802502636806,1,7421,0.06237392415277,0.188616793828124,1,-0.000185708808682,361
74t7kcdgkr,c8-11,0.09375,11143,0.093657544378698,0.188449286782989,1,11126,0.093514658418505,0.188420024873627,1,-0.000029261909362,-17
74t7kcdgkr,c8-11,0.125,14506,0.121923749327595,0.187904063053163,1,14762,0.124075443786982,0.187919055100876,1,0.000014992047713,256
74t7kcdgkr,c8-11,0.1875,21994,0.184860812264658,0.186433959705505,1,22048,0.185314685314685,0.186359026214575,1,-0.00007493349093,54
74t7kcdgkr,c8-11,0.25,29578,0.248604760623991,0.184866254248833,1,29740,0.249966379774072,0.184635823399518,1,-0.000230430849315,162
74t7kcdgkr,c8-12,0.03125,3720,0.031266810112964,0.117059553884392,1,3720,0.031266810112964,0.117059553884392,1,0,0
74t7kcdgkr,c8-12,0.0625,7100,0.059675901022055,0.118965643632961,1,7273,0.061129975793437,0.119042569822471,1,0.00007692618951,173
74t7kcdgkr,c8-12,0.09375,11152,0.093733189887036,0.119887982225758,1,10985,0.092329545454545,0.119949020321885,1,0.000061038096127,-167
74t7kcdgkr,c8-12,0.125,14658,0.123201317912856,0.120254438157394,1,14588,0.122612963959118,0.120290440470009,1,0.000036002312615,-70
74t7kcdgkr,c8-12,0.1875,21960,0.184575040344271,0.120238215718612,1,22062,0.185432356105433,0.120216630379622,1,-0.00002158533899,102
74t7kcdgkr,c8-12,0.25,29708,0.249697417966649,0.119624892517822,1,29681,0.249470481441635,0.119636019532716,1,0.000011127014894,-27
74t7kcdgkr,c8-12t,0.03125,14161,0.031126497417299,0.073499719960091,1,14161,0.031126497417299,0.073499719960091,1,0,0
74t7kcdgkr,c8-12t,0.0625,28273,0.062145290691285,0.07259591747624,1,28273,0.062145290691285,0.07259591747624,1,0,0
74t7kcdgkr,c8-12t,0.09375,42275,0.092922299153753,0.072006185686837,1,42275,0.092922299153753,0.072006185686837,1,0,0
74t7kcdgkr,c8-12t,0.125,56373,0.123910319815364,0.071595128078912,1,56373,0.123910319815364,0.071622999111412,1,0.0000278710325,0
74t7kcdgkr,c8-12t,0.1875,84031,0.184703813605891,0.070967040185281,1,84269,0.185226948016266,0.070947139947105,1,-0.000019900238176,238
74t7kcdgkr,c8-12t,0.25,113275,0.248983404769755,0.070424758694971,1,113347,0.249141663919112,0.070403922289676,1,-0.000020836405295,72
74t7kcdgkr,c8-13,0.03125,3600,0.031326139923425,0.049384004949108,1,3600,0.031326139923425,0.049384004949108,1,0,0
