method,domain,specimen_count,mae,pearson,spearman
B0,74t7kcdgkr,45,0.052003607090763716,0.8771636951544716,0.7980237154150197
B0,cgtnjyggtm,49,0.12486849958988919,0.7180159156180785,0.8329591836734694
B0,w68dtmpfyf,43,0.09660573834513045,0.8556391208495827,0.8823618242222894
B0,xcmzfsbd9t,59,0.0751151275587624,0.9229579591361928,0.8670952659263589
B0,yfxyg8jm46,42,0.12743074387350148,0.9156574165559426,0.7510736569159712
B0,ykhs7s2dck,38,0.06179111148763879,0.60370924752367,0.5653791443265127
B1,74t7kcdgkr,45,0.10730196533448924,0.7008988135323831,0.680368906455863
B1,cgtnjyggtm,49,0.14134889338972872,0.6746893188864371,0.7772448979591837
B1,w68dtmpfyf,43,0.11112914241686603,0.6980766436693704,0.6967683479311386
B1,xcmzfsbd9t,59,0.10323398997104673,0.832988723720754,0.7687317358270017
B1,yfxyg8jm46,42,0.1717120104456665,0.8300877810827149,0.7855927396483268
B1,ykhs7s2dck,38,0.08973042337043909,0.569833769120668,0.6268738374001532
B2,74t7kcdgkr,45,0.10764539517263061,0.6575369464369234,0.6312252964426878
B2,cgtnjyggtm,49,0.13805536017437453,0.6142834249340821,0.7583673469387755
B2,w68dtmpfyf,43,0.10615791151866084,0.7740249930914522,0.8041377227423739
B2,xcmzfsbd9t,59,0.12498450432323528,0.7036124527606673,0.6846288720046756
B2,yfxyg8jm46,42,0.1662884933888912,0.8304199201068614,0.7591767279799044
B2,ykhs7s2dck,38,0.09989427826089724,0.5223669630875681,0.5933909618120145
B3,74t7kcdgkr,45,0.08877382523111707,0.7463664546121973,0.7096179183135705
B3,cgtnjyggtm,49,0.14858548400619534,0.6109246179157801,0.7230612244897959
B3,w68dtmpfyf,43,0.10796190689455082,0.7000103032780156,0.6813651464814255
B3,xcmzfsbd9t,59,0.13746506046429735,0.7418704275764909,0.6855639976621859
B3,yfxyg8jm46,42,0.16744578893100426,0.8291660391458374,0.7747346244226562
B3,ykhs7s2dck,38,0.09354135988110802,0.5643658640875806,0.6235912025385709
B4,74t7kcdgkr,45,0.055658078470571304,0.8625011737766078,0.7906455862977602
B4,cgtnjyggtm,49,0.13531684128569435,0.6664761901055346,0.7968367346938775
B4,w68dtmpfyf,43,0.09447493979571134,0.8450540470755262,0.8655995167623075
B4,xcmzfsbd9t,59,0.07569825541099282,0.9177513438854312,0.8658679135008767
B4,yfxyg8jm46,42,0.12950240295969215,0.9108190331781352,0.7436188315371526
B4,ykhs7s2dck,38,0.0638371675711171,0.5740270785368081,0.5351789035999562
R_coarse,74t7kcdgkr,45,0.1163119437684593,0.5976250774114689,0.5685111989459816
R_coarse,cgtnjyggtm,49,0.14365481809375552,0.6846339583322999,0.7875510204081633
R_coarse,w68dtmpfyf,43,0.09620937337159519,0.7070131733709271,0.7026578073089701
R_coarse,xcmzfsbd9t,59,0.10632650090494988,0.8474633932773925,0.7744593804792519
R_coarse,yfxyg8jm46,42,0.1691081945860747,0.826103374816653,0.7943440563973746
R_coarse,ykhs7s2dck,38,0.09899708273623191,0.5505660455645066,0.5999562315351789
S_R_coarse,74t7kcdgkr,45,0.1163119437684593,-0.16629003466784104,-0.18563899868247694
S_R_coarse,cgtnjyggtm,49,0.1436548180937555,0.19295898947439913,0.16244897959183674
S_R_coarse,w68dtmpfyf,43,0.09620937337159519,0.11781607754927936,0.13077620054364242
S_R_coarse,xcmzfsbd9t,59,0.1063265009049499,0.3448783284917999,0.3338983050847458
S_R_coarse,yfxyg8jm46,42,0.1691081945860747,0.17607905403292168,0.22988412608378575
S_R_coarse,ykhs7s2dck,38,0.09899708273623191,-0.38550197388840923,-0.37980085348506404
R_full,74t7kcdgkr,45,0.06112908487338343,0.8395495373701451,0.8023715415019763
R_full,cgtnjyggtm,49,0.12587121270758367,0.726168896536155,0.8353061224489796
R_full,w68dtmpfyf,43,0.08486989669720367,0.8511815711956922,0.8770764119601329
R_full,xcmzfsbd9t,59,0.08652479802874596,0.9131614562846684,0.8602571595558153
R_full,yfxyg8jm46,42,0.12353858888342523,0.9184591347146015,0.7821894498014748
R_full,ykhs7s2dck,38,0.07258415451052165,0.5792518658138197,0.5518109202319729
S_R_full,74t7kcdgkr,45,0.06112908487338343,-0.047758540579181524,-0.06811594202898551
S_R_full,cgtnjyggtm,49,0.12587121270758367,0.3509403389568276,0.20959183673469386
S_R_full,w68dtmpfyf,43,0.08486989669720367,-0.1059599331219655,-0.13258834189066748
S_R_full,xcmzfsbd9t,59,0.08652479802874596,0.13289644193583083,0.1146697837521917
