branch,outer_domain,specimen_id,dataset_id,target,baseline_prediction,residual,baseline_fit_domains,baseline_fit_specimen_ids
coarse,74t7kcdgkr,q24-1,cgtnjyggtm,0.742960592696336,0.6737399231157427,0.06922066958059325,"[""w68dtmpfyf"",""xcmzfsbd9t"",""yfxyg8jm46"",""ykhs7s2dck""]","[""q16-1"",""q16-2"",""q16-3"",""q16-4"",""q16-5"",""q16-6"",""q16-7"",""q16-8"",""q16-9"",""q16-10"",""q16-11"",""q16-12"",""q16-13"",""q16-14"",""q16-15"",""q16-16"",""q16-17"",""q16-18"",""q16-19"",""q16-20"",""q16-21"",""q16-22"",""q16-23"",""q16-24"",""q16-25"",""q16-26"",""q16-27"",""q16-28"",""q16-29"",""q16-30"",""q16-31"",""q16-32"",""q16-33"",""q16-34"",""q16-35"",""q16-36"",""q16-37"",""q16-38"",""q16-39"",""q16-40"",""q16-41"",""q16-42"",""q16-43"",""c24-2"",""c24-3"",""c24-5"",""c24-6"",""c24-6t"",""c24-7"",""c24-8"",""c24-8t"",""c24-9"",""c24-9t"",""c24-10"",""c24-10t"",""c24-11"",""c24-11t"",""c24-12"",""c24-12t"",""c24-13"",""c24-14"",""c24-15"",""c24-16"",""c24-17"",""c24-18"",""c24-20"",""c24-21"",""c24-24"",""c24-25"",""c24-26"",""c24-27"",""c24-28"",""c24-29"",""c24-30"",""c24-31"",""c24-32"",""c24-33"",""c24-34"",""c24-35"",""c24-36"",""c24-37"",""c24-39"",""c24-40"",""c24-41"",""c24-42"",""c24-43"",""c24-44"",""c24-45"",""c24-46"",""c24-47"",""c24-48"",""c24-49"",""c24-50"",""c24-51"",""c24-52"",""c24-53"",""c24-54"",""c24-55"",""c24-56"",""c24-57"",""c24-58"",""c24-59"",""c16-1"",""c16-2"",""c16-3"",""c16-4"",""c16-5"",""c16-6"",""c16-7"",""c16-8"",""c16-9"",""c16-10"",""c16-11"",""c16-12"",""c16-13"",""c16-14"",""c16-15"",""c16-16"",""c16-17"",""c16-18"",""c16-19"",""c16-20"",""c16-21"",""c16-22"",""c16-23"",""c16-24"",""c16-25"",""c16-26"",""c16-27"",""c16-28"",""c16-29"",""c16-30"",""c16-32"",""c16-33"",""c16-34"",""c16-35"",""c16-36"",""c16-37"",""c16-38"",""c16-39"",""c16-40"",""c16-41"",""c16-42"",""c16-43"",""q8-1"",""q8-2"",""q8-3"",""q8-4"",""q8-5"",""q8-6"",""q8-7"",""q8-8"",""q8-9"",""q8-10"",""q8-11"",""q8-12"",""q8-13"",""q8-14"",""q8-15"",""q8-16"",""q8-18"",""q8-19"",""q8-20"",""q8-21"",""q8-22"",""q8-23"",""q8-24"",""q8-27"",""q8-28"",""q8-29"",""q8-30"",""q8-31"",""q8-32"",""q8-33"",""q8-34"",""q8-35"",""q8-36"",""q8-37"",""q8-38"",""q8-39"",""q8-40"",""q8-41""]"
coarse,74t7kcdgkr,q24-2,cgtnjyggtm,0.759191095742317,0.7273121630438616,0.03187893269845543,"[""w68dtmpfyf"",""xcmzfsbd9t"",""yfxyg8jm46"",""ykhs7s2dck""]","[""q16-1"",""q16-2"",""q16-3"",""q16-4"",""q16-5"",""q16-6"",""q16-7"",""q16-8"",""q16-9"",""q16-10"",""q16-11"",""q16-12"",""q16-13"",""q16-14"",""q16-15"",""q16-16"",""q16-17"",""q16-18"",""q16-19"",""q16-20"",""q16-21"",""q16-22"",""q16-23"",""q16-24"",""q16-25"",""q16-26"",""q16-27"",""q16-28"",""q16-29"",""q16-30"",""q16-31"",""q16-32"",""q16-33"",""q16-34"",""q16-35"",""q16-36"",""q16-37"",""q16-38"",""q16-39"",""q16-40"",""q16-41"",""q16-42"",""q16-43"",""c24-2"",""c24-3"",""c24-5"",""c24-6"",""c24-6t"",""c24-7"",""c24-8"",""c24-8t"",""c24-9"",""c24-9t"",""c24-10"",""c24-10t"",""c24-11"",""c24-11t"",""c24-12"",""c24-12t"",""c24-13"",""c24-14"",""c24-15"",""c24-16"",""c24-17"",""c24-18"",""c24-20"",""c24-21"",""c24-24"",""c24-25"",""c24-26"",""c24-27"",""c24-28"",""c24-29"",""c24-30"",""c24-31"",""c24-32"",""c24-33"",""c24-34"",""c24-35"",""c24-36"",""c24-37"",""c24-39"",""c24-40"",""c24-41"",""c24-42"",""c24-43"",""c24-44"",""c24-45"",""c24-46"",""c24-47"",""c24-48"",""c24-49"",""c24-50"",""c24-51"",""c24-52"",""c24-53"",""c24-54"",""c24-55"",""c24-56"",""c24-57"",""c24-58"",""c24-59"",""c16-1"",""c16-2"",""c16-3"",""c16-4"",""c16-5"",""c16-6"",""c16-7"",""c16-8"",""c16-9"",""c16-10"",""c16-11"",""c16-12"",""c16-13"",""c16-14"",""c16-15"",""c16-16"",""c16-17"",""c16-18"",""c16-19"",""c16-20"",""c16-21"",""c16-22"",""c16-23"",""c16-24"",""c16-25"",""c16-26"",""c16-27"",""c16-28"",""c16-29"",""c16-30"",""c16-32"",""c16-33"",""c16-34"",""c16-35"",""c16-36"",""c16-37"",""c16-38"",""c16-39"",""c16-40"",""c16-41"",""c16-42"",""c16-43"",""q8-1"",""q8-2"",""q8-3"",""q8-4"",""q8-5"",""q8-6"",""q8-7"",""q8-8"",""q8-9"",""q8-10"",""q8-11"",""q8-12"",""q8-13"",""q8-14"",""q8-15"",""q8-16"",""q8-18"",""q8-19"",""q8-20"",""q8-21"",""q8-22"",""q8-23"",""q8-24"",""q8-27"",""q8-28"",""q8-29"",""q8-30"",""q8-31"",""q8-32"",""q8-33"",""q8-34"",""q8-35"",""q8-36"",""q8-37"",""q8-38"",""q8-39"",""q8-40"",""q8-41""]"
coarse,74t7kcdgkr,q24-3,cgtnjyggtm,0.719269391146043,0.745590768701613,-0.026321377555569958,"[""w68dtmpfyf"",""xcmzfsbd9t"",""yfxyg8jm46"",""ykhs7s2dck""]","[""q16-1"",""q16-2"",""q16-3"",""q16-4"",""q16-5"",""q16-6"",""q16-7"",""q16-8"",""q16-9"",""q16-10"",""q16-11"",""q16-12"",""q16-13"",""q16-14"",""q16-15"",""q16-16"",""q16-17"",""q16-18"",""q16-19"",""q16-20"",""q16-21"",""q16-22"",""q16-23"",""q16-24"",""q16-25"",""q16-26"",""q16-27"",""q16-28"",""q16-29"",""q16-30"",""q16-31"",""q16-32"",""q16-33"",""q16-34"",""q16-35"",""q16-36"",""q16-37"",""q16-38"",""q16-39"",""q16-40"",""q16-41"",""q16-42"",""q16-43"",""c24-2"",""c24-3"",""c24-5"",""c24-6"",""c24-6t"",""c24-7"",""c24-8"",""c24-8t"",""c24-9"",""c24-9t"",""c24-10"",""c24-10t"",""c24-11"",""c24-11t"",""c24-12"",""c24-12t"",""c24-13"",""c24-14"",""c24-15"",""c24-16"",""c24-17"",""c24-18"",""c24-20"",""c24-21"",""c24-24"",""c24-25"",""c24-26"",""c24-27"",""c24-28"",""c24-29"",""c24-30"",""c24-31"",""c24-32"",""c24-33"",""c24-34"",""c24-35"",""c24-36"",""c24-37"",""c24-39"",""c24-40"",""c24-41"",""c24-42"",""c24-43"",""c24-44"",""c24-45"",""c24-46"",""c24-47"",""c24-48"",""c24-49"",""c24-50"",""c24-51"",""c24-52"",""c24-53"",""c24-54"",""c24-55"",""c24-56"",""c24-57"",""c24-58"",""c24-59"",""c16-1"",""c16-2"",""c16-3"",""c16-4"",""c16-5"",""c16-6"",""c16-7"",""c16-8"",""c16-9"",""c16-10"",""c16-11"",""c16-12"",""c16-13"",""c16-14"",""c16-15"",""c16-16"",""c16-17"",""c16-18"",""c16-19"",""c16-20"",""c16-21"",""c16-22"",""c16-23"",""c16-24"",""c16-25"",""c16-26"",""c16-27"",""c16-28"",""c16-29"",""c16-30"",""c16-32"",""c16-33"",""c16-34"",""c16-35"",""c16-36"",""c16-37"",""c16-38"",""c16-39"",""c16-40"",""c16-41"",""c16-42"",""c16-43"",""q8-1"",""q8-2"",""q8-3"",""q8-4"",""q8-5"",""q8-6"",""q8-7"",""q8-8"",""q8-9"",""q8-10"",""q8-11"",""q8-12"",""q8-13"",""q8-14"",""q8-15"",""q8-16"",""q8-18"",""q8-19"",""q8-20"",""q8-21"",""q8-22"",""q8-23"",""q8-24"",""q8-27"",""q8-28"",""q8-29"",""q8-30"",""q8-31"",""q8-32"",""q8-33"",""q8-34"",""q8-35"",""q8-36"",""q8-37"",""q8-38"",""q8-39"",""q8-40"",""q8-41""]"
coarse,74t7kcdgkr,q24-4,cgtnjyggtm,0.839076506575868,0.8671290804673359,-0.02805257389146798,"[""w68dtmpfyf"",""xcmzfsbd9t"",""yfxyg8jm46"",""ykhs7s2dck""]","[""q16-1"",""q16-2"",""q16-3"",""q16-4"",""q16-5"",""q16-6"",""q16-7"",""q16-8"",""q16-9"",""q16-10"",""q16-11"",""q16-12"",""q16-13"",""q16-14"",""q16-15"",""q16-16"",""q16-17"",""q16-18"",""q16-19"",""q16-20"",""q16-21"",""q16-22"",""q16-23"",""q16-24"",""q16-25"",""q16-26"",""q16-27"",""q16-28"",""q16-29"",""q16-30"",""q16-31"",""q16-32"",""q16-33"",""q16-34"",""q16-35"",""q16-36"",""q16-37"",""q16-38"",""q16-39"",""q16-40"",""q16-41"",""q16-42"",""q16-43"",""c24-2"",""c24-3"",""c24-5"",""c24-6"",""c24-6t"",""c24-7"",""c24-8"",""c24-8t"",""c24-9"",""c24-9t"",""c24-10"",""c24-10t"",""c24-11"",""c24-11t"",""c24-12"",""c24-12t"",""c24-13"",""c24-14"",""c24-15"",""c24-16"",""c24-17"",""c24-18"",""c24-20"",""c24-21"",""c24-24"",""c24-25"",""c24-26"",""c24-27"",""c24-28"",""c24-29"",""c24-30"",""c24-31"",""c24-32"",""c24-33"",""c24-34"",""c24-35"",""c24-36"",""c24-37"",""c24-39"",""c24-40"",""c24-41"",""c24-42"",""c24-43"",""c24-44"",""c24-45"",""c24-46"",""c24-47"",""c24-48"",""c24-49"",""c24-50"",""c24-51"",""c24-52"",""c24-53"",""c24-54"",""c24-55"",""c24-56"",""c24-57"",""c24-58"",""c24-59"",""c16-1"",""c16-2"",""c16-3"",""c16-4"",""c16-5"",""c16-6"",""c16-7"",""c16-8"",""c16-9"",""c16-10"",""c16-11"",""c16-12"",""c16-13"",""c16-14"",""c16-15"",""c16-16"",""c16-17"",""c16-18"",""c16-19"",""c16-20"",""c16-21"",""c16-22"",""c16-23"",""c16-24"",""c16-25"",""c16-26"",""c16-27"",""c16-28"",""c16-29"",""c16-30"",""c16-32"",""c16-33"",""c16-34"",""c16-35"",""c16-36"",""c16-37"",""c16-38"",""c16-39"",""c16-40"",""c16-41"",""c16-42"",""c16-43"",""q8-1"",""q8-2"",""q8-3"",""q8-4"",""q8-5"",""q8-6"",""q8-7"",""q8-8"",""q8-9"",""q8-10"",""q8-11"",""q8-12"",""q8-13"",""q8-14"",""q8-15"",""q8-16"",""q8-18"",""q8-19"",""q8-20"",""q8-21"",""q8-22"",""q8-23"",""q8-24"",""q8-27"",""q8-28"",""q8-29"",""q8-30"",""q8-31"",""q8-32"",""q8-33"",""q8-34"",""q8-35"",""q8-36"",""q8-37"",""q8-38"",""q8-39"",""q8-40"",""q8-41""]"
coarse,74t7kcdgkr,q24-5,cgtnjyggtm,0.814186916322779,0.9468733551774271,-0.13268643885464815,"[""w68dtmpfyf"",""xcmzfsbd9t"",""yfxyg8jm46"",""ykhs7s2dck""]","[""q16-1"",""q16-2"",""q16-3"",""q16-4"",""q16-5"",""q16-6"",""q16-7"",""q16-8"",""q16-9"",""q16-10"",""q16-11"",""q16-12"",""q16-13"",""q16-14"",""q16-15"",""q16-16"",""q16-17"",""q16-18"",""q16-19"",""q16-20"",""q16-21"",""q16-22"",""q16-23"",""q16-24"",""q16-25"",""q16-26"",""q16-27"",""q16-28"",""q16-29"",""q16-30"",""q16-31"",""q16-32"",""q16-33"",""q16-34"",""q16-35"",""q16-36"",""q16-37"",""q16-38"",""q16-39"",""q16-40"",""q16-41"",""q16-42"",""q16-43"",""c24-2"",""c24-3"",""c24-5"",""c24-6"",""c24-6t"",""c24-7"",""c24-8"",""c24-8t"",""c24-9"",""c24-9t"",""c24-10"",""c24-10t"",""c24-11"",""c24-11t"",""c24-12"",""c24-12t"",""c24-13"",""c24-14"",""c24-15"",""c24-16"",""c24-17"",""c24-18"",""c24-20"",""c24-21"",""c24-24"",""c24-25"",""c24-26"",""c24-27"",""c24-28"",""c24-29"",""c24-30"",""c24-31"",""c24-32"",""c24-33"",""c24-34"",""c24-35"",""c24-36"",""c24-37"",""c24-39"",""c24-40"",""c24-41"",""c24-42"",""c24-43"",""c24-44"",""c24-45"",""c24-46"",""c24-47"",""c24-48"",""c24-49"",""c24-50"",""c24-51"",""c24-52"",""c24-53"",""c24-54"",""c24-55"",""c24-56"",""c24-57"",""c24-58"",""c24-59"",""c16-1"",""c16-2"",""c16-3"",""c16-4"",""c16-5"",""c16-6"",""c16-7"",""c16-8"",""c16-9"",""c16-10"",""c16-11"",""c16-12"",""c16-13"",""c16-14"",""c16-15"",""c16-16"",""c16-17"",""c16-18"",""c16-19"",""c16-20"",""c16-21"",""c16-22"",""c16-23"",""c16-24"",""c16-25"",""c16-26"",""c16-27"",""c16-28"",""c16-29"",""c16-30"",""c16-32"",""c16-33"",""c16-34"",""c16-35"",""c16-36"",""c16-37"",""c16-38"",""c16-39"",""c16-40"",""c16-41"",""c16-42"",""c16-43"",""q8-1"",""q8-2"",""q8-3"",""q8-4"",""q8-5"",""q8-6"",""q8-7"",""q8-8"",""q8-9"",""q8-10"",""q8-11"",""q8-12"",""q8-13"",""q8-14"",""q8-15"",""q8-16"",""q8-18"",""q8-19"",""q8-20"",""q8-21"",""q8-22"",""q8-23"",""q8-24"",""q8-27"",""q8-28"",""q8-29"",""q8-30"",""q8-31"",""q8-32"",""q8-33"",""q8-34"",""q8-35"",""q8-36"",""q8-37"",""q8-38"",""q8-39"",""q8-40"",""q8-41""]"
coarse,74t7kcdgkr,q24-6,cgtnjyggtm,0.803035164810484,0.8647433586827076,-0.06170819387222359,"[""w68dtmpfyf"",""xcmzfsbd9t"",""yfxyg8jm46"",""ykhs7s2dck""]","[""q16-1"",""q16-2"",""q16-3"",""q16-4"",""q16-5"",""q16-6"",""q16-7"",""q16-8"",""q16-9"",""q16-10"",""q16-11"",""q16-12"",""q16-13"",""q16-14"",""q16-15"",""q16-16"",""q16-17"",""q16-18"",""q16-19"",""q16-20"",""q16-21"",""q16-22"",""q16-23"",""q16-24"",""q16-25"",""q16-26"",""q16-27"",""q16-28"",""q16-29"",""q16-30"",""q16-31"",""q16-32"",""q16-33"",""q16-34"",""q16-35"",""q16-36"",""q16-37"",""q16-38"",""q16-39"",""q16-40"",""q16-41"",""q16-42"",""q16-43"",""c24-2"",""c24-3"",""c24-5"",""c24-6"",""c24-6t"",""c24-7"",""c24-8"",""c24-8t"",""c24-9"",""c24-9t"",""c24-10"",""c24-10t"",""c24-11"",""c24-11t"",""c24-12"",""c24-12t"",""c24-13"",""c24-14"",""c24-15"",""c24-16"",""c24-17"",""c24-18"",""c24-20"",""c24-21"",""c24-24"",""c24-25"",""c24-26"",""c24-27"",""c24-28"",""c24-29"",""c24-30"",""c24-31"",""c24-32"",""c24-33"",""c24-34"",""c24-35"",""c24-36"",""c24-37"",""c24-39"",""c24-40"",""c24-41"",""c24-42"",""c24-43"",""c24-44"",""c24-45"",""c24-46"",""c24-47"",""c24-48"",""c24-49"",""c24-50"",""c24-51"",""c24-52"",""c24-53"",""c24-54"",""c24-55"",""c24-56"",""c24-57"",""c24-58"",""c24-59"",""c16-1"",""c16-2"",""c16-3"",""c16-4"",""c16-5"",""c16-6"",""c16-7"",""c16-8"",""c16-9"",""c16-10"",""c16-11"",""c16-12"",""c16-13"",""c16-14"",""c16-15"",""c16-16"",""c16-17"",""c16-18"",""c16-19"",""c16-20"",""c16-21"",""c16-22"",""c16-23"",""c16-24"",""c16-25"",""c16-26"",""c16-27"",""c16-28"",""c16-29"",""c16-30"",""c16-32"",""c16-33"",""c16-34"",""c16-35"",""c16-36"",""c16-37"",""c16-38"",""c16-39"",""c16-40"",""c16-41"",""c16-42"",""c16-43"",""q8-1"",""q8-2"",""q8-3"",""q8-4"",""q8-5"",""q8-6"",""q8-7"",""q8-8"",""q8-9"",""q8-10"",""q8-11"",""q8-12"",""q8-13"",""q8-14"",""q8-15"",""q8-16"",""q8-18"",""q8-19"",""q8-20"",""q8-21"",""q8-22"",""q8-23"",""q8-24"",""q8-27"",""q8-28"",""q8-29"",""q8-30"",""q8-31"",""q8-32"",""q8-33"",""q8-34"",""q8-35"",""q8-36"",""q8-37"",""q8-38"",""q8-39"",""q8-40"",""q8-41""]"
coarse,74t7kcdgkr,q24-7,cgtnjyggtm,0.623071851964371,0.4558700120239098,0.16720183994046117,"[""w68dtmpfyf"",""xcmzfsbd9t"",""yfxyg8jm46"",""ykhs7s2dck""]","[""q16-1"",""q16-2"",""q16-3"",""q16-4"",""q16-5"",""q16-6"",""q16-7"",""q16-8"",""q16-9"",""q16-10"",""q16-11"",""q16-12"",""q16-13"",""q16-14"",""q16-15"",""q16-16"",""q16-17"",""q16-18"",""q16-19"",""q16-20"",""q16-21"",""q16-22"",""q16-23"",""q16-24"",""q16-25"",""q16-26"",""q16-27"",""q16-28"",""q16-29"",""q16-30"",""q16-31"",""q16-32"",""q16-33"",""q16-34"",""q16-35"",""q16-36"",""q16-37"",""q16-38"",""q16-39"",""q16-40"",""q16-41"",""q16-42"",""q16-43"",""c24-2"",""c24-3"",""c24-5"",""c24-6"",""c24-6t"",""c24-7"",""c24-8"",""c24-8t"",""c24-9"",""c24-9t"",""c24-10"",""c24-10t"",""c24-11"",""c24-11t"",""c24-12"",""c24-12t"",""c24-13"",""c24-14"",""c24-15"",""c24-16"",""c24-17"",""c24-18"",""c24-20"",""c24-21"",""c24-24"",""c24-25"",""c24-26"",""c24-27"",""c24-28"",""c24-29"",""c24-30"",""c24-31"",""c24-32"",""c24-33"",""c24-34"",""c24-35"",""c24-36"",""c24-37"",""c24-39"",""c24-40"",""c24-41"",""c24-42"",""c24-43"",""c24-44"",""c24-45"",""c24-46"",""c24-47"",""c24-48"",""c24-49"",""c24-50"",""c24-51"",""c24-52"",""c24-53"",""c24-54"",""c24-55"",""c24-56"",""c24-57"",""c24-58"",""c24-59"",""c16-1"",""c16-2"",""c16-3"",""c16-4"",""c16-5"",""c16-6"",""c16-7"",""c16-8"",""c16-9"",""c16-10"",""c16-11"",""c16-12"",""c16-13"",""c16-14"",""c16-15"",""c16-16"",""c16-17"",""c16-18"",""c16-19"",""c16-20"",""c16-21"",""c16-22"",""c16-23"",""c16-24"",""c16-25"",""c16-26"",""c16-27"",""c16-28"",""c16-29"",""c16-30"",""c16-32"",""c16-33"",""c16-34"",""c16-35"",""c16-36"",""c16-37"",""c16-38"",""c16-39"",""c16-40"",""c16-41"",""c16-42"",""c16-43"",""q8-1"",""q8-2"",""q8-3"",""q8-4"",""q8-5"",""q8-6"",""q8-7"",""q8-8"",""q8-9"",""q8-10"",""q8-11"",""q8-12"",""q8-13"",""q8-14"",""q8-15"",""q8-16"",""q8-18"",""q8-19"",""q8-20"",""q8-21"",""q8-22"",""q8-23"",""q8-24"",""q8-27"",""q8-28"",""q8-29"",""q8-30"",""q8-31"",""q8-32"",""q8-33"",""q8-34"",""q8-35"",""q8-36"",""q8-37"",""q8-38"",""q8-39"",""q8-40"",""q8-41""]"
coarse,74t7kcdgkr,q24-8,cgtnjyggtm,0.606096191756573,0.663100080889609,-0.057003889133036,"[""w68dtmpfyf"",""xcmzfsbd9t"",""yfxyg8jm46"",""ykhs7s2dck""]","[""q16-1"",""q16-2"",""q16-3"",""q16-4"",""q16-5"",""q16-6"",""q16-7"",""q16-8"",""q16-9"",""q16-10"",""q16-11"",""q16-12"",""q16-13"",""q16-14"",""q16-15"",""q16-16"",""q16-17"",""q16-18"",""q16-19"",""q16-20"",""q16-21"",""q16-22"",""q16-23"",""q16-24"",""q16-25"",""q16-26"",""q16-27"",""q16-28"",""q16-29"",""q16-30"",""q16-31"",""q16-32"",""q16-33"",""q16-34"",""q16-35"",""q16-36"",""q16-37"",""q16-38"",""q16-39"",""q16-40"",""q16-41"",""q16-42"",""q16-43"",""c24-2"",""c24-3"",""c24-5"",""c24-6"",""c24-6t"",""c24-7"",""c24-8"",""c24-8t"",""c24-9"",""c24-9t"",""c24-10"",""c24-10t"",""c24-11"",""c24-11t"",""c24-12"",""c24-12t"",""c24-13"",""c24-14"",""c24-15"",""c24-16"",""c24-17"",""c24-18"",""c24-20"",""c24-21"",""c24-24"",""c24-25"",""c24-26"",""c24-27"",""c24-28"",""c24-29"",""c24-30"",""c24-31"",""c24-32"",""c24-33"",""c24-34"",""c24-35"",""c24-36"",""c24-37"",""c24-39"",""c24-40"",""c24-41"",""c24-42"",""c24-43"",""c24-44"",""c24-45"",""c24-46"",""c24-47"",""c24-48"",""c24-49"",""c24-50"",""c24-51"",""c24-52"",""c24-53"",""c24-54"",""c24-55"",""c24-56"",""c24-57"",""c24-58"",""c24-59"",""c16-1"",""c16-2"",""c16-3"",""c16-4"",""c16-5"",""c16-6"",""c16-7"",""c16-8"",""c16-9"",""c16-10"",""c16-11"",""c16-12"",""c16-13"",""c16-14"",""c16-15"",""c16-16"",""c16-17"",""c16-18"",""c16-19"",""c16-20"",""c16-21"",""c16-22"",""c16-23"",""c16-24"",""c16-25"",""c16-26"",""c16-27"",""c16-28"",""c16-29"",""c16-30"",""c16-32"",""c16-33"",""c16-34"",""c16-35"",""c16-36"",""c16-37"",""c16-38"",""c16-39"",""c16-40"",""c16-41"",""c16-42"",""c16-43"",""q8-1"",""q8-2"",""q8-3"",""q8-4"",""q8-5"",""q8-6"",""q8-7"",""q8-8"",""q8-9"",""q8-10"",""q8-11"",""q8-12"",""q8-13"",""q8-14"",""q8-15"",""q8-16"",""q8-18"",""q8-19"",""q8-20"",""q8-21"",""q8-22"",""q8-23"",""q8-24"",""q8-27"",""q8-28"",""q8-29"",""q8-30"",""q8-31"",""q8-32"",""q8-33"",""q8-34"",""q8-35"",""q8-36"",""q8-37"",""q8-38"",""q8-39"",""q8-40"",""q8-41""]"
coarse,74t7kcdgkr,q24-9,cgtnjyggtm,0.604575553589164,0.5763782223997584,0.028197331189405594,"[""w68dtmpfyf"",""xcmzfsbd9t"",""yfxyg8jm46"",""ykhs7s2dck""]","[""q16-1"",""q16-2"",""q16-3"",""q16-4"",""q16-5"",""q16-6"",""q16-7"",""q16-8"",""q16-9"",""q16-10"",""q16-11"",""q16-12"",""q16-13"",""q16-14"",""q16-15"",""q16-16"",""q16-17"",""q16-18"",""q16-19"",""q16-20"",""q16-21"",""q16-22"",""q16-23"",""q16-24"",""q16-25"",""q16-26"",""q16-27"",""q16-28"",""q16-29"",""q16-30"",""q16-31"",""q16-32"",""q16-33"",""q16-34"",""q16-35"",""q16-36"",""q16-37"",""q16-38"",""q16-39"",""q16-40"",""q16-41"",""q16-42"",""q16-43"",""c24-2"",""c24-3"",""c24-5"",""c24-6"",""c24-6t"",""c24-7"",""c24-8"",""c24-8t"",""c24-9"",""c24-9t"",""c24-10"",""c24-10t"",""c24-11"",""c24-11t"",""c24-12"",""c24-12t"",""c24-13"",""c24-14"",""c24-15"",""c24-16"",""c24-17"",""c24-18"",""c24-20"",""c24-21"",""c24-24"",""c24-25"",""c24-26"",""c24-27"",""c24-28"",""c24-29"",""c24-30"",""c24-31"",""c24-32"",""c24-33"",""c24-34"",""c24-35"",""c24-36"",""c24-37"",""c24-39"",""c24-40"",""c24-41"",""c24-42"",""c24-43"",""c24-44"",""c24-45"",""c24-46"",""c24-47"",""c24-48"",""c24-49"",""c24-50"",""c24-51"",""c24-52"",""c24-53"",""c24-54"",""c24-55"",""c24-56"",""c24-57"",""c24-58"",""c24-59"",""c16-1"",""c16-2"",""c16-3"",""c16-4"",""c16-5"",""c16-6"",""c16-7"",""c16-8"",""c16-9"",""c16-10"",""c16-11"",""c16-12"",""c16-13"",""c16-14"",""c16-15"",""c16-16"",""c16-17"",""c16-18"",""c16-19"",""c16-20"",""c16-21"",""c16-22"",""c16-23"",""c16-24"",""c16-25"",""c16-26"",""c16-27"",""c16-28"",""c16-29"",""c16-30"",""c16-32"",""c16-33"",""c16-34"",""c16-35"",""c16-36"",""c16-37"",""c16-38"",""c16-39"",""c16-40"",""c16-41"",""c16-42"",""c16-43"",""q8-1"",""q8-2"",""q8-3"",""q8-4"",""q8-5"",""q8-6"",""q8-7"",""q8-8"",""q8-9"",""q8-10"",""q8-11"",""q8-12"",""q8-13"",""q8-14"",""q8-15"",""q8-16"",""q8-18"",""q8-19"",""q8-20"",""q8-21"",""q8-22"",""q8-23"",""q8-24"",""q8-27"",""q8-28"",""q8-29"",""q8-30"",""q8-31"",""q8-32"",""q8-33"",""q8-34"",""q8-35"",""q8-36"",""q8-37"",""q8-38"",""q8-39"",""q8-40"",""q8-41""]"
coarse,74t7kcdgkr,q24-10,cgtnjyggtm,0.775675319636884,0.6584656186767192,0.11720970096016481,"[""w68dtmpfyf"",""xcmzfsbd9t"",""yfxyg8jm46"",""ykhs7s2dck""]","[""q16-1"",""q16-2"",""q16-3"",""q16-4"",""q16-5"",""q16-6"",""q16-7"",""q16-8"",""q16-9"",""q16-10"",""q16-11"",""q16-12"",""q16-13"",""q16-14"",""q16-15"",""q16-16"",""q16-17"",""q16-18"",""q16-19"",""q16-20"",""q16-21"",""q16-22"",""q16-23"",""q16-24"",""q16-25"",""q16-26"",""q16-27"",""q16-28"",""q16-29"",""q16-30"",""q16-31"",""q16-32"",""q16-33"",""q16-34"",""q16-35"",""q16-36"",""q16-37"",""q16-38"",""q16-39"",""q16-40"",""q16-41"",""q16-42"",""q16-43"",""c24-2"",""c24-3"",""c24-5"",""c24-6"",""c24-6t"",""c24-7"",""c24-8"",""c24-8t"",""c24-9"",""c24-9t"",""c24-10"",""c24-10t"",""c24-11"",""c24-11t"",""c24-12"",""c24-12t"",""c24-13"",""c24-14"",""c24-15"",""c24-16"",""c24-17"",""c24-18"",""c24-20"",""c24-21"",""c24-24"",""c24-25"",""c24-26"",""c24-27"",""c24-28"",""c24-29"",""c24-30"",""c24-31"",""c24-32"",""c24-33"",""c24-34"",""c24-35"",""c24-36"",""c24-37"",""c24-39"",""c24-40"",""c24-41"",""c24-42"",""c24-43"",""c24-44"",""c24-45"",""c24-46"",""c24-47"",""c24-48"",""c24-49"",""c24-50"",""c24-51"",""c24-52"",""c24-53"",""c24-54"",""c24-55"",""c24-56"",""c24-57"",""c24-58"",""c24-59"",""c16-1"",""c16-2"",""c16-3"",""c16-4"",""c16-5"",""c16-6"",""c16-7"",""c16-8"",""c16-9"",""c16-10"",""c16-11"",""c16-12"",""c16-13"",""c16-14"",""c16-15"",""c16-16"",""c16-17"",""c16-18"",""c16-19"",""c16-20"",""c16-21"",""c16-22"",""c16-23"",""c16-24"",""c16-25"",""c16-26"",""c16-27"",""c16-28"",""c16-29"",""c16-30"",""c16-32"",""c16-33"",""c16-34"",""c16-35"",""c16-36"",""c16-37"",""c16-38"",""c16-39"",""c16-40"",""c16-41"",""c16-42"",""c16-43"",""q8-1"",""q8-2"",""q8-3"",""q8-4"",""q8-5"",""q8-6"",""q8-7"",""q8-8"",""q8-9"",""q8-10"",""q8-11"",""q8-12"",""q8-13"",""q8-14"",""q8-15"",""q8-16"",""q8-18"",""q8-19"",""q8-20"",""q8-21"",""q8-22"",""q8-23"",""q8-24"",""q8-27"",""q8-28"",""q8-29"",""q8-30"",""q8-31"",""q8-32"",""q8-33"",""q8-34"",""q8-35"",""q8-36"",""q8-37"",""q8-38"",""q8-39"",""q8-40"",""q8-41""]"
