effect,estimate,low,high,seed,resamples,draw_sha256
B1_minus_B3,-0.003219500080006092,-0.017082724176540172,0.00852163046851564,20260822,100000,53f32d8f02516b76ce9cb95b6f8db82108eec2131f52441ae55151a4a8c54270
B2_minus_B3,-0.0001245804282638587,-0.008163775143961464,0.008546701471732662,20260822,100000,53f32d8f02516b76ce9cb95b6f8db82108eec2131f52441ae55151a4a8c54270
B0_minus_B4,-0.002778809591348838,-0.006255305904309125,1.3856221671443522e-05,20260822,100000,53f32d8f02516b76ce9cb95b6f8db82108eec2131f52441ae55151a4a8c54270
B1_minus_R_coarse,-0.0010252480888050322,-0.006991951872909285,0.006007869976234578,20260822,100000,53f32d8f02516b76ce9cb95b6f8db82108eec2131f52441ae55151a4a8c54270
B0_minus_R_full,-0.0027838179591962637,-0.009088936314341172,0.004447882724363091,20260822,100000,53f32d8f02516b76ce9cb95b6f8db82108eec2131f52441ae55151a4a8c54270
B1_minus_P3_20260831,-0.0026153469357857867,-0.0058692883848469974,0.001168054922091458,20260822,100000,53f32d8f02516b76ce9cb95b6f8db82108eec2131f52441ae55151a4a8c54270
real_minus_P3_20260831,0.0015900988469807545,-0.0019853502199125897,0.005432658110165259,20260822,100000,53f32d8f02516b76ce9cb95b6f8db82108eec2131f52441ae55151a4a8c54270
B1_minus_P3_20260901,-0.00037643529675638704,-0.002449518291898554,0.0019713290774021827,20260822,100000,53f32d8f02516b76ce9cb95b6f8db82108eec2131f52441ae55151a4a8c54270
real_minus_P3_20260901,-0.0006488127920486452,-0.006103129999911844,0.004865978166227814,20260822,100000,53f32d8f02516b76ce9cb95b6f8db82108eec2131f52441ae55151a4a8c54270
B1_minus_P3_20260902,-0.0012327459486752013,-0.0038951557111947446,0.0023854676913304764,20260822,100000,53f32d8f02516b76ce9cb95b6f8db82108eec2131f52441ae55151a4a8c54270
real_minus_P3_20260902,0.00020749785987016905,-0.004386386502670009,0.004636094483242728,20260822,100000,53f32d8f02516b76ce9cb95b6f8db82108eec2131f52441ae55151a4a8c54270
