axis,outer_group,condition_id,selected_pca_dimension,source_equal_group_mae,dimension_scores_json
sampling,74t7kcdgkr,sampling:density=1,8,0.10599143059440752,"[[8,0.10599143059440752],[16,0.1081246521323382],[32,0.1137477960688634]]"
sampling,74t7kcdgkr,sampling:density=0.75,8,0.10608213110558892,"[[8,0.10608213110558892],[16,0.10885279313453478],[32,0.1133092069407475]]"
sampling,74t7kcdgkr,sampling:density=0.625,8,0.10815816811134946,"[[8,0.10815816811134946],[16,0.10954044388906214],[32,0.11388547997284934]]"
sampling,74t7kcdgkr,sampling:density=0.5,8,0.10999531156331528,"[[8,0.10999531156331528],[16,0.11273578044098062],[32,0.11727897771745763]]"
sampling,74t7kcdgkr,sampling:density=0.375,8,0.10871581207182594,"[[8,0.10871581207182594],[16,0.11349109992566493],[32,0.11828412416418069]]"
sampling,74t7kcdgkr,sampling:density=0.25,8,0.10558269281194135,"[[8,0.10558269281194135],[16,0.11238391629119164],[32,0.11814410710844576]]"
sampling,74t7kcdgkr,sampling:density=0.1875,8,0.10687154451119682,"[[8,0.10687154451119682],[16,0.11089212298035603],[32,0.1168254286066546]]"
sampling,74t7kcdgkr,sampling:density=0.125,8,0.10883120495228508,"[[8,0.10883120495228508],[16,0.11293722985830443],[32,0.12029036372703808]]"
sampling,74t7kcdgkr,sampling:density=0.0625,8,0.11049927004250817,"[[8,0.11049927004250817],[16,0.11702842226226899],[32,0.1253341686869403]]"
sampling,cgtnjyggtm,sampling:density=1,32,0.07848914726964269,"[[8,0.08166414414961753],[16,0.08102925403387273],[32,0.07848914726964269]]"
sampling,cgtnjyggtm,sampling:density=0.75,32,0.07885068321977831,"[[8,0.081354926420148],[16,0.08048255846988167],[32,0.07885068321977831]]"
sampling,cgtnjyggtm,sampling:density=0.625,32,0.07974275951196878,"[[8,0.08396414895570789],[16,0.0834246481412109],[32,0.07974275951196878]]"
sampling,cgtnjyggtm,sampling:density=0.5,32,0.07827526311038104,"[[8,0.08359373330056133],[16,0.08128696339605339],[32,0.07827526311038104]]"
sampling,cgtnjyggtm,sampling:density=0.375,32,0.08070890890831973,"[[8,0.08759826769997853],[16,0.08095151983063875],[32,0.08070890890831973]]"
sampling,cgtnjyggtm,sampling:density=0.25,32,0.0826392143486783,"[[8,0.08516489810143338],[16,0.08307602743179814],[32,0.0826392143486783]]"
sampling,cgtnjyggtm,sampling:density=0.1875,16,0.08097112649629964,"[[8,0.08534477222807677],[16,0.08097112649629964],[32,0.08368353913482948]]"
sampling,cgtnjyggtm,sampling:density=0.125,32,0.08423759219206658,"[[8,0.08639402892733476],[16,0.08741927307511528],[32,0.08423759219206658]]"
sampling,cgtnjyggtm,sampling:density=0.0625,8,0.09248851955887563,"[[8,0.09248851955887563],[16,0.09297602326832335],[32,0.09344923800128839]]"
