method,domain,mae,mae_mpa
full,74t7kcdgkr,0.052003607090763716,14.42641852438572
full,cgtnjyggtm,0.12486849958988919,54.15677002658734
full,w68dtmpfyf,0.09660573834513045,38.013271150345425
full,xcmzfsbd9t,0.07511512755876237,39.6648222403463
full,yfxyg8jm46,0.1274307438735015,61.165629048865455
full,ykhs7s2dck,0.06179111148763878,16.13823697543915
bilinear_50,74t7kcdgkr,0.051842501614072625,14.381725950863661
bilinear_50,cgtnjyggtm,0.13040575293423998,56.558334527913644
bilinear_50,w68dtmpfyf,0.09892212874336609,38.92474471088705
bilinear_50,xcmzfsbd9t,0.07953266323366459,41.997518369342544
bilinear_50,yfxyg8jm46,0.12815006464119583,61.51089664996814
bilinear_50,ykhs7s2dck,0.06368780865044542,16.633605120583127
bilinear_25,74t7kcdgkr,0.05168350924828841,14.337619579415579
bilinear_25,cgtnjyggtm,0.1287134288353459,55.82435592373989
bilinear_25,w68dtmpfyf,0.0973833853782284,38.319266508745415
bilinear_25,xcmzfsbd9t,0.0767516692559288,40.529004165035694
bilinear_25,yfxyg8jm46,0.13226041469369032,63.483828290557476
bilinear_25,ykhs7s2dck,0.060288970962966884,15.745916799058842
independent_equal_fusion,74t7kcdgkr,0.05123789388246482,14.214000582043958
independent_equal_fusion,cgtnjyggtm,0.12774768308983708,55.40550192601065
independent_equal_fusion,w68dtmpfyf,0.09753719363322771,38.379788326627114
independent_equal_fusion,xcmzfsbd9t,0.07637551140153019,40.330372612192235
independent_equal_fusion,yfxyg8jm46,0.12924226503555925,62.03514317116066
independent_equal_fusion,ykhs7s2dck,0.061622701435239326,16.09425263417653
validation_weighted,74t7kcdgkr,0.051361108593106546,14.248181806838152
validation_weighted,cgtnjyggtm,0.12847760327522198,55.72207591983202
validation_weighted,w68dtmpfyf,0.09707296800936097,38.197120766528954
validation_weighted,xcmzfsbd9t,0.07685545851556734,40.583810469275804
validation_weighted,yfxyg8jm46,0.13226041469369032,63.483828290557476
validation_weighted,ykhs7s2dck,0.06179111148763878,16.13823697543915
cooperative_selected,74t7kcdgkr,0.0581230243910001,16.12401759562892
cooperative_selected,cgtnjyggtm,0.12774768308983692,55.40550192601059
cooperative_selected,w68dtmpfyf,0.09814662529264469,38.61959282803527
cooperative_selected,xcmzfsbd9t,0.07606898608603367,40.16851078027532
cooperative_selected,yfxyg8jm46,0.13846740001477814,66.46312630076359
cooperative_selected,ykhs7s2dck,0.06487845829804677,16.944571952302248
