outer_domain,condition,selected_pca_dimension,inner_equal_domain_mae,predictor_state_sha256
74t7kcdgkr,FULL,8,0.10599143059440752,694e2cb77b49e30f184679203669c89ea2d2896a0f71687ef3f8fe689dc1f319
74t7kcdgkr,0.015625,8,0.10530372983148199,04b94be47c5c83472f84add62da2f14b74fefa950f93ae69587eabec5aea85f1
74t7kcdgkr,0.03125,8,0.11062977532001286,a6ee492d49c904509a101b9486917e0d0ead867652b25b2b42e74449a40d2abf
74t7kcdgkr,0.0625,8,0.10878894593850844,e40eafda42ca393342fb21c784f31f0f7fa845a24da0548e38940a8d374e181b
cgtnjyggtm,FULL,32,0.078489147269642678,59fbd99804b13127b4696faaa70c5f924f3cc202d6e170474eba22794aa317ad
cgtnjyggtm,0.015625,32,0.088934865418562645,35873855efb66f62e1bf8d9a6ffabb37985718541fcc3dc203a355b5314eae46
cgtnjyggtm,0.03125,32,0.096004440718255618,db32c132cb1e722bba37211ac1137ac9e51928054f92fb51a6a3c11cff2dfb1f
cgtnjyggtm,0.0625,32,0.09330780120168268,a2c9e99d8f902e33a48b8cc97a8f745e2e46290123174d19befe9085c17141cd
w68dtmpfyf,FULL,8,0.086881332969563643,04063e3ac0347d99138ac3a98d0376540eddd881d6d56026c28e7bfd58dd2dec
w68dtmpfyf,0.015625,16,0.093421697938877196,ac13d11d7bbc6461bb283ee6dfef2783eadf49c917b34733a36af762edc3f95e
w68dtmpfyf,0.03125,8,0.091493709217639024,efa38bdd20014f0465de67aba590f4955a9183511dff30ad0ea637baec387fe4
w68dtmpfyf,0.0625,8,0.091182220243206102,6515cfc204e4ee898188e096bd0029fe3f141a6b7c71ebd14a781c0b7c80057f
xcmzfsbd9t,FULL,8,0.098962279780669266,6732b4efb328c25b506b9aa134dc5b430792d69c378ac9cbb79dedde572576e0
xcmzfsbd9t,0.015625,8,0.10784974923534581,84e816909f5fed7f69cd97aa254028587b60ae83524cc420f526b52afc7efa80
xcmzfsbd9t,0.03125,16,0.10322902053568558,09f5df2f5d2306d2e3b35360e60175e69751788be2e151389f8ec94f652f9b1d
xcmzfsbd9t,0.0625,16,0.10197192282139769,8a97697c57f5a98d67f1680ad2f15188c987fff2bbe7611c2520b5593d37894d
yfxyg8jm46,FULL,8,0.086190774915898966,392f09b618357fba55dfc058009e45f584e450d91c6cc94f10a015d76bd391ad
yfxyg8jm46,0.015625,8,0.091279009439620806,4f18a84a2565035dbbfaebdfda70db65ac86bf047e4102c760d2623d3ce1e281
yfxyg8jm46,0.03125,16,0.086482569569650572,afabac87d31610936dbd42afa4d6198e4f2c062968408771fe35805a3405f066
yfxyg8jm46,0.0625,16,0.084799426568134204,93dc0519f1606713546718f8bba2ccc356f7ac24ed1db4c0b258255d7db9acd0
ykhs7s2dck,FULL,8,0.10175762849276,51fedd7abc6f48da3c12f62878189aa9176273c9a7184fbca7f89a596542bf9c
ykhs7s2dck,0.015625,8,0.10985877080427371,c662f985da20ae6d88de68660160fffbef9ce104aefff045879c00450bc433da
ykhs7s2dck,0.03125,8,0.11015914577261277,9033bbc8a0cbec9c2487d6df1e1b6693b77d864f6dcec191a99a83d6d850268b
ykhs7s2dck,0.0625,8,0.10790150939617313,47d5336162b4464cbf49b6bd95d6db7f6de7ad688b0a72a18f73b90f0bdc778c
