method,protocol,nominal_checkpoint,equal_domain_mae,mae_mean,mae_median,mae_q05,mae_q95,effective_mean,effective_min,effective_max,normalized_rgb_mse,ssim
uniform,P-B,0.03125,0.09838443694915028,,,,,0.03064659539250469,0.030500054951093526,0.03132613992342499,,
uniform,P-B,0.0625,0.0948415401772027,,,,,0.06068034670795466,0.05952522255192878,0.062457974717590105,,
uniform,P-B,0.09375,0.09587551896628616,,,,,0.09144043963190351,0.09100340696779866,0.09361551909628833,,
uniform,P-B,0.125,0.09461627653258498,,,,,0.12407154399110497,0.12242004615891856,0.12474765053950575,,
uniform,P-B,0.1875,0.09020137290363867,,,,,0.18555109500806002,0.18539180129684582,0.1866776888270101,,
uniform,P-B,0.25,0.09000720724583768,,,,,0.24716025429144586,0.2467831629849434,0.25,,
global_appearance_mask,P-B,0.03125,0.10591235839577669,,,,,0.03062251258630848,0.030224583109198493,0.03132613992342499,0.0012826081592112956,0.8937451633312264
global_appearance_mask,P-B,0.0625,0.10030170697605649,,,,,0.0601297110944899,0.0590702274975272,0.06084420387305003,0.0011022040628170633,0.9055543736282509
global_appearance_mask,P-B,0.09375,0.09588646852305628,,,,,0.09295868840272055,0.09001044204664115,0.09370040663809209,0.0009909026959886804,0.9162774701506607
global_appearance_mask,P-B,0.125,0.09608824624292138,,,,,0.12283548145596264,0.12199362567315089,0.12431078536847767,0.000906004678294171,0.925186513338423
global_appearance_mask,P-B,0.1875,0.09001915161208945,,,,,0.18530382729104863,0.1849829651610067,0.18668639053254438,0.0007859104506629295,0.9420676816941508
global_appearance_mask,P-B,0.25,0.0898656848941935,,,,,0.24721802986428085,0.24680953950983625,0.25,0.0006090579083103811,0.960643092701576
global_reconstruction_mask,P-B,0.03125,0.10390986946917798,,,,,0.030693964327733036,0.030583580613254203,0.03132613992342499,0.0012656495006900402,0.8940819779755881
global_reconstruction_mask,P-B,0.0625,0.1002021744624288,,,,,0.06041134930130478,0.05985712715683042,0.06133169714900484,0.0010216827622797394,0.9087812106700611
global_reconstruction_mask,P-B,0.09375,0.09492552964947511,,,,,0.09057869057777324,0.09014397186504011,0.09308214410024365,0.0008643970861418419,0.9206717846897171
global_reconstruction_mask,P-B,0.125,0.09457275556730489,,,,,0.12332981584008729,0.12118865297598329,0.12449530107901148,0.0007845954041414113,0.9297401111096182
global_reconstruction_mask,P-B,0.1875,0.08875812546024149,,,,,0.18564907776371323,0.1838774206562668,0.18738252697528715,0.0006603467010327988,0.9466832647430579
global_reconstruction_mask,P-B,0.25,0.08991751237798541,,,,,0.24723225243532007,0.2467831629849434,0.25,0.0006047579542676893,0.9607201992671194
global_mechanical_mask,P-B,0.03125,0.09993977933250185,,,,,0.030742169611695663,0.03051544125728102,0.03132613992342499,0.001531460527321245,0.8865490868854957
global_mechanical_mask,P-B,0.0625,0.09446366676153874,,,,,0.06078914843325978,0.05914549251653324,0.06205077481041873,0.0014214445490655211,0.8962714338264072
global_mechanical_mask,P-B,0.09375,0.09643250387049113,,,,,0.09142948600393325,0.09013298164633476,0.09369116460462615,0.0013179794833599542,0.9061581958852584
global_mechanical_mask,P-B,0.125,0.09848826022895428,,,,,0.12362657699842011,0.12101600322754169,0.12491298294465715,0.0011865790872264757,0.917156676126099
global_mechanical_mask,P-B,0.1875,0.0916940845767492,,,,,0.18585157637388713,0.18558083305857787,0.18687802582033353,0.0009134429875716706,0.9386103716455989
global_mechanical_mask,P-B,0.25,0.08965962475186105,,,,,0.2472083018994451,0.2467831629849434,0.25,0.0006300022435201655,0.9599255320369918
mechanical_oracle,P-B,0.03125,0.093774218832699,,,,,0.030760323170438406,0.03037476645785251,0.03132613992342499,,
mechanical_oracle,P-B,0.0625,0.07782275552753558,,,,,0.06119669188748313,0.059154194222067524,0.06249564914723286,,
mechanical_oracle,P-B,0.09375,0.06410688766351583,,,,,0.09212250219187586,0.09025408980160111,0.0937079747175901,,
mechanical_oracle,P-B,0.125,0.061092180373514555,,,,,0.12310957298316244,0.12143092647543687,0.12499395537971206,,
mechanical_oracle,P-B,0.1875,0.04990708920904868,,,,,0.185621323930972,0.18401362787119463,0.18749313111330915,,
mechanical_oracle,P-B,0.25,0.04551411025990809,,,,,0.24820384568227782,0.2464930212111221,0.24999890097812946,,
random_median,P-B,0.03125,0.09907711558669288,0.09923442692220656,0.09907711558669288,0.09810797483683201,0.10106258754975887,0.03077351250818639,0.03041433124519178,0.03132613992342499,,
random_median,P-B,0.0625,0.09488502159684802,0.09504749040817455,0.09488502159684802,0.0936513796239161,0.09719389417258842,0.061112095234898384,0.058875739644970414,0.06249564914723286,,
random_median,P-B,0.09375,0.0955205482818337,0.09556369726632209,0.0955205482818337,0.09357202824891153,0.09802215255586426,0.09180485095441208,0.09019317786286112,0.09375,,
random_median,P-B,0.125,0.09436754296661382,0.09447648401281938,0.09436754296661382,0.0925585366647234,0.09637084364255127,0.12292620819187532,0.12145510495658864,0.125,,
random_median,P-B,0.1875,0.09250571369805213,0.09282907627708933,0.09250571369805213,0.09005931296094054,0.0962833765099785,0.18597841267670268,0.18395428069018574,0.1874975272007913,,
random_median,P-B,0.25,0.09427199369127115,0.09465522902764688,0.09427199369127115,0.09170603848444857,0.09839304932018439,0.24844019504857748,0.2465150016485328,0.24999159494351803,,
uniform,P-A,0.03125,0.10749032548708574,,,,,0.03064659539250469,0.030500054951093526,0.03132613992342499,,
uniform,P-A,0.0625,0.10243077294576196,,,,,0.06068034670795466,0.05952522255192878,0.062457974717590105,,
uniform,P-A,0.09375,0.09879507584581933,,,,,0.09144043963190351,0.09100340696779866,0.09361551909628833,,
uniform,P-A,0.125,0.09718881147374882,,,,,0.12407154399110497,0.12242004615891856,0.12474765053950575,,
uniform,P-A,0.1875,0.0913586598133912,,,,,0.18555109500806002,0.18539180129684582,0.1866776888270101,,
uniform,P-A,0.25,0.08934291819469968,,,,,0.24716025429144586,0.2467831629849434,0.25,,
global_appearance_mask,P-A,0.03125,0.09932292624822174,,,,,0.03062251258630848,0.030224583109198493,0.03132613992342499,0.0012826081592112956,0.8937451633312264
global_appearance_mask,P-A,0.0625,0.09413774388006957,,,,,0.0601297110944899,0.0590702274975272,0.06084420387305003,0.0011022040628170633,0.9055543736282509
global_appearance_mask,P-A,0.09375,0.092420439254433,,,,,0.09295868840272055,0.09001044204664115,0.09370040663809209,0.0009909026959886804,0.9162774701506607
global_appearance_mask,P-A,0.125,0.09144351068161259,,,,,0.12283548145596264,0.12199362567315089,0.12431078536847767,0.000906004678294171,0.925186513338423
global_appearance_mask,P-A,0.1875,0.09025054679727688,,,,,0.18530382729104863,0.1849829651610067,0.18668639053254438,0.0007859104506629295,0.9420676816941508
global_appearance_mask,P-A,0.25,0.08918955790996913,,,,,0.24721802986428085,0.24680953950983625,0.25,0.0006090579083103811,0.960643092701576
global_reconstruction_mask,P-A,0.03125,0.097662731558611,,,,,0.030693964327733036,0.030583580613254203,0.03132613992342499,0.0012656495006900402,0.8940819779755881
global_reconstruction_mask,P-A,0.0625,0.09494299683349013,,,,,0.06041134930130478,0.05985712715683042,0.06133169714900484,0.0010216827622797394,0.9087812106700611
global_reconstruction_mask,P-A,0.09375,0.09464491303210709,,,,,0.09057869057777324,0.09014397186504011,0.09308214410024365,0.0008643970861418419,0.9206717846897171
global_reconstruction_mask,P-A,0.125,0.09318242231843249,,,,,0.12332981584008729,0.12118865297598329,0.12449530107901148,0.0007845954041414113,0.9297401111096182
global_reconstruction_mask,P-A,0.1875,0.0899970025012104,,,,,0.18564907776371323,0.1838774206562668,0.18738252697528715,0.0006603467010327988,0.9466832647430579
global_reconstruction_mask,P-A,0.25,0.0892659917880063,,,,,0.24723225243532007,0.2467831629849434,0.25,0.0006047579542676893,0.9607201992671194
global_mechanical_mask,P-A,0.03125,0.10703064899517896,,,,,0.030742169611695663,0.03051544125728102,0.03132613992342499,0.001531460527321245,0.8865490868854957
global_mechanical_mask,P-A,0.0625,0.10277474013446808,,,,,0.06078914843325978,0.05914549251653324,0.06205077481041873,0.0014214445490655211,0.8962714338264072
global_mechanical_mask,P-A,0.09375,0.10002469247711317,,,,,0.09142948600393325,0.09013298164633476,0.09369116460462615,0.0013179794833599542,0.9061581958852584
global_mechanical_mask,P-A,0.125,0.09885005456577815,,,,,0.12362657699842011,0.12101600322754169,0.12491298294465715,0.0011865790872264757,0.917156676126099
global_mechanical_mask,P-A,0.1875,0.09244402285960428,,,,,0.18585157637388713,0.18558083305857787,0.18687802582033353,0.0009134429875716706,0.9386103716455989
global_mechanical_mask,P-A,0.25,0.0890494317315753,,,,,0.2472083018994451,0.2467831629849434,0.25,0.0006300022435201655,0.9599255320369918
mechanical_oracle,P-A,0.03125,0.07076588615227884,,,,,0.030760323170438406,0.03037476645785251,0.03132613992342499,,
mechanical_oracle,P-A,0.0625,0.05191121397180141,,,,,0.06119669188748313,0.059154194222067524,0.06249564914723286,,
mechanical_oracle,P-A,0.09375,0.04524850594124503,,,,,0.09212250219187586,0.09025408980160111,0.0937079747175901,,
mechanical_oracle,P-A,0.125,0.041506475664532735,,,,,0.12310957298316244,0.12143092647543687,0.12499395537971206,,
mechanical_oracle,P-A,0.1875,0.03804477950541923,,,,,0.185621323930972,0.18401362787119463,0.18749313111330915,,
mechanical_oracle,P-A,0.25,0.03652433529577804,,,,,0.24820384568227782,0.2464930212111221,0.24999890097812946,,
random_median,P-A,0.03125,0.10539178139935598,0.105003951095372,0.10539178139935598,0.10217060192400762,0.10730430735723165,0.03077351250818639,0.03041433124519178,0.03132613992342499,,
random_median,P-A,0.0625,0.1027221903373468,0.10266695424188833,0.1027221903373468,0.0981621930439242,0.10631745864109966,0.061112095234898384,0.058875739644970414,0.06249564914723286,,
random_median,P-A,0.09375,0.10094930953930792,0.10098912912578095,0.10094930953930792,0.0964392969267803,0.10513847229090623,0.09180485095441208,0.09019317786286112,0.09375,,
random_median,P-A,0.125,0.09962983580074483,0.09963618721306722,0.09962983580074483,0.09488143473584174,0.10468612940027386,0.12292620819187532,0.12145510495658864,0.125,,
random_median,P-A,0.1875,0.09658909170078925,0.09690215280244305,0.09658909170078925,0.09337083645967822,0.10158538538015395,0.18597841267670268,0.18395428069018574,0.1874975272007913,,
random_median,P-A,0.25,0.09478370284357215,0.09521879547472928,0.09478370284357215,0.09211442863711623,0.09951327482938233,0.24844019504857748,0.2465150016485328,0.24999159494351803,,
