dataset_id,method,auebc,mae_0p125,b_5
74t7kcdgkr,uniform,0.010159913994099087,0.05213141500072992,0.0625
74t7kcdgkr,appearance_oracle,0.01082619813112504,0.056900567086042464,0.0625
74t7kcdgkr,reconstruction_oracle,0.009821115670797692,0.049308246325178315,0.0625
74t7kcdgkr,mechanical_oracle,0.006185735118673276,0.03827980824810873,0.0625
74t7kcdgkr,random_median,0.011030928618366333,0.057623237782668854,0.0625
cgtnjyggtm,uniform,0.024221554997891796,0.1329365545193173,
cgtnjyggtm,appearance_oracle,0.027860109914141257,0.15729850344630578,
cgtnjyggtm,reconstruction_oracle,0.024691541779386778,0.1366907683676486,
cgtnjyggtm,mechanical_oracle,0.017831261756011955,0.08981222070529196,0.09375
cgtnjyggtm,random_median,0.025917511763259203,0.14592571438398172,
w68dtmpfyf,uniform,0.018316679622120143,0.10423544487573261,0.1875
w68dtmpfyf,appearance_oracle,0.015215589015881947,0.08300372916510507,0.09375
w68dtmpfyf,reconstruction_oracle,0.016665060628474598,0.0950495960530896,0.1875
w68dtmpfyf,mechanical_oracle,0.00874309522671577,0.05732702080513896,0.0625
w68dtmpfyf,random_median,0.015115819886512553,0.08409726850114191,0.09375
xcmzfsbd9t,uniform,0.014433592583371598,0.07826474065944278,0.0625
xcmzfsbd9t,appearance_oracle,0.012641384640755622,0.06821324881604902,0.0625
xcmzfsbd9t,reconstruction_oracle,0.01418886863216312,0.07911254337757997,0.0625
xcmzfsbd9t,mechanical_oracle,0.008503898567353528,0.05783320842982655,0.0625
xcmzfsbd9t,random_median,0.013902022634792632,0.07422830004657072,0.0625
yfxyg8jm46,uniform,0.024944920072866385,0.13302197071271807,
yfxyg8jm46,appearance_oracle,0.026377154555014534,0.1291982166790876,
yfxyg8jm46,reconstruction_oracle,0.02487950509849328,0.12301493956494734,
yfxyg8jm46,mechanical_oracle,0.013943836934880865,0.07132232792547158,0.0625
yfxyg8jm46,random_median,0.02719616751440251,0.1362557019959611,
ykhs7s2dck,uniform,0.012104086899690975,0.06710753342756913,0.0625
ykhs7s2dck,appearance_oracle,0.013307074661443064,0.07066051546970026,0.0625
ykhs7s2dck,reconstruction_oracle,0.012948153330530884,0.07094090722869585,0.0625
ykhs7s2dck,mechanical_oracle,0.008539327021157275,0.05197849612724956,0.0625
ykhs7s2dck,random_median,0.012602989796343316,0.06745374799484011,0.0625
