nominal_checkpoint,equal_domain_mae,effective_mean,effective_min,effective_max,reconstruction_mse,ssim,method,protocol
0.03125,0.10316121536652582,0.03069112591741082,0.03037476645785251,0.03132613992342499,0.001217400341459878,0.8941167290030227,reconstruction_oracle,P-B
0.0625,0.09967726648316351,0.06144248767342161,0.059003496503496504,0.06246954403063,0.0009399693424676383,0.9054646165574295,reconstruction_oracle,P-B
0.09375,0.09305037147370175,0.09222264586565446,0.09031233189887036,0.0937079747175901,0.000786698507853654,0.9141746849378904,reconstruction_oracle,P-B
0.125,0.09235283348618994,0.12319138591684457,0.12169908781184746,0.12499159494351803,0.0006695520017308961,0.922521237377205,reconstruction_oracle,P-B
0.1875,0.08887659162093253,0.1854374336796771,0.1838905374216947,0.18749564914723285,0.0004978771423305463,0.9354105352185474,reconstruction_oracle,P-B
0.25,0.09119786922608038,0.248100605938566,0.24636113858665787,0.24999890097812946,0.00039162715477611816,0.9434068950291756,reconstruction_oracle,P-B
0.03125,0.09773717964912232,0.03069112591741082,0.03037476645785251,0.03132613992342499,0.0012174003414598782,0.8941167290030227,reconstruction_oracle,P-A
0.0625,0.09382364194322267,0.06144248767342161,0.059003496503496504,0.06246954403063,0.000939969342467638,0.9054646165574294,reconstruction_oracle,P-A
0.09375,0.09297281112659982,0.09222264586565444,0.09031233189887036,0.0937079747175901,0.0007866985078536542,0.9141746849378903,reconstruction_oracle,P-A
0.125,0.09250549769977562,0.12319138591684455,0.12169908781184746,0.12499159494351803,0.000669552001730896,0.9225212373772048,reconstruction_oracle,P-A
0.1875,0.09084868485908026,0.18543743367967705,0.1838905374216947,0.18749564914723285,0.0004978771423305464,0.9354105352185477,reconstruction_oracle,P-A
0.25,0.09056271656126212,0.248100605938566,0.24636113858665787,0.24999890097812946,0.0003916271547761181,0.9434068950291759,reconstruction_oracle,P-A
