specimen_id,dataset_id,initial_budget,cell_index,row,column,boundary_or_interior,native_height,native_width,native_count,added_measurements,added_fraction,grid_state_sha256,candidate_bank_state_sha256
c8-2,74t7kcdgkr,0.015625,0,0,0,boundary,338,340,114920,448,0.0038983640793595546,9f9ebc641c05f42ba2f509e907182fbe078c4a4a0f620818c85feb329e67e279,2b17097a85fdb41b4413fecfa7f5b141b2e132cc479adb127fceb28c2c444fc4
c8-2,74t7kcdgkr,0.015625,1,0,1,boundary,338,340,114920,448,0.0038983640793595546,9f9ebc641c05f42ba2f509e907182fbe078c4a4a0f620818c85feb329e67e279,2b17097a85fdb41b4413fecfa7f5b141b2e132cc479adb127fceb28c2c444fc4
c8-2,74t7kcdgkr,0.015625,2,0,2,boundary,338,340,114920,448,0.0038983640793595546,9f9ebc641c05f42ba2f509e907182fbe078c4a4a0f620818c85feb329e67e279,2b17097a85fdb41b4413fecfa7f5b141b2e132cc479adb127fceb28c2c444fc4
c8-2,74t7kcdgkr,0.015625,3,0,3,boundary,338,340,114920,448,0.0038983640793595546,9f9ebc641c05f42ba2f509e907182fbe078c4a4a0f620818c85feb329e67e279,2b17097a85fdb41b4413fecfa7f5b141b2e132cc479adb127fceb28c2c444fc4
c8-2,74t7kcdgkr,0.015625,4,0,4,boundary,338,340,114920,464,0.00403759136790811,9f9ebc641c05f42ba2f509e907182fbe078c4a4a0f620818c85feb329e67e279,2b17097a85fdb41b4413fecfa7f5b141b2e132cc479adb127fceb28c2c444fc4
c8-2,74t7kcdgkr,0.015625,5,0,5,boundary,338,340,114920,448,0.0038983640793595546,9f9ebc641c05f42ba2f509e907182fbe078c4a4a0f620818c85feb329e67e279,2b17097a85fdb41b4413fecfa7f5b141b2e132cc479adb127fceb28c2c444fc4
c8-2,74t7kcdgkr,0.015625,6,0,6,boundary,338,340,114920,448,0.0038983640793595546,9f9ebc641c05f42ba2f509e907182fbe078c4a4a0f620818c85feb329e67e279,2b17097a85fdb41b4413fecfa7f5b141b2e132cc479adb127fceb28c2c444fc4
c8-2,74t7kcdgkr,0.015625,7,0,7,boundary,338,340,114920,448,0.0038983640793595546,9f9ebc641c05f42ba2f509e907182fbe078c4a4a0f620818c85feb329e67e279,2b17097a85fdb41b4413fecfa7f5b141b2e132cc479adb127fceb28c2c444fc4
c8-2,74t7kcdgkr,0.015625,8,1,0,boundary,338,340,114920,448,0.0038983640793595546,9f9ebc641c05f42ba2f509e907182fbe078c4a4a0f620818c85feb329e67e279,2b17097a85fdb41b4413fecfa7f5b141b2e132cc479adb127fceb28c2c444fc4
c8-2,74t7kcdgkr,0.015625,9,1,1,interior,338,340,114920,448,0.0038983640793595546,9f9ebc641c05f42ba2f509e907182fbe078c4a4a0f620818c85feb329e67e279,2b17097a85fdb41b4413fecfa7f5b141b2e132cc479adb127fceb28c2c444fc4
c8-2,74t7kcdgkr,0.015625,10,1,2,interior,338,340,114920,448,0.0038983640793595546,9f9ebc641c05f42ba2f509e907182fbe078c4a4a0f620818c85feb329e67e279,2b17097a85fdb41b4413fecfa7f5b141b2e132cc479adb127fceb28c2c444fc4
c8-2,74t7kcdgkr,0.015625,11,1,3,interior,338,340,114920,448,0.0038983640793595546,9f9ebc641c05f42ba2f509e907182fbe078c4a4a0f620818c85feb329e67e279,2b17097a85fdb41b4413fecfa7f5b141b2e132cc479adb127fceb28c2c444fc4
c8-2,74t7kcdgkr,0.015625,12,1,4,interior,338,340,114920,464,0.00403759136790811,9f9ebc641c05f42ba2f509e907182fbe078c4a4a0f620818c85feb329e67e279,2b17097a85fdb41b4413fecfa7f5b141b2e132cc479adb127fceb28c2c444fc4
c8-2,74t7kcdgkr,0.015625,13,1,5,interior,338,340,114920,448,0.0038983640793595546,9f9ebc641c05f42ba2f509e907182fbe078c4a4a0f620818c85feb329e67e279,2b17097a85fdb41b4413fecfa7f5b141b2e132cc479adb127fceb28c2c444fc4
c8-2,74t7kcdgkr,0.015625,14,1,6,interior,338,340,114920,448,0.0038983640793595546,9f9ebc641c05f42ba2f509e907182fbe078c4a4a0f620818c85feb329e67e279,2b17097a85fdb41b4413fecfa7f5b141b2e132cc479adb127fceb28c2c444fc4
c8-2,74t7kcdgkr,0.015625,15,1,7,boundary,338,340,114920,448,0.0038983640793595546,9f9ebc641c05f42ba2f509e907182fbe078c4a4a0f620818c85feb329e67e279,2b17097a85fdb41b4413fecfa7f5b141b2e132cc479adb127fceb28c2c444fc4
