method,protocol,nominal_checkpoint,equal_domain_mae,mae_mean,mae_median,mae_q05,mae_q95,effective_mean,effective_min,effective_max
one_shot_reconstruction,P-A,0.03125,0.09750996487798656,,,,,0.03067545140190056,0.03037476645785251,0.03132613992342499
one_shot_reconstruction,P-A,0.0625,0.09330509749016398,,,,,0.06042972606268605,0.05927684360918782,0.06178557019903174
one_shot_reconstruction,P-A,0.09375,0.09234635357254795,,,,,0.09085882084106889,0.0901000109902187,0.09374656555665457
one_shot_reconstruction,P-A,0.125,0.0908733956914708,,,,,0.12343270167639057,0.12193215438407747,0.12495649147232858
one_shot_reconstruction,P-A,0.1875,0.08967549360333793,,,,,0.1857680268071303,0.18426640290141774,0.18746895263215738
one_shot_reconstruction,P-A,0.25,0.08924256384913204,,,,,0.24723949173282467,0.2467831629849434,0.25
one_shot_reconstruction,P-B,0.03125,0.10327354788261267,,,,,0.03067545140190056,0.03037476645785251,0.03132613992342499
one_shot_reconstruction,P-B,0.0625,0.09865412480525183,,,,,0.06042972606268605,0.05927684360918782,0.06178557019903174
one_shot_reconstruction,P-B,0.09375,0.09394988469013626,,,,,0.09085882084106889,0.0901000109902187,0.09374656555665457
one_shot_reconstruction,P-B,0.125,0.0935181977454742,,,,,0.12343270167639057,0.12193215438407747,0.12495649147232858
one_shot_reconstruction,P-B,0.1875,0.08827976307150304,,,,,0.1857680268071303,0.18426640290141774,0.18746895263215738
one_shot_reconstruction,P-B,0.25,0.0898913626509925,,,,,0.24723949173282467,0.2467831629849434,0.25
