method,outer_domain,inner_domain,pca_dimension,mae,fit_sample_count,query_sample_count,fit_domains,pca_state_sha256,ridge_state_sha256,state_sha256
dinov2_global,74t7kcdgkr,cgtnjyggtm,8,0.13019896275839823,182,49,"[""w68dtmpfyf"",""xcmzfsbd9t"",""yfxyg8jm46"",""ykhs7s2dck""]",8482db5f646a0ce56cee57db34e5e0e392540dbddd9d2ff9b35cb5165af3e03f,15d146f32b6042c4f11bb8126a3a9d2dc30e7f9bc62d40ea43fc81db7cc9a72c,582f35903de0234124d19b8b8db46135396b726ea5d8fdce3dc9c158168addbf
dinov2_global,74t7kcdgkr,cgtnjyggtm,16,0.12913068466367622,182,49,"[""w68dtmpfyf"",""xcmzfsbd9t"",""yfxyg8jm46"",""ykhs7s2dck""]",8482db5f646a0ce56cee57db34e5e0e392540dbddd9d2ff9b35cb5165af3e03f,211ee5648d2d28e4077ba87a70eb28ad690c088c5290b75437205c08e473e43e,9dfa9cdeb2430c0f2ec5c524bf49554bb9041a29aded26fa3bd8a4f089de8924
dinov2_global,74t7kcdgkr,cgtnjyggtm,32,0.13029980228935345,182,49,"[""w68dtmpfyf"",""xcmzfsbd9t"",""yfxyg8jm46"",""ykhs7s2dck""]",8482db5f646a0ce56cee57db34e5e0e392540dbddd9d2ff9b35cb5165af3e03f,de8952f044eaf8265d59fdf611e0fbfe714afc29f75884c632e368b81940499f,5c914b91457f40977dcea6dcae74149fa6c0ce8bf064707fb515a8c8da8c312b
dinov2_global,74t7kcdgkr,w68dtmpfyf,8,0.11085231875226721,188,43,"[""cgtnjyggtm"",""xcmzfsbd9t"",""yfxyg8jm46"",""ykhs7s2dck""]",d967aae44f0395c52b5eaf7a1aeb6a05a21297e90b8239a88707ee65b814fde3,a4a60516f72d0fd64c35deb8354d42c53ff07421f8b0a24f25aff23d3e05ab0e,74320a3fdf9b86906d4a7bd674dfa7a81c4bb246bbf70e5b107fea909f4b9bf1
dinov2_global,74t7kcdgkr,w68dtmpfyf,16,0.11206704076984492,188,43,"[""cgtnjyggtm"",""xcmzfsbd9t"",""yfxyg8jm46"",""ykhs7s2dck""]",d967aae44f0395c52b5eaf7a1aeb6a05a21297e90b8239a88707ee65b814fde3,b7f1efea3351c239ad5a1daa88492eb15dae434107f5c11c6bf94ad1ec21bf77,62b8f829979ca737e8f0008b1a15e3d90ce187d5b785cbe911503cfb57c1fb40
dinov2_global,74t7kcdgkr,w68dtmpfyf,32,0.11263131496359603,188,43,"[""cgtnjyggtm"",""xcmzfsbd9t"",""yfxyg8jm46"",""ykhs7s2dck""]",d967aae44f0395c52b5eaf7a1aeb6a05a21297e90b8239a88707ee65b814fde3,1167954d35c15c64080bdd805d98ab234ad4837387a4f763b56a75fa2dae08e5,a39463b6948bdc78780d28ea63310c3d049928d6287ec2ab261ea72db49db39f
dinov2_global,74t7kcdgkr,xcmzfsbd9t,8,0.11638465866759268,172,59,"[""cgtnjyggtm"",""w68dtmpfyf"",""yfxyg8jm46"",""ykhs7s2dck""]",06acd05b944a0544907d90a0e7cbd5be5340dd268941e0040b591fab0fccb521,980b4fb31acd572f7e27cad7075b131ef582a4c60220790f3c19d19797d21add,a091defd0fd146148e0dd433ff031ad4573017f5c8332f238205ff2ef361dfb7
dinov2_global,74t7kcdgkr,xcmzfsbd9t,16,0.1369689581887836,172,59,"[""cgtnjyggtm"",""w68dtmpfyf"",""yfxyg8jm46"",""ykhs7s2dck""]",06acd05b944a0544907d90a0e7cbd5be5340dd268941e0040b591fab0fccb521,efac54b0d809ef9c575a1e40584d3e5b3d88a1b6fc91833e8f8d310709cf7c73,59d5aa21c975722f09f4adbfab72c5299c2aaa636f583a795e160c9a03a89ed0
dinov2_global,74t7kcdgkr,xcmzfsbd9t,32,0.2028640271341183,172,59,"[""cgtnjyggtm"",""w68dtmpfyf"",""yfxyg8jm46"",""ykhs7s2dck""]",06acd05b944a0544907d90a0e7cbd5be5340dd268941e0040b591fab0fccb521,7bfc8cd232c445f57e9540881d84de5c123202bfd57bf6d8e07270a8f696087f,28fd1556f5e7c14c5306edce1131a69ba86261f2320618a0333c9466350c72ef
dinov2_global,74t7kcdgkr,yfxyg8jm46,8,0.1372366461530575,189,42,"[""cgtnjyggtm"",""w68dtmpfyf"",""xcmzfsbd9t"",""ykhs7s2dck""]",0c7af0ad7015c9692573fa47ab125a7c716b00bbb7f6457369ced8545cdb03d5,7c7244323cc0092411141bcec8e9619cb3005444b725e55da8016c8f35dd54d0,99b477a24ce73f06a7c754230a835a57317790041189c8070f3964d9bf51da5e
