method,outer_domain,selected_pca_dimension,inner_equal_domain_mae,dimension_scores,outer_fit_sample_count,outer_fit_domains,state_sha256
resnet_global,74t7kcdgkr,16,0.1732966767880231,[],231,"[""cgtnjyggtm"",""w68dtmpfyf"",""xcmzfsbd9t"",""yfxyg8jm46"",""ykhs7s2dck""]",1be5d93c6c63e58a6d8b12ebe5e899e9e34033c9111a654bbc7aef444ef6f4a4
resnet_global,cgtnjyggtm,32,0.13263020037705905,[],227,"[""74t7kcdgkr"",""w68dtmpfyf"",""xcmzfsbd9t"",""yfxyg8jm46"",""ykhs7s2dck""]",3ba43795fd67e693ef0c3d699b97ab809c146a2b981071d628a6c759dab09386
resnet_global,w68dtmpfyf,8,0.11482278160514049,[],233,"[""74t7kcdgkr"",""cgtnjyggtm"",""xcmzfsbd9t"",""yfxyg8jm46"",""ykhs7s2dck""]",78c3fd0b34dfd4c5ecc80ab33f1ce7f1d3322e0da1749c7b568663698f849808
resnet_global,xcmzfsbd9t,32,0.13392701667679274,[],217,"[""74t7kcdgkr"",""cgtnjyggtm"",""w68dtmpfyf"",""yfxyg8jm46"",""ykhs7s2dck""]",d95005a3e5bfbd5e7318ad7e2d23399f48b95a660996b2bcb2d3e56a773c8323
resnet_global,yfxyg8jm46,8,0.10975943686091877,[],234,"[""74t7kcdgkr"",""cgtnjyggtm"",""w68dtmpfyf"",""xcmzfsbd9t"",""ykhs7s2dck""]",ef78e26ef9a41179644c56c2d6cc6fad10aeb4d2f6b399beb9c7e3dcb7e6c331
resnet_global,ykhs7s2dck,8,0.10372554138115109,[],238,"[""74t7kcdgkr"",""cgtnjyggtm"",""w68dtmpfyf"",""xcmzfsbd9t"",""yfxyg8jm46""]",115dfcada27e86173bde6116bb5d65ffff4dc89ff156a8b3f5fdf8983aa9792c
dinov2_global,74t7kcdgkr,8,0.16844090619113022,"[[8,0.16844090619113022],[16,0.17071180695980023],[32,0.16998105206143885]]",231,"[""cgtnjyggtm"",""w68dtmpfyf"",""xcmzfsbd9t"",""yfxyg8jm46"",""ykhs7s2dck""]",a1882a6212c4efde88174839948ecddd3f798aa0896c6040adf66e0926497936
dinov2_global,cgtnjyggtm,32,0.13258607160080774,"[[8,0.18027280492909542],[16,0.1666600811071669],[32,0.13258607160080774]]",227,"[""74t7kcdgkr"",""w68dtmpfyf"",""xcmzfsbd9t"",""yfxyg8jm46"",""ykhs7s2dck""]",575a3e0bb4630c5efcacd64e67a0baa468489c6ba61685188742428e47c7f930
dinov2_global,w68dtmpfyf,32,0.15649056419807023,"[[8,0.16911977703371625],[16,0.17169760242781518],[32,0.15649056419807023]]",233,"[""74t7kcdgkr"",""cgtnjyggtm"",""xcmzfsbd9t"",""yfxyg8jm46"",""ykhs7s2dck""]",40abfa69bd52b659f079f3594f9e30f893048185e5a10fa7662d8ecd709b288d
dinov2_global,xcmzfsbd9t,32,0.15672577703405474,"[[8,0.18925796235052628],[16,0.18063595634605312],[32,0.15672577703405474]]",217,"[""74t7kcdgkr"",""cgtnjyggtm"",""w68dtmpfyf"",""yfxyg8jm46"",""ykhs7s2dck""]",c88734d78700dd602e62511ac7877f521f85ff812963e2cef0d32368db5a80fa
dinov2_global,yfxyg8jm46,32,0.1075261609402522,"[[8,0.12995833763071837],[16,0.13825347993555176],[32,0.1075261609402522]]",234,"[""74t7kcdgkr"",""cgtnjyggtm"",""w68dtmpfyf"",""xcmzfsbd9t"",""ykhs7s2dck""]",1c7372c13915d9a5756697c39e1ee350322f209d34d149ff3e8fbfea9489ee76
dinov2_global,ykhs7s2dck,8,0.10221021581377669,"[[8,0.10221021581377669],[16,0.11074689284184928],[32,0.11999195783971481]]",238,"[""74t7kcdgkr"",""cgtnjyggtm"",""w68dtmpfyf"",""xcmzfsbd9t"",""yfxyg8jm46""]",7dc8f576f3890c77d93bcc37095b856110777a6e28df1dd4265f591ca99b7d4b
dinov2_spatial,74t7kcdgkr,16,0.13612209999781952,"[[8,0.14813351892812274],[16,0.13612209999781952],[32,0.14413013989742898]]",231,"[""cgtnjyggtm"",""w68dtmpfyf"",""xcmzfsbd9t"",""yfxyg8jm46"",""ykhs7s2dck""]",9535cd6aef09f39053c65b274d5030e1efbbeeb6268293cb064da5325b721f96
dinov2_spatial,cgtnjyggtm,32,0.1297995156420556,"[[8,0.18630702968028928],[16,0.14850855181198425],[32,0.1297995156420556]]",227,"[""74t7kcdgkr"",""w68dtmpfyf"",""xcmzfsbd9t"",""yfxyg8jm46"",""ykhs7s2dck""]",be392a793558bfa2b9505cbfde592aac369c80852373a3e4ea74728535703992
dinov2_spatial,w68dtmpfyf,16,0.13675866365118544,"[[8,0.15721256342099213],[16,0.13675866365118544],[32,0.13756390476121316]]",233,"[""74t7kcdgkr"",""cgtnjyggtm"",""xcmzfsbd9t"",""yfxyg8jm46"",""ykhs7s2dck""]",00606f12e86909b9202c0a92296f84b2d9ce34a1640b3c724a5d5a2c556f8f33
