condition_id,nominal_density,interpolation,specimen_count,equal_domain_mae
full,1.0,,276,0.12848935652346993
nearest_0.5,0.5,nearest,276,0.13495103330769764
bilinear_0.5,0.5,bilinear,276,0.13104831320502175
bicubic_0.5,0.5,bicubic,276,0.1306167286078098
nearest_0.25,0.25,nearest,276,0.13347605667984655
bilinear_0.25,0.25,bilinear,276,0.13451371200896975
bicubic_0.25,0.25,bicubic,276,0.13356447030872584
nearest_0.125,0.125,nearest,276,0.13402953012324423
bilinear_0.125,0.125,bilinear,276,0.13579556312799823
bicubic_0.125,0.125,bicubic,276,0.13568692214339398
