method,specimen_id,dataset_id,normalized_rgb_l1,ssim_11x11_gaussian,psnr_db,measured_point_mae,measured_point_maximum_absolute_error,source_sha256,reconstruction_sha256
nearest,c8-2,74t7kcdgkr,0.013128962688451642,0.9272252232179182,25.688818223644777,0.0,0.0,65bd5991cb5a02dff1889ea8bd7d7b5f46fdaa354d69c1550afadf2f73175143,0df6d70ab1fa174a1e67dd8b26d4350ce82cdada43a247f4aadf1c8e8fe925f9
nearest,c8-3,74t7kcdgkr,0.010898622493645116,0.9285541910432457,27.697494003164515,0.0,0.0,fef3515d6ca138dcbaf6860a236bc243ee310415149a926c3f8ea852e0af1494,d982ba654cf109c92e3fba055ea0d02523758dc3d6c78ac85a839d48a684b242
nearest,c8-4,74t7kcdgkr,0.010305577090079352,0.9381094546559776,26.561336648830252,0.0,0.0,0cb9dc03e062abb64c6cfcd781716a7b33835fcc010b4579fab64058c1d0da5e,4d3355459d9befcdcfbba708bc51919394216ba6cc3c30af868ce0534f2b3d1a
nearest,c8-5,74t7kcdgkr,0.009183120283732474,0.9455039891790767,29.09403733902533,0.0,0.0,ed075f535b3c6f500bbc3badc59e2af13d354e9617cc66014892514096f44945,b52f3d54a62e2652bb2f187e5b5118e59cf7428e162d95205847fb1276069c24
nearest,c8-6,74t7kcdgkr,0.009802009830290375,0.936618023415483,27.839901367596337,0.0,0.0,489d39781358ba93e2c9823d8948fbb6df91d4c5ba96f342c4b85cd849791185,d183a51c9aad2aac3022829713e8b6ec6553471cd0ea499b7938c3fd940a357c
nearest,c8-6t,74t7kcdgkr,0.00729493077958003,0.9427833756098899,32.32205038832965,0.0,0.0,79e4a08beea8ffde7b0fca2dfa91d6765728b642629b39bd4b83673479a7f4dd,a30a96df48f42617175b611c80e9ab1686f36a36979e20b51f72db5682edde98
nearest,c8-7,74t7kcdgkr,0.010727644579121823,0.9321968403606397,26.558003199274587,0.0,0.0,605a9c359de8340de3cc91727204275fbda21821965fa3824221d2af67256af3,6292b577a917cf16abed665f264fe976472c892a8b228b10735535d8b5d17dcd
nearest,c8-8,74t7kcdgkr,0.010101588146570846,0.9376306340564401,28.622563679951185,0.0,0.0,0a9fabfd6e462fa36bc1c0eadd0d932f22f3bc1abde83f083cf3978f15458ea8,a078ea49e7209d3a9c9182108680d8fa47413bf3e7c7193e08ae8f101bc9ca49
nearest,c8-8t,74t7kcdgkr,0.006076749078940656,0.9649058523024019,32.24645056435256,0.0,0.0,3bf5182794ce4a622e16dc890650d13fa7df2f936962a9c3857aebe0e4006707,9cdb5bb28de71b3805ba6e17d7de5cc85d86418f93a4dd17cb9b62782236cd37
nearest,c8-9,74t7kcdgkr,0.010820274182830745,0.9303116254619354,28.079727949573105,0.0,0.0,0e3ccb5efc89f8acdc2d0ac40e0bd5217581bb917248d1e358480bf8496e240d,42add7a8078b609f404485679edecb9c20fdd9325e53b65dcb96616f7b4b280f
nearest,c8-9t,74t7kcdgkr,0.007384352370834402,0.9592966397210639,31.202721629585177,0.0,0.0,f5286eabf53e8bdd0415cb176ea6a1f19d138c47ab86a563fcc67a9165a0f5ad,3d944f031a82b3d0fae6b111d6a1648c138ce7fb4f452296d8fb40b58ddc7db0
nearest,c8-10t,74t7kcdgkr,0.0070006112860208,0.9507303042012133,31.609977356198158,0.0,0.0,927ae6a9966ab8b819e8548454cc8ed05e4840b711a6efbceba1ac6f1670db3c,d966c11ae5797a6ac8d6a26d268bc5e51fc97d0d5d86d252cd964d87d28d5fda
nearest,c8-11,74t7kcdgkr,0.010730323597970656,0.9329603530367954,26.03097267563217,0.0,0.0,033ce22b42ab78540690086e60352949164a2dd19fd010e64ca52d59cda5e541,c3098c3f169e4e93b7028e74b729092813d6f767a0658e6679d827b76b57f382
nearest,c8-12,74t7kcdgkr,0.010340142198173871,0.9382272081334618,28.315846529548516,0.0,0.0,7b9f23920b821459b2325d67f69d9b5b86eccc7c5fe6a8ce4c7bb3cead01ca54,96772e0b2971548755ffd7dfd1dbc5f39563a63e1f87f428fa760b002ac103e0
nearest,c8-12t,74t7kcdgkr,0.006030822894421351,0.9644524140995311,32.33211043088113,0.0,0.0,6dac24c24418147de059279ba8b395d6d03d77211c3a723774e2d504a986b489,f460da85b340ff646bd04b3dcbcd8588d3191350c11380f676bdb7462f790dd9
nearest,c8-13,74t7kcdgkr,0.006725838264299802,0.963847323692343,30.21186172349551,0.0,0.0,9b8bfc7edae7253f4f334528b0573db54560b11b65d4f7cfbf699862fa734fb1,b5fb4ec17b877fc8e0d170bd9343a282d30e68ee18bc76ed02d840277fbdfb96
nearest,c8-14,74t7kcdgkr,0.008145615364140782,0.9496945841122505,30.01834245883046,0.0,0.0,105a6b8ee503068828412a45fface30c4001c047a1a3b6c436e81758d1543fb6,9c66943e107d68dcbd76a44ee40eec76487da09cbd17e1cb585c4adb27c29494
nearest,c8-15,74t7kcdgkr,0.009235267309362331,0.9393525244032185,29.26046843354363,0.0,0.0,9840b03cba3d304577e2029038f911712e0b2398f34da67eb6fe02e39c3f0165,ea4cb3b122a21d85d6cf56cc13c34f6b5865b93dd1ee35a5c4aae0daff75f43f
nearest,c8-16,74t7kcdgkr,0.009187276084900518,0.9497505195831488,27.843239614010223,0.0,0.0,6b66810cfef6616f232404aaab7d44f1057598b09cbc658215b3b3e5d454515f,56d0d50d01f5b26dd378699dc8ade3c4faf4c151e81e593c88eab97e700582cb
nearest,c8-17,74t7kcdgkr,0.008677238385782438,0.9412019576491959,30.041592272269572,0.0,0.0,476ded8cc36646b1fb973db593b796b7ac83b7822923f024fa6d59a7da128dcb,4f12ed77b4cc06a602cfe48daf459b3c0f28352c03f6ca7baad48bdfec21734b
nearest,c8-18,74t7kcdgkr,0.008825627929134716,0.9428890709930341,28.764101328239956,0.0,0.0,7d33d5f5c320c8dbb1223d609dc19b575887b0ae74093eec15e4f897fc9f4629,34ea307ffb136259dbb3b3c5aa6575cb4a1d4504877fe9ebdf288b4d336b88a7
nearest,c8-19,74t7kcdgkr,0.005930043307208219,0.9616516943008913,32.31274690978332,0.0,0.0,c6ee817a9989701daa210ea0166f0e808a907ef2a47c5b3463aee59dda3c4533,dc6188e5e98f13c230661b08a49ed0a1272a7049f00fa6610958c1a6e684c942
nearest,c8-20,74t7kcdgkr,0.008647049485435087,0.9280382752744402,31.423058231791824,0.0,0.0,4846a5d3aec0f60375ec0c656a1699329a9dc37dfb0aa415f80637cf231430bf,8de99bc367b8c68ee271651fbab9dabe4917fa85b242e1f0bd799b0ca636bd55
nearest,c8-21,74t7kcdgkr,0.007244347040937486,0.9586825601676449,32.061912211781504,0.0,0.0,1bbf6855570f5796ce7c12b6e2fa1e0eff7bb5adaf032f504330bf0a496d1ff8,8c596a748156a186821cb7a2b36127fe03f92e0aa05e914fef39f42ea2cc114d
nearest,c8-22,74t7kcdgkr,0.006741811030013354,0.9511322107300626,32.19286445896302,0.0,0.0,7135c9048e7414509668376e3c566a7ad7d630dac17e6a071aa28f539f8a2d29,6ad9e0c7af71d8dbaa35549a006326ed252421dcbbcd23ed7c9a091ecc0b4456
nearest,c8-23,74t7kcdgkr,0.007273188822732082,0.9559672967732453,30.8870777541636,0.0,0.0,6e59beeeb4604393f02a60f1258abc95a9585a5a4574fb36192db4667a63001a,a9559eda3be99823ddf9df2e62c98d1a66f2fac28e25b95e52752ce03a9d348a
nearest,c8-24,74t7kcdgkr,0.008189209903839178,0.9519256487354723,28.40575744987661,0.0,0.0,f46394d66b623b351b3ac03bf677fdfab9e553f7bda56774980ac910ad629f8f,52506bf8e4be70cbb6e7abf0063eb41cbbca3025f6626f45a0ea026b3871b1c3
nearest,c8-25,74t7kcdgkr,0.007347258586916468,0.9529861701533052,31.850575743500876,0.0,0.0,05b1f4c38b12b8b0124e9d830569676fcb5e8021d30dae018d1dda67ada52b49,1a0b96ec81a8b14a104fdbf0547950faf52aaceb3dbe5cbe4e28ac8276dc8d0a
nearest,c8-26,74t7kcdgkr,0.006995459531213298,0.9572317855247497,31.794767951522765,0.0,0.0,571cdd3acbfda77b91b7195e45be30d90cee4f5432f6c3630caec4f613c181c6,89ef80252798bf2de3e91e36699878548c9282dcf540d34f26bf83e04ad1d1e2
nearest,c8-27,74t7kcdgkr,0.00642023579406485,0.960850531053731,32.22937796879807,0.0,0.0,88f783bc79d899c39025b3386e60850033b6812bd150a17a2efda04239f1ee30,33b7b5dab1a2d2dbf52e4231ab61fcdfc8359c4b2d02910a0379cf4e75a41bac
nearest,c8-28,74t7kcdgkr,0.00627771923510951,0.9621396382505737,32.28944699154244,0.0,0.0,f741bec292746d4dd40f11ce7d2cc398b14a34002cf3a81c97b3f5ddb516168b,8f62e9f85ef59781631aa2bc0413dc2ccb3bbb9b69800185a4456fbf2f8e1ad9
nearest,c8-29,74t7kcdgkr,0.006257706980656496,0.9618318878337627,32.254579169314965,0.0,0.0,a5b6e5542bbb04ea369503463b9fedc9b0c06eebd0ae93ad5f84dcd6c0a18ef2,d42907ef9fd89bbaf618924c7f242a65a76a40e6a8f3555b7cc97d1eda683b6b
nearest,c8-30,74t7kcdgkr,0.007007363446532586,0.9567668693919197,32.01523770006044,0.0,0.0,addb7c35af801dad0bff4cf7b4ca2b1f72af53c2d82e74cbfc50f96761f7f4a0,042c7b6a109b937c974c1073b5bd56e7ca6ff5b31ec2d1dbd403d5c5af0aaee0
nearest,c8-32,74t7kcdgkr,0.008838023570786707,0.9390290419164357,31.12970656500263,0.0,0.0,0a4cfc4412396c2ad4dc9ec024bed95d21b3d8d997dfe3998a861ae397b5d331,3f81a602899b82fcbf271062b0a11f04dbe5398f3d0c5e07073d071a8f30bea9
nearest,c8-33,74t7kcdgkr,0.008829676751090223,0.939305085940477,31.048593621231962,0.0,0.0,d105552b3cfef9fb3f4a0c1cb9828abce375a375904652e2fd44a4f980893970,edd3eaafebf240231e17d0f805a8bbd9f20f9940f68ab2d36bff43650287e7e7
nearest,c8-34,74t7kcdgkr,0.008674250635888307,0.9400380531122675,31.19281932458651,0.0,0.0,c1cb020ca5f86be806e8b6f41ad7adac2458bc46a14343df20f4ce84a4ab5206,9fa75c82b61af2205a8c8b78af1396b71254adf90e00bbddd2b08cc80062c7bc
nearest,c8-35,74t7kcdgkr,0.007918971200598788,0.9458339923622511,31.452507001134656,0.0,0.0,a1644b59fcd63882d23fb13baa49debef443dc8c8f1dae4c1336ffd7366daf0a,e34b1ba742ca462ebfab0b23f5b0884f940ebf27bbb1165d3d73aa047a92d937
nearest,c8-36,74t7kcdgkr,0.007792179992486425,0.9472282579946518,31.882061528093985,0.0,0.0,4c9e0e001dcf4a30a56937082bcdf328b4fdd8a2f55dd7c41c66ae49a2e9b37d,927dc1eb48a1d04a511af08e70c0221d64836e86f047b203303429b0ba29df84
nearest,c8-37,74t7kcdgkr,0.007961403501210721,0.9458821418505625,31.562552638856587,0.0,0.0,0e643f1a481d9655dddbf20e45478e63a39352296c4c422f9a73878d31c24133,feb4486c0901e87920ab72ad47d412cdf62c335af07618189c195dd8934bdeed
nearest,c8-38,74t7kcdgkr,0.008478633362712415,0.9419371092918764,31.735415178133636,0.0,0.0,99adccf91fae342347b117bf38c79332402620e034dd9749cefdb24d30539155,7879f59e82cf8a99d28f0823065dba6f58e9d39c37db82e9fb8041e7dfae998b
nearest,c8-39,74t7kcdgkr,0.008001959563178312,0.9476894612185967,31.32382284708118,0.0,0.0,108c53c9a9fa9199c0bb34579017b5f992e507ff90f5667d1279848966308a8a,a864947078b983baeb693a7d87f7986f6c148e6d6625e450179c02ab325e36b7
nearest,c8-40,74t7kcdgkr,0.007267979602728735,0.9498630465310484,32.471517547250826,0.0,0.0,642effc83b8f60de47b6eff3d03f3606d58f07ce3fbd403e2cb9f3c1e1f8a0ea,7b13df1c4828789a367e2f64b053399ea3a87ab19c1fd320aeea5dd3b32c50b4
nearest,c8-41,74t7kcdgkr,0.006943660403678635,0.953160733502496,32.46545938762758,0.0,0.0,3464495d4b5022395994361121987e53feeff833af32a801561cecdfa942e4ed,aabb947df527e43c396fd5f71aee33fa151c4d44c822b01fc13ca838c17b5782
nearest,c8-42,74t7kcdgkr,0.007404534147615159,0.9507159019599588,31.897183364409422,0.0,0.0,626b851efd45607d5dbda2485d8657b49c729f0cbf074f14011fb68f9cd00295,4c8e295219976b57daff00d9dcb90554813881912d7ef9eb16226a0f2d0e9f5c
nearest,c8-43,74t7kcdgkr,0.007989564320434553,0.9472585932300716,31.41496502710502,0.0,0.0,e9cd17bcd173535d74c802ca62f23f14b3874590281c75c31d18a02438f2fbf5,0f15e83630fa276fff9ba7966a2a09f5e1ff717554a4f71e0c43af96e7c88d71
bilinear,c8-2,74t7kcdgkr,0.009004433888650017,0.9639062903145669,28.547333278244047,0.0,0.0,65bd5991cb5a02dff1889ea8bd7d7b5f46fdaa354d69c1550afadf2f73175143,18ba6c11608ce11b0cd22cd5a425e6e4c4703bf452134e5c290fca6cddb23826
bilinear,c8-3,74t7kcdgkr,0.008514476034272415,0.9606555352372302,28.51814813427726,0.0,0.0,fef3515d6ca138dcbaf6860a236bc243ee310415149a926c3f8ea852e0af1494,90d723ea93c4fba838d0113f0561921f893ffc8e8e0948f03638a08f914b115e
bilinear,c8-4,74t7kcdgkr,0.00744156233409627,0.9663500548878066,29.309984885459258,0.0,0.0,0cb9dc03e062abb64c6cfcd781716a7b33835fcc010b4579fab64058c1d0da5e,09e2f8fa3076bfeb9d87d655975ab6c6919132d9c50b6b1ef8bbb97474cd2b8a
bilinear,c8-5,74t7kcdgkr,0.0065348216093491585,0.9730780763149912,30.73384106144344,0.0,0.0,ed075f535b3c6f500bbc3badc59e2af13d354e9617cc66014892514096f44945,8bff5476dd9720aaa3cc8465db5aa327be85a276de3eb288343abcf169087cbe
bilinear,c8-6,74t7kcdgkr,0.007941042429164602,0.9618699326854562,28.350350746550582,0.0,0.0,489d39781358ba93e2c9823d8948fbb6df91d4c5ba96f342c4b85cd849791185,e2db34f5c252e0fe920dfe4248812c45350dab49404e591e1d7882c47389249c
bilinear,c8-6t,74t7kcdgkr,0.005485369001980394,0.9709786867125122,33.02528456395198,0.0,0.0,79e4a08beea8ffde7b0fca2dfa91d6765728b642629b39bd4b83673479a7f4dd,485f8e9a9087f0e65d8f6ca35c0a8bd7966df87233dc368e9b9c24fc14d5e604
bilinear,c8-7,74t7kcdgkr,0.008003430633188417,0.9645351929741833,28.823602627671924,0.0,0.0,605a9c359de8340de3cc91727204275fbda21821965fa3824221d2af67256af3,68d15cf46862492653fddec89394a52bd36fdf48558b48cddaad998a0f6783f9
bilinear,c8-8,74t7kcdgkr,0.00739532360107287,0.9679629612159036,30.263700867843077,0.0,0.0,0a9fabfd6e462fa36bc1c0eadd0d932f22f3bc1abde83f083cf3978f15458ea8,eab7f192f19538b7533576cbf3c4a467f590e8b90ca5f0ce8d24c6cf879e1b80
bilinear,c8-8t,74t7kcdgkr,0.004168755167378158,0.9841791005835923,33.2256736377651,0.0,0.0,3bf5182794ce4a622e16dc890650d13fa7df2f936962a9c3857aebe0e4006707,66a5adb7abb034968ce60867301ba48ee9da26f1681fba6753920345982f73f4
bilinear,c8-9,74t7kcdgkr,0.008680522594549742,0.9609954869589611,28.75948529251638,0.0,0.0,0e3ccb5efc89f8acdc2d0ac40e0bd5217581bb917248d1e358480bf8496e240d,c8c3d5697c04c5be8d9d29e4573ba085dd0e07e8f2eb1fd5bf4a65705c9875d9
bilinear,c8-9t,74t7kcdgkr,0.00469837452510403,0.9833951725000513,32.4749417572429,0.0,0.0,f5286eabf53e8bdd0415cb176ea6a1f19d138c47ab86a563fcc67a9165a0f5ad,d709c4919f22804a8e84bee766a6b781b437872fb7f0125fe1c9f0682448e221
bilinear,c8-10t,74t7kcdgkr,0.005244730621119752,0.9707866482021972,32.596913130091046,0.0,0.0,927ae6a9966ab8b819e8548454cc8ed05e4840b711a6efbceba1ac6f1670db3c,61787d249a6190add2342e0543195a62a3f3457be350b9c69d1733581d85af13
bilinear,c8-11,74t7kcdgkr,0.00803788186423933,0.9640228233927454,28.51124449422486,0.0,0.0,033ce22b42ab78540690086e60352949164a2dd19fd010e64ca52d59cda5e541,4c895f18001bb9861d65e9da71cde32a4dd6abb5799eb0651e545e5576505303
bilinear,c8-12,74t7kcdgkr,0.00766179678792801,0.9685008173361253,30.241865885594578,0.0,0.0,7b9f23920b821459b2325d67f69d9b5b86eccc7c5fe6a8ce4c7bb3cead01ca54,0bdcc1737d0b6be8b7f5509263a683888ba4b8fca98f5ebf9c5f7f460c4df4a5
bilinear,c8-12t,74t7kcdgkr,0.004091547803500636,0.9848630112595993,33.40467500007667,0.0,0.0,6dac24c24418147de059279ba8b395d6d03d77211c3a723774e2d504a986b489,2648e04fa1c0509653ef472532122a7c68367e381a57259397ecec10f033a342
bilinear,c8-13,74t7kcdgkr,0.0056518430553564964,0.9781403702764778,30.481431128286683,0.0,0.0,9b8bfc7edae7253f4f334528b0573db54560b11b65d4f7cfbf699862fa734fb1,a96f6cffd8570b1e3c3817083c0dcc58ea1847c138107d5b8ccb66d678b17ef4
bilinear,c8-14,74t7kcdgkr,0.005707386098655729,0.9764605937030307,31.401689625651734,0.0,0.0,105a6b8ee503068828412a45fface30c4001c047a1a3b6c436e81758d1543fb6,938d2f522c5eb2d42ef3f297f6bc5e92f476a3d6565fd5b1a3df92e59c77aae2
bilinear,c8-15,74t7kcdgkr,0.0072848876864713965,0.9671243974388286,29.42984125180621,0.0,0.0,9840b03cba3d304577e2029038f911712e0b2398f34da67eb6fe02e39c3f0165,64e7fc9b10b3b3678ee7712ad01295467f29508c2893e0a4104fef5268482b0f
bilinear,c8-16,74t7kcdgkr,0.007036152949614487,0.9684123458527273,29.661088254225334,0.0,0.0,6b66810cfef6616f232404aaab7d44f1057598b09cbc658215b3b3e5d454515f,faecf13d3dd13f895ec63dcc87ec1ac48c19b3c00acad626c9af7a1221baef94
bilinear,c8-17,74t7kcdgkr,0.006078158377865591,0.9717950562904244,31.460072722897063,0.0,0.0,476ded8cc36646b1fb973db593b796b7ac83b7822923f024fa6d59a7da128dcb,db49a13dab0978021c443ad4186f7ffe8c7007459ecc0cc49a49cfe8c085f66e
