method,dataset_id,specimen_count,mae
surface_only,74t7kcdgkr,45,0.14026076733200757
surface_only,cgtnjyggtm,49,0.12215155937309541
surface_only,w68dtmpfyf,43,0.12411388685633379
surface_only,xcmzfsbd9t,59,0.10065290445265158
surface_only,yfxyg8jm46,42,0.16338072761187408
surface_only,ykhs7s2dck,38,0.47816484074436777
sparse_only_0.25,74t7kcdgkr,45,0.06287419435253623
sparse_only_0.25,cgtnjyggtm,49,0.1306860981115005
sparse_only_0.25,w68dtmpfyf,43,0.10065453808613188
sparse_only_0.25,xcmzfsbd9t,59,0.06267928986833089
sparse_only_0.25,yfxyg8jm46,42,0.12206221086820135
sparse_only_0.25,ykhs7s2dck,38,0.061739193303949245
surface_sparse_0.25,74t7kcdgkr,45,0.07183560109302765
surface_sparse_0.25,cgtnjyggtm,49,0.128345992813242
surface_sparse_0.25,w68dtmpfyf,43,0.10811793785890644
surface_sparse_0.25,xcmzfsbd9t,59,0.09063290405187682
surface_sparse_0.25,yfxyg8jm46,42,0.1324453256335303
surface_sparse_0.25,ykhs7s2dck,38,0.2757045106032353
sparse_only_0.5,74t7kcdgkr,45,0.061649535195169865
sparse_only_0.5,cgtnjyggtm,49,0.13350855896722783
sparse_only_0.5,w68dtmpfyf,43,0.10040363017634131
sparse_only_0.5,xcmzfsbd9t,59,0.06272527768118255
sparse_only_0.5,yfxyg8jm46,42,0.11686147323471104
sparse_only_0.5,ykhs7s2dck,38,0.06531141442002383
surface_sparse_0.5,74t7kcdgkr,45,0.06026555953518342
surface_sparse_0.5,cgtnjyggtm,49,0.12862056516513057
surface_sparse_0.5,w68dtmpfyf,43,0.11099510351922671
surface_sparse_0.5,xcmzfsbd9t,59,0.09284884865954306
surface_sparse_0.5,yfxyg8jm46,42,0.12757127339293156
surface_sparse_0.5,ykhs7s2dck,38,0.2659885289581152
surface_full,74t7kcdgkr,45,0.058736787700541755
surface_full,cgtnjyggtm,49,0.12469936856113768
surface_full,w68dtmpfyf,43,0.1059023306876731
surface_full,xcmzfsbd9t,59,0.090589419972691
surface_full,yfxyg8jm46,42,0.12702193559341912
surface_full,ykhs7s2dck,38,0.26398629662535694
