method,outer_domain,selected_pca_dimension,inner_equal_domain_mae,dimension_scores,outer_fit_sample_count,outer_fit_domains,state_sha256
sparse_only_0.25,74t7kcdgkr,8,0.09699080601067644,"[[8,0.09699080601067644],[16,0.09799479725973041],[32,0.10798731312402081]]",231,"[""cgtnjyggtm"",""w68dtmpfyf"",""xcmzfsbd9t"",""yfxyg8jm46"",""ykhs7s2dck""]",a6c500f85314a6d3f0e0841ef84d523cffbd94d750267dd7b9f7068fdbddfeb8
sparse_only_0.25,cgtnjyggtm,16,0.08109095875727386,"[[8,0.08396981166017951],[16,0.08109095875727386],[32,0.08233894690373399]]",227,"[""74t7kcdgkr"",""w68dtmpfyf"",""xcmzfsbd9t"",""yfxyg8jm46"",""ykhs7s2dck""]",c31580e10e528a29e3ce2005ecd780b0f53de8288072cf857862557dfa1f35ae
sparse_only_0.25,w68dtmpfyf,8,0.09085012273623949,"[[8,0.09085012273623949],[16,0.09221546975713979],[32,0.10144447287951579]]",233,"[""74t7kcdgkr"",""cgtnjyggtm"",""xcmzfsbd9t"",""yfxyg8jm46"",""ykhs7s2dck""]",cf6c03939ec319bd9ec3b8f4643c48e9eee06ea909be092dc4ae1b31451185f8
sparse_only_0.25,xcmzfsbd9t,8,0.09977534220908861,"[[8,0.09977534220908861],[16,0.10192456369354767],[32,0.11794151070897847]]",217,"[""74t7kcdgkr"",""cgtnjyggtm"",""w68dtmpfyf"",""yfxyg8jm46"",""ykhs7s2dck""]",3e49f2d65e78a070b9c824069c78826ea91fe677058a36b03cd9c90ff86b77b7
sparse_only_0.25,yfxyg8jm46,8,0.0853464768791891,"[[8,0.0853464768791891],[16,0.08677314953656486],[32,0.09333634141042915]]",234,"[""74t7kcdgkr"",""cgtnjyggtm"",""w68dtmpfyf"",""xcmzfsbd9t"",""ykhs7s2dck""]",64da62353000de973ab17c8d505c325a1f2b5b5769dc68b70f21cc3f77ff3e20
sparse_only_0.25,ykhs7s2dck,8,0.09853139405408662,"[[8,0.09853139405408662],[16,0.10119421238611329],[32,0.10228634304959831]]",238,"[""74t7kcdgkr"",""cgtnjyggtm"",""w68dtmpfyf"",""xcmzfsbd9t"",""yfxyg8jm46""]",579ac3f0b63b3d7c73019d6f94568f96ba5e978c72ee80ee1e8169c0b0b98cda
sparse_only_0.5,74t7kcdgkr,8,0.09783707984172929,"[[8,0.09783707984172929],[16,0.09959712583919993],[32,0.11025972240621947]]",231,"[""cgtnjyggtm"",""w68dtmpfyf"",""xcmzfsbd9t"",""yfxyg8jm46"",""ykhs7s2dck""]",de830a5c01255416a320b0038a4d1c29ef1f0e6fb84efbc69894e785f2b1d72e
sparse_only_0.5,cgtnjyggtm,16,0.082047863784905,"[[8,0.08315781195979033],[16,0.082047863784905],[32,0.08268834362355262]]",227,"[""74t7kcdgkr"",""w68dtmpfyf"",""xcmzfsbd9t"",""yfxyg8jm46"",""ykhs7s2dck""]",9e71b39d9297c6cef6bf272ba45deebb6ce59f9dcbc853c7230fc4a150583686
sparse_only_0.5,w68dtmpfyf,8,0.09117533596528249,"[[8,0.09117533596528249],[16,0.09439508911838812],[32,0.10195844627755321]]",233,"[""74t7kcdgkr"",""cgtnjyggtm"",""xcmzfsbd9t"",""yfxyg8jm46"",""ykhs7s2dck""]",4fe31485515af70c8f05558025752b0081fdccb93cb4057b1eea9fbedf3775f8
sparse_only_0.5,xcmzfsbd9t,8,0.10083012556177831,"[[8,0.10083012556177831],[16,0.10721257563485542],[32,0.1222417399369563]]",217,"[""74t7kcdgkr"",""cgtnjyggtm"",""w68dtmpfyf"",""yfxyg8jm46"",""ykhs7s2dck""]",1c2e3df5e77a8243d6bbf87e94e0c2a3d3a3c2c0b1192ed62e0d9ae64569f7b8
sparse_only_0.5,yfxyg8jm46,8,0.08767317599272727,"[[8,0.08767317599272727],[16,0.08882005961901769],[32,0.09567721068382787]]",234,"[""74t7kcdgkr"",""cgtnjyggtm"",""w68dtmpfyf"",""xcmzfsbd9t"",""ykhs7s2dck""]",af6496561b8dbb36b3fda7c88fda9013affa2bffd30e289ccaba9b8d1e5d0395
sparse_only_0.5,ykhs7s2dck,8,0.09815483315077396,"[[8,0.09815483315077396],[16,0.10392649182691154],[32,0.10422309934728277]]",238,"[""74t7kcdgkr"",""cgtnjyggtm"",""w68dtmpfyf"",""xcmzfsbd9t"",""yfxyg8jm46""]",5d53c610cb159dae58ecbec1f80c2390f65a5d124e8c4a4769a3ac926af36e49
