specimen_key,path,surface_sha256,registered_cscan_sha256,reference_status
74t7kcdgkr:c8-2,visualizations/74t7kcdgkr__c8-2.png,fba37c14b99ff92f65675a2c8fb574d3cd7fb506cfd8178361e624381c9bfc0d,2a4636f95444c53278b22acdee76cf7123442ffbf310fb2b4700ca7b64f57954,ALGORITHM_DERIVED_NOT_REVIEWED
74t7kcdgkr:c8-21,visualizations/74t7kcdgkr__c8-21.png,334ea0c49f7626f221e92014670ecbbc2eab0373a28017bf2facd33a5f0fc7a0,0242d92627e506c763859f498a6e0f4734f3cec576f154060e6b55f3e9594bf0,ALGORITHM_DERIVED_NOT_REVIEWED
cgtnjyggtm:q24-29,visualizations/cgtnjyggtm__q24-29.png,bba0c3631692d5eaab633b0f19ac0584534548649b6926f652758e6f05c3e855,f8f144b6f5a3c5ee6b31478d66c712e5a655c3a430da8aa8e0c16871cbe94a85,ALGORITHM_DERIVED_NOT_REVIEWED
cgtnjyggtm:q24-21,visualizations/cgtnjyggtm__q24-21.png,abaa97554d11c12108ac4b252a77480261a6374255f1b814222c353fde37b060,02ec16ba0bdb8a9f3cb7f1d305699cbf69dcb92ff6222c284f6ffbb2c73c8b7d,ALGORITHM_DERIVED_NOT_REVIEWED
w68dtmpfyf:q16-22,visualizations/w68dtmpfyf__q16-22.png,313157e3c867e292e95605aac19740a02e29efe28f4d3610f3eb68a2745341c3,3df90b070aec083cfed49564d6a99c4dd2d19fe10c0935abc1530a7f7353f2e1,ALGORITHM_DERIVED_NOT_REVIEWED
w68dtmpfyf:q16-21,visualizations/w68dtmpfyf__q16-21.png,fb67d1b215bb3898c61013404234e06e838064a457b7aee29553175b9abd5e91,5c956b6a9137aa39d82d11791718c22ecabff5d76b0ac3ab3792cb9d31380de6,ALGORITHM_DERIVED_NOT_REVIEWED
xcmzfsbd9t:c24-20,visualizations/xcmzfsbd9t__c24-20.png,5c8baeeebc704c726c510b8d0a0fa34f73c09688430a19f93e6694de6cdf4aea,9c021666e58c65b242b6b3da2d78a8cf4561e66f9c5485f2ea0e50505acda0e2,ALGORITHM_DERIVED_NOT_REVIEWED
xcmzfsbd9t:c24-39,visualizations/xcmzfsbd9t__c24-39.png,374800441e694305990ca41202ecc455061d4bccf3bb784c22d5c4f497a0c8fb,5bdfc9567c043ba84e34d7c8099106c7ba8424399f539b96ea3dea2690c37499,ALGORITHM_DERIVED_NOT_REVIEWED
yfxyg8jm46:c16-4,visualizations/yfxyg8jm46__c16-4.png,d1019b40797b6f735605addd02216864f4483465ae5686d0f0adaa219a5c49d4,b549de38a94eaf9c48cecbacfea09a1ff6972566103af3bd81800f8a144ede67,ALGORITHM_DERIVED_NOT_REVIEWED
yfxyg8jm46:c16-19,visualizations/yfxyg8jm46__c16-19.png,cc2da79bbb8f1847ef637fa17b14aa3105d63eedd317919d3248f109a449c023,02926e1a2086065bbde477e8a9648b6dae76784b5307b94a914f67b461546da2,ALGORITHM_DERIVED_NOT_REVIEWED
ykhs7s2dck:q8-14,visualizations/ykhs7s2dck__q8-14.png,b013d48f5d83d9cce399f3dce6b7dee801cd4ed36188db8be83838a8f9837c4c,9bfeb0a61e9402910c6eac750d7ac8b48825ee95d90aa1bddeea888fafbf8076,ALGORITHM_DERIVED_NOT_REVIEWED
ykhs7s2dck:q8-4,visualizations/ykhs7s2dck__q8-4.png,238fbc65644f4311202e2e3597cc2f18678fea9aa5d7e60441a6da0aca2c6be1,f671d2558f1bd96d6977bb556e59d5b0dbdf28daca5821518e840bbc73a4e21d,ALGORITHM_DERIVED_NOT_REVIEWED
